Corrected monthly and annual soil temperature means (C) at Armagh Observatory at 100 cm depth.

References:

Garcia-Suarez, A.M. and Butler, C.J. 2006. Soil Temperatures at Armagh Observatory, N. Ireland
from 1904 to 2002. International Journal of Climatology (in press)

Garcia-Suarez, A.M., Butler, C.J. and Morrow, B. 2005. Meterological Data Recorded at Armagh
Obaservatory: Volume 4 - Daily, Monthly and Annual Soil Temperatures 1904-2002. Armagh
Observatory Preprint Series.


Year       Jan       Feb      March     April      May      June      July     August     Sept.     Oct.      Nov.      Dec.     Annual
1904	  -888      -888      -888	 7.9	   9.2      12.0      13.4      14.4	  13.5      11.8      10.1	 7.8	  -888
1905	   7.1       6.7       6.3	 7.3	   9.4      11.8      14.3	14.3	  13.2      11.2       8.5	 7.5	   9.8
1906	   6.8       6.1       6.1	 7.4	   9.0      11.9      13.3	14.5	  14.4      12.2       9.6	 8.2	  10.0
1907	   6.6       5.4       6.3	 7.6	   9.6      11.5      13.2	14.3	  13.5      12.1       9.5	 7.0	   9.7
1908	   5.7       6.3       6.1	 7.2	   9.6      12.2      14.1	14.6	  13.2      12.9      10.3	 8.2	  10.0
1909	   7.0       6.4       5.8	 7.3	   9.7      12.0      13.4	14.5	  13.4      12.1       8.6	 6.7	   9.8
1910	   6.5       5.4       6.1	 7.3	   9.4      12.4      14.1	14.6	  13.7      12.2       9.2	 7.5	   9.9
1911	   6.6       6.3       6.6	 7.2	  10.1      12.8      14.1	15.3	  14.3      11.9       9.1	 7.2	  10.2
1912	   6.8       5.5       6.7	 8.1	  10.3      11.9      13.7	13.6	  12.9      11.0       9.2	 7.5	   9.8
1913	   6.5       6.2       6.2	 7.3	   9.2      11.7      13.6	14.5	  13.6      12.3      10.0	 8.5	  10.0
1914	   6.5       6.8       6.6	 8.0	  10.2      12.5      14.5	14.8	  14.2      12.4       9.9	 7.6	  10.3
1915	   6.1       5.6       6.0	 7.3	   9.8      12.3      13.4	14.1	  13.8      12.0       8.8	 6.8	   9.7
1916	   7.1       6.4       5.3	 6.8	   9.5      11.3      12.9	15.0	  14.3      12.7      10.1	 7.7	   9.9
1917	   6.3       4.8       5.7	 6.0	   8.8      11.3      12.9	13.8	  13.1      11.2       8.9	 7.7	   9.2
1918	   5.7       6.9       6.6	 7.7	   9.8      12.4      13.3	14.3	  13.1      10.9       9.1	 8.2	   9.9
1919	   6.5       5.7       5.5	 6.7	   9.5      12.3      13.1	14.2	  13.3      11.5       8.1	 6.6	   9.4
1920	   6.0       6.2       6.7	 7.6	   9.4      12.3      13.2	13.4	  13.3      12.0      10.1	 7.6	   9.8
1921	   7.2       7.0       7.1	 8.1	  10.0      12.3      14.6	14.3	  13.7      12.9      10.3	 9.1	  10.6
1922	   7.3       6.7       6.8	 6.8	   9.2      12.2      12.9	13.4	  12.9      11.5       8.9	 8.2	   9.7
1923	   6.8       7.2       7.0	 7.7	   9.0      11.1      13.7	13.9	  12.7      11.3       8.5	 6.3	   9.6
1924	   6.3       6.3       5.8	 6.7	   9.0      11.8      13.2	13.7	  13.2      11.1       9.5	 8.6	   9.6
1925	   7.1       6.5       6.3	 7.2	   9.0      11.8      13.8	14.4	  13.3      11.9       9.3	 6.4	   9.8
1926	   6.2       6.4       7.2	 8.4	   9.8      12.1      14.4	15.0	  14.4      12.3       8.6	 7.2	  10.2
1927	   6.4       5.7       6.8	 7.8	  10.0      11.9      13.4	14.7	  13.7      11.7       9.6	 7.1	   9.9
1928	   5.7       5.8       6.3	 7.3	   9.9      12.1      13.2	14.0	  13.3      11.5       9.1	 7.4	   9.7
1929	   5.5       5.6       5.6	 7.6	   9.3      12.4      13.9	14.0	  14.0      11.9       9.0	 7.4	   9.7
1930	   6.2       4.7       5.2	 7.1	   9.6      12.7      14.0	13.9	  13.8      11.5       9.0	 7.0	   9.6
1931	   5.7       5.5       5.3	 7.1	   9.5      12.1      13.7	14.3	  13.2      11.8       9.2	 8.0	   9.6
1932	   7.5       6.6       6.0	 7.3	   9.6      12.8      14.3	14.7	  14.3      11.1       8.9	 7.4	  10.0
1933	   6.4       5.6       6.0	 8.1	  10.0      13.1      15.0	15.3	  14.4      12.6       9.5	 7.0	  10.3
1934	   6.6       6.6       6.2	 7.0	   9.5      12.9      15.0	14.7	  13.6      11.9       8.9	 8.6	  10.1
1935	   7.6       6.9       6.8	 8.2	  10.8      12.5      14.7	15.1	  13.7      11.4       8.9	 6.2	  10.3
1936	   5.2       4.8       5.8	 7.4	   9.8      12.1      14.3	14.6	  14.7      12.0       9.1	 7.2	   9.8
1937	   6.9       5.9       5.4	 7.2	  10.5      12.7      13.7	15.0	  13.8      11.8       9.1	 6.6	   9.9
1938	   6.3       6.4       7.5	 8.9	  10.2      12.2      13.5	14.7	  14.0      12.1      10.4	 7.5	  10.3
1939	   5.6       6.1       6.6	 7.7	  10.1      13.4      14.0	14.7	  14.8      12.0       9.6	 7.8	  10.2
1940	   5.4       4.9       6.1	 7.8	  10.4      13.2      14.1	14.5	  13.7      11.5       8.8	 7.0	   9.8
1941	   4.6       4.4       4.9	 6.5	   8.9      12.0      14.2	14.7	  14.5      12.8       9.4	 8.0	   9.6
1942	   6.3       5.5       5.5	 8.0	  10.2      12.8      14.5	14.9	  14.1      11.9       9.0	 7.8	  10.1
1943	   6.6       6.5       7.2	 8.7	  10.5      12.9      14.9	15.3	  14.0      11.9      10.0	 7.3	  10.5
1944	   6.9       6.8       6.3	 8.3	  10.8      12.9      14.1	15.5	  14.0      11.8       8.9	 7.0	  10.3
1945	   5.6       5.6       7.6	 9.3	  11.0      12.9      14.5	15.5	  14.6      12.9      10.7	 8.6	  10.8
1946	   6.7       6.5       6.2	 8.7	  10.5      12.4      14.2	14.5	  13.5      12.1       9.8	 7.0	  10.2
1947	  -888       4.2       3.7	 6.6	   9.4      13.1      14.1	15.8	  15.0      12.7      10.2	 7.4	  10.2
1948	   6.2       5.9       6.8	 8.6	  11.5      12.8      14.1	15.1	  13.8      12.5       9.8	 8.2	  10.5
1949	   6.9       6.9       6.9	 8.3	  10.5      12.6      14.9	14.9	  14.8      13.4       9.8	 7.6	  10.6
1950	   7.5       5.8       6.9	 7.8	  10.2      13.1      14.1	14.3	  13.3      11.5       8.6	 6.0	  10.0
1951	   4.9       4.7       4.9	 6.1	   8.5      12.0      13.6	14.3	  13.7      12.3      10.0	 7.9	   9.4
1952	   5.8       4.8       6.4	 7.4	  10.6      12.6      14.4	14.8	  13.5      10.9       9.1	 5.8	   9.7
1953	   5.2       5.4       6.6	 7.1	  10.2      12.7      14.4	14.8	  14.3      12.7      10.1	 9.0	  10.2
1954	   7.0       6.0       6.1	 7.8	   9.6      12.2      13.2	13.8	  13.3      12.0       9.6	 7.8	   9.9
1955	   6.5       5.6       4.8	 7.2	   9.4      11.3      14.5	16.2	  15.1      12.7       9.9	 8.4	  10.2
1956	   6.3       5.3       5.9	 7.7	  10.1      12.4      14.0	14.3	  13.5      12.3       9.8	 8.3	  10.0
1957	   6.7       6.0       7.2	 8.9	  10.6      13.8      14.9	15.0	  13.9      12.3       9.6	 8.0	  10.6
1958	   6.5       6.2       5.8	 6.8	  10.0      12.0      14.3	14.6	  14.7      12.8      10.8	 8.0	  10.2
1959	   5.6       5.2       6.9	 8.5	  11.0      14.0      15.4	15.9	  15.4      13.6      10.2	 7.9	  10.8
1960	   6.5       5.7       6.3	 8.1	  11.4      14.0      13.9	15.0	  14.4      12.3       9.7	 7.2	  10.4
1961	   5.4       6.4       7.7	 8.9	  11.2      12.8      14.2	14.3	  14.3      12.4       9.6	 7.4	  10.4
1962	   5.2       6.2       5.3	 7.0	  10.7      12.6      13.6	14.3	  13.9      11.5       8.7	 7.9	   9.8
1963	   4.9       3.5       5.0	 7.1	   9.7      13.2      13.8	14.9	  14.1      12.5      10.4	 7.2	   9.7
1964	   6.4       6.1       6.2	 7.7	  10.5      12.8      14.5	15.2	  14.6      12.3      10.1	 7.8	  10.4
1965	   5.6       4.8       5.3	 7.7	  10.1      12.8      14.0	14.5	  13.6      12.5       9.6	 6.6	   9.8
1966	   5.8       5.8       6.8	 6.9	   9.3      12.2      14.2	14.5	  14.8      12.9       9.3	 7.2	  10.0
1967	   6.3       6.5       6.5	 7.9	  10.0      12.9      14.6	15.2	  14.6      12.6       9.1	 7.8	  10.4
1968	   6.6       5.8       5.7	 7.5	   9.7      13.1      14.7	15.7	  14.8      13.4      10.8	 8.7	  10.6
1969	   6.3       5.7       5.2	 7.2	   9.7      12.8      14.7	15.8	  15.0      13.6      10.7	 7.6	  10.4
1970	   6.4       5.8       5.8	 7.4	  10.4      13.9      15.0	15.7	  15.1      13.5      10.8	 8.7	  10.7
1971       6.9       6.4       7.1       8.7      11.2      13.3      15.7      16.0      15.6      14.0      11.0       8.8      11.2
1972       7.2       5.9       6.7       9.0      11.3      13.0      15.0      15.7      14.9      13.2      10.4       7.7      10.9
1973       7.4       7.0       7.1       8.7      10.9      14.2      16.2      16.7      16.1      12.8      10.0       7.4      11.2
1974       6.7       6.2       6.6       9.2      11.3      13.8      15.5      15.9      14.7      11.9       9.0       7.5      10.7
1975       7.3       6.3       6.9       8.6      12.0      14.4      16.3      16.9      15.6      13.0      10.8       8.3      11.4
1976       7.8       6.6       7.1       9.2      11.8      14.2      16.9      17.0      15.6      13.1       9.9       7.2      11.4
1977       5.3       5.3       6.6       8.2      10.8      13.9      15.9      16.1      14.8      13.2      10.2       7.4      10.7
1978       6.4       4.8       6.2       7.9      10.7      14.0      14.8      15.5      15.2      13.6      11.6       8.0      10.8
1979       5.3       4.2       5.3       7.2      10.0      13.5      15.3      15.8      14.9      12.7       9.5       7.8      10.2
1980       5.0       5.3       6.4       8.3      11.6      13.8      14.7      16.1      15.5      12.6      10.2       7.5      10.6
1981       6.6       6.5       7.1       9.5      11.3      13.8      15.3      16.4      16.0      12.4       9.5       6.9      11.0
1982       5.3       6.1       6.5       9.0      11.3      14.4      15.7      16.4      15.2      12.5      10.0       6.6      10.8
1983       6.3       5.2       6.8       8.1      10.6      13.4      16.6      17.3      15.8      13.6      10.8       8.7      11.1
1984       6.8       5.8       6.7       8.2      11.7      14.2      16.1      16.9      16.0      13.2      10.0       7.8      11.1
1985       5.0       4.6       5.7       8.2      10.8      13.7      15.3      15.4      14.6      13.4       9.6       7.5      10.3
