JANUARY 1883
  1am  2am  3am  4am  5am  6am  7am  8am  9am  10am  11am  Noon  1pm  2pm  3pm  4pm  5pm  6pm  7pm  8pm  9pm  10pm  11pm  Midnight
1  49.4  50.0  51.2  51.0  51.3  51.2  50.9  51.3  50.9  51.3  51.9  52.7  53.0  53.2  52.7  52.4  52.0  52.1  51.6  50.0  49.9  48.9  48.3  47.2  
2  46.0  45.9  45.7  45.1  44.0  42.6  42.3  41.2  41.1  41.0  40.7  42.8  42.9  44.1  45.0  46.4  47.0  47.8  47.4  46.0  45.4  45.1  44.3  43.2  
3  42.6  41.4  41.1  40.6  40.6  39.3  40.0  38.5  38.2  39.2  41.0  42.1  43.0  43.7  43.0  41.9  40.0  40.7  41.3  39.3  40.8  41.3  40.9  40.9  
4  41.5  42.2  43.3  43.9  44.0  44.2  44.2  44.1  44.7  45.0  45.1  45.4  46.1  46.0  45.6  45.0  45.5  44.0  45.2  45.2  46.0  46.9  45.2  44.3  
5  42.9  41.5  41.6  43.0  43.8  44.4  45.4  46.4  46.0  45.9  48.0  47.6  47.7  46.3  43.4  43.4  41.9  41.2  40.2  39.0  38.6  38.4  38.3  37.8  
6  39.0  39.9  39.7  39.3  38.8  39.5  39.0  38.6  39.0  40.0  42.1  42.3  42.8  44.3  44.0  43.3  42.4  42.2  42.8  41.3  40.7  40.0  39.8  39.7  
7  39.2  39.0  39.2  39.0  37.9  39.4  36.7  35.9  38.8  39.9  42.2  44.2  44.3  43.7  42.7  41.2  40.4  39.8  39.9  40.2  40.8  38.4  36.9  35.4  
8  36.1  39.4  37.9  37.3  38.0  37.1  38.3  38.0  38.3  38.0  38.3  38.7  38.2  39.0  38.6  38.1  36.8  35.6  35.8  37.4  37.0  36.9  37.3  38.1  
9  39.0  38.9  39.3  38.9  39.1  39.0  38.6  38.9  38.6  38.2  38.4  39.2  39.3  39.4  39.0  38.0  37.6  38.0  39.0  38.9  38.9  39.5  39.7  39.4  
10  39.6  38.8  39.2  39.4  39.2  39.3  39.9  39.9  39.9  40.1  40.5  41.0  40.9  41.0  41.1  41.8  41.5  41.6  41.3  41.8  42.0  41.8  41.3  41.0  
11  41.0  41.0  41.2  40.9  41.5  41.6  41.8  42.2  43.3  44.3  44.9  45.2  45.1  47.0  47.8  48.0  47.0  47.2  47.2  47.0  46.6  45.3  45.0  45.0  
12  44.7  44.1  43.0  43.0  42.7  42.1  41.5  41.2  41.2  40.7  40.6  40.8  40.9  40.9  40.5  40.1  40.1  40.4  40.8  41.1  41.7  41.3  41.3  41.9  
13  41.0  41.0  41.0  41.0  40.9  40.7  41.0  41.3  41.5  42.0  42.6  42.9  42.9  43.0  42.8  42.5  42.2  42.0  42.8  42.5  42.6  42.3  42.2  42.9  
14  42.4  43.3  41.9  42.2  43.1  43.0  43.0  43.9  44.2  45.0  44.4  44.1  44.0  44.4  44.9  45.1  45.0  44.6  44.6  43.9  43.6  42.9  42.6  42.0  
15  42.1  41.3  40.9  40.0  39.9  40.0  39.7  39.2  38.4  38.9  40.1  41.3  41.9  42.3  42.6  41.9  41.6  41.2  41.0  41.0  40.6  39.5  38.7  37.0  
16  36.0  36.2  36.1  36.1  36.1  36.0  36.9  36.2  36.1  38.4  39.4  40.4  41.3  42.4  43.1  42.2  41.0  41.5  42.1  43.1  44.7  45.9  46.8  47.1  
17  47.8  48.2  48.0  47.4  48.4  48.1  48.9  49.2  49.3  50.2  50.5  49.9  46.9  47.7  48.0  47.8  48.5  48.8  48.9  50.1  50.0  49.4  47.7  45.6  
18  43.1  42.2  42.2  42.7  43.2  41.0  41.6  42.0  42.2  41.9  43.6  44.1  45.0  45.1  45.0  44.4  44.1  42.2  41.2  40.9  40.0  39.9  39.3  38.3  
19  38.9  38.1  37.4  37.6  37.0  39.0  41.0  42.0  43.0  42.9  44.0  46.3  48.9  50.4  50.0  49.9  46.2  44.2  42.3  41.2  40.0  39.5  39.0  38.2  
20  37.8  36.6  35.9  35.9  35.8  36.0  36.7  36.0  36.0  37.2  39.7  41.2  42.4  43.3  43.0  42.1  39.8  40.1  40.4  41.4  42.8  42.4  42.3  43.0  
21  44.0  44.1  44.0  43.9  43.7  45.0  45.0  45.4  44.9  45.8  47.0  47.6  49.2  48.8  47.9  46.5  46.0  46.0  45.5  45.2  45.0  44.4  44.0  42.0  
22  42.0  42.3  42.5  41.1  42.0  44.2  44.8  43.9  44.2  45.5  46.1  46.3  47.4  46.8  46.4  45.2  44.9  45.0  45.0  44.8  44.2  43.9  43.9  43.1  
23  42.7  42.4  43.0  43.5  43.2  43.1  43.0  43.1  43.7  43.4  43.5  43.3  43.4  43.0  42.8  42.9  43.0  43.4  43.9  44.0  44.2  45.0  45.9  46.2  
24  46.1  46.5  47.3  48.0  48.2  48.6  48.0  47.4  47.1  48.3  49.0  48.9  47.0  42.9  41.6  40.4  40.1  40.6  38.8  39.7  38.0  36.3  36.5  35.4  
25  35.0  34.8  34.9  34.9  34.2  34.0  34.1  34.0  34.0  35.1  37.1  38.2  39.4  38.9  39.0  38.7  38.1  37.9  36.0  35.0  33.7  32.9  32.9  33.0  
26  33.1  33.9  34.0  34.2  34.6  33.9  33.2  32.7  32.9  33.9  34.3  34.9  33.1  34.2  33.9  33.4  33.4  33.2  33.7  34.2  34.2  34.1  34.2  34.2  
27  33.5  33.3  32.8  33.0  33.9  34.3  33.7  34.0  35.2  37.2  38.9  39.2  39.8  38.0  38.9  38.9  37.3  37.8  36.0  35.9  35.4  35.6  35.0  34.9  
28  34.4  35.0  35.4  35.2  35.9  36.6  37.8  37.0  38.0  39.2  40.4  41.3  41.9  41.9  42.9  42.5  41.1  41.6  42.8  45.2  47.8  49.2  50.0  50.4  
29  50.7  51.0  48.4  44.4  42.2  41.0  40.3  39.8  39.3  39.4  37.0  40.2  41.4  41.9  42.0  38.2  37.6  36.2  35.8  34.4  34.1  34.0  34.0  33.4  
30  33.0  32.9  33.4  34.0  34.6  35.0  33.9  35.0  34.8  35.5  37.0  37.6  37.2  37.4  37.1  36.7  35.9  35.0  33.9  33.0  32.9  32.8  31.9  31.3
31  30.0  29.0  26.3  26.7  25.9  24.3  24.8  25.4  25.6  26.3  28.3  30.3  30.9  32.1  32.3  32.2  31.2  30.4  32.1  34.0  34.0  34.4  34.9  34.4
FEBRUARY 1883
  1am  2am  3am  4am  5am  6am  7am  8am  9am  10am  11am  Noon  1pm  2pm  3pm  4pm  5pm  6pm  7pm  8pm  9pm  10pm  11pm  Midnight
1  33.7  33.8  33.4  33.2  33.0  32.8  32.5  32.0  31.8  32.2  33.3  34.3  35.2  35.2  35.0  35.0  34.1  34.8  35.0  35.4  34.4  33.7  33.3  32.7  
2  32.6  32.4  32.4  32.3  32.4  32.5  32.8  33.0  33.4  34.2  34.9  35.3  36.2  35.9  36.0  35.7  35.2  35.0  35.3  35.0  34.9  35.0  34.5  35.0  
3  35.0  35.1  35.2  35.1  35.1  35.3  35.4  35.3  35.4  35.8  37.0  37.4  37.9  38.4  38.1  38.4  38.1  39.1  38.1  38.7  38.4  38.7  38.1  37.2  
4  36.9  36.0  35.6  35.4  36.1  35.4  34.9  35.2  36.9  38.3  39.2  41.2  43.2  44.7  45.9  46.1  46.2  46.2  45.9  46.2  45.9  45.9  45.9  46.0  
5  46.0  45.9  45.8  45.4  46.1  46.1  46.0  46.0  46.3  47.0  47.1  47.5  48.7  47.1  46.3  46.0  45.1  44.8  44.4  44.0  43.3  43.0  42.1  42.0  
6  42.0  42.0  42.4  42.8  43.0  43.6  43.7  43.9  44.0  44.1  44.9  45.3  45.9  46.1  46.4  46.3  46.5  46.2  46.6  47.0  47.0  46.3  45.7  45.4  
7  44.9  44.0  43.4  42.9  41.8  41.1  40.5  39.3  39.5  40.6  42.3  43.9  45.0  45.9  45.3  45.1  44.1  44.2  44.7  45.8  45.6  45.9  45.6  44.9
8  45.1  44.5  43.6  42.9  42.0  41.9  41.4  42.3  43.2  44.3  45.6  46.5  46.6  45.6  44.6  44.5  40.9  40.0  39.2  39.0  37.3  36.9  37.2  35.9  
9  35.7  36.1  36.2  36.1  36.1  35.1  34.3  34.3  34.9  35.8  36.1  36.4  39.4  39.9  38.2  39.1  39.3  40.0  40.5  42.5  44.5  44.3  43.9  42.6  
10  42.6  42.4  41.7  41.5  40.8  39.7  38.3  37.5  38.0  39.7  41.8  43.6  45.0  45.3  44.4  44.1  42.7  41.8  41.0  42.0  41.1  40.9  40.2  39.2  
11  37.6  36.9  36.5  36.1  35.7  34.1  33.9  33.4  35.0  35.5  38.1  38.9  40.0  40.4  40.0  39.4  38.3  37.8  37.9  38.9  40.2  41.3  41.9  42.0  
12  41.7  43.0  46.1  46.3  46.0  45.0  44.3  41.7  41.2  41.4  42.0  44.0  44.0  44.5  44.1  40.1  41.0  40.4  40.6  38.4  38.5  39.0  38.4  39.7  
13  38.3  38.9  38.3  37.4  36.6  35.9  35.6  35.5  36.0  37.5  37.3  39.3  38.6  40.2  41.4  40.9  39.3  38.9  38.1  38.1  38.4  39.2  41.0  42.2  
14  43.7  44.4  44.9  45.0  45.9  46.0  46.7  48.5  50.2  50.0  49.8  50.1  48.5  49.6  49.7  48.1  45.0  43.0  42.1  42.6  42.2  41.3  41.3  41.2  
15  40.9  40.7  36.7  36.7  36.6  36.9  37.3  38.2  38.9  37.4  39.3  40.4  41.8  41.2  42.0  41.1  40.0  36.9  36.0  35.9  35.0  35.1  35.0  35.0  
