1866,01,02,Tuesday,DWR_1866_01-2.jpg
SKUDDESNAES, 29.51, 37, NaN
NAIRN, 29.50, 34, 0.25
ABERDEEN, 29.58, 36, 0.00
LEITH, 29.62, 41, 0.13
ARDROSSAN, 29.49, 42, 0.14
GREENCASTLE, 29.59, 39, 0.30
SHIELDS, 29.70, 39, 0.00
SCARBOROUGH, 29.86, 37, 0.13
HELIGOLAND, 999.00, 999, 999.00
LIVERPOOL, 29.84, 41, 0.04
HOLYHEAD, 29.73, 46, 0.16
HELDER, 30.04, 44, NaN
YARMOUTH, 30.04, 40, 0.00
VALENTIA, 29.33, 45, 0.87
LONDON, 30.04, 44, 0.02
CAPECLEAR, 999.00, 999, 999.00
PORTSMOUTH, 30.05, 45, 0.00
WEYMOUTH, 30.02, 49, 0.23
PLYMOUTH, 29.99, 48, 0.12
PENZANCE, 29.94, 47, 0.25
BREST, 30.08, 48, 0.04
LORIENT, 30.12, 48, 0.00
ROCHEFORT, 30.28, 37, 0.08
CORUNNA, 999.00, 999, NaN
