1864,02,06,Saturday,DWR_1864_02-5.jpg
NAIRN, 30.36, 33, 0.00
ABERDEEN, 30.35, 35, 0.00
LEITH, 30.36, 34, 0.00
ARDROSSAN, 30.39, 35, 0.00
GREENCASTLE, 30.45, 34, 0.07
SHIELDS, 30.35, 32, 0.00
SCARBOROUGH, 30.27, 37, 0.29
HELIGOLAND, 30.10, 32, 0.00
LIVERPOOL, 30.39, 31, 0.00
HOLYHEAD, 30.37, 38, 0.00
GALWAY, 30.49, 34, 0.00
YARMOUTH, 30.17, 36, 0.00
VALENTIA, 30.46, 39, 0.00
QUEENSTOWN, 30.35, 38, 0.00
PEMBROKE, 30.40, 35, 0.11
LONDON, 30.23, 31, 0.01
CAPECLEAR, 30.45, 38, 0.00
DOVER, 30.17, 35, 0.00
PORTSMOUTH, 30.25, 36, 0.00
WEYMOUTH, 30.29, 33, 0.00
PLYMOUTH, 30.34, 35, 0.00
PENZANCE, 30.37, 39, 0.00
BREST, 30.24, 34, 0.39
LORIENT, 30.20, 34, 0.04
ROCHEFORT, 30.08, 32, 0.00
