1867,05,08,Wednesday,DWR_1867_05-7.jpg
SKUDDESNAES, 30.07, 43, NaN
NAIRN, 29.98, 50, 0.00
ABERDEEN, 30.08, 46, 0.00
LEITH, 30.06, 50, 0.00
ARDROSSAN, 29.96, 55, 0.00
GREENCASTLE, 29.93, 53, 0.00
SHIELDS, 30.10, 56, 0.00
SCARBOROUGH, 30.08, 55, 0.03
HELIGOLAND, 30.13, 53, 0.00
LIVERPOOL, 29.93, 66, 0.00
HOLYHEAD, 29.80, 61, 0.00
HELDER, 30.08, 56, NaN
YARMOUTH, 30.03, 56, 0.00
VALENTIA, 29.65, 50, 0.38
LONDON, 29.95, 60, 0.00
CAPECLEAR, 29.70, 53, 0.00
PORTSMOUTH, 29.88, 64, 0.00
WEYMOUTH, 29.87, 63, 0.00
PLYMOUTH, 29.79, 67, 0.00
PENZANCE, 29.76, 59, 0.00
BREST, 29.80, 63, 0.00
LORIENT, 29.80, 63, 0.00
ROCHEFORT, 29.96, 63, 0.00
CORUNNA, 999.00, 999, NaN
