1864,05,25,Wednesday,DWR_1864_05-21.jpg
NAIRN, 29.98, 52, 0.00
ABERDEEN, 29.94, 51, 0.00
LEITH, 29.98, 56, 0.00
ARDROSSAN, 30.05, 53, 0.00
GREENCASTLE, 30.15, 52, 0.04
SHIELDS, 29.99, 55, 0.00
SCARBOROUGH, 29.98, 54, 0.00
HELIGOLAND, 29.81, 47, 0.30
LIVERPOOL, 30.09, 54, 0.00
HOLYHEAD, 30.10, 54, 0.00
GALWAY, 30.20, 56, 0.00
YARMOUTH, 29.99, 54, 0.00
VALENTIA, 30.19, 56, 0.00
QUEENSTOWN, 30.06, 56, 0.00
PEMBROKE, 30.18, 54, 0.00
LONDON, 30.11, 52, 0.00
CAPECLEAR, 30.22, 58, 0.00
DOVER, 30.10, 59, 0.00
PORTSMOUTH, 30.13, 54, 0.00
WEYMOUTH, 30.15, 55, 0.00
PLYMOUTH, 30.18, 56, 0.00
PENZANCE, 30.19, 54, 0.00
BREST, 30.12, 57, 0.04
LORIENT, 30.04, 55, 0.00
ROCHEFORT, 30.00, 54, 0.00
