1872,10,06,Sunday,DWR_1872_10-10.jpg
CHRISTIANSUND, 30.09, 43, 37, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 30.20, 43, 40, NaN, NaN, NaN, 30.15, 49, 44
THURSO, 30.00, 46, 44, 47, 38, 0.06, 30.21, 45, 43
WICK, 30.02, 45, 41, 56, 40, 0.00, NaN, NaN, NaN
OXO, 30.11, 43, 40, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 30.09, 48, 43, 48, 31, 0.00, NaN, NaN, NaN
ABERDEEN, 30.12, 43, 40, 47, 37, 0.00, NaN, NaN, NaN
LEITH, 30.23, 41, 39, 52, 31, 0.00, NaN, NaN, NaN
ARDROSSAN, 30.23, 49, 43, 999, 34, 0.00, NaN, NaN, NaN
FANO, 30.23, 50, 46, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 30.16, 46, 43, 46, 40, 0.00, 30.29, 45, 42
SHIELDS, 30.29, 43, 41, 47, 37, 0.00, NaN, NaN, NaN
DONAGHADEE, 30.24, 43, 41, 49, 34, 0.00, NaN, NaN, NaN
SCARBOROUGH, 30.34, 46, 44, 50, 38, 0.00, 30.31, 48, 44
YORK, 30.34, 35, 34, 56, 33, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.29, 51, 48, 999, 45, 0.03, NaN, NaN, NaN
LIVERPOOL, 30.32, 42, 40, 53, 36, 0.00, NaN, NaN, NaN
HOLYHEAD, 30.30, 50, 48, 54, 42, 0.00, 30.32, 59, 55
KINGSTOWN, 30.30, 42, 38, 50, 39, 0.00, NaN, NaN, NaN
HELDER, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.38, 35, 35, 52, 31, 0.00, NaN, NaN, NaN
YARMOUTH, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
CAMBRIDGE, 30.37, 42, 40, 54, 36, 0.10, NaN, NaN, NaN
VALENTIA, 30.19, 52, 51, 58, 48, 0.12, 30.36, 48, 44
ROCHESPOINT, 30.22, 53, 50, 53, 45, 0.00, NaN, NaN, NaN
OXFORD, 30.34, 41, 40, 50, 35, 0.04, NaN, NaN, NaN
PEMBROKE, 30.30, 46, 45, 55, 43, 0.01, NaN, NaN, NaN
LONDON, 30.33, 46, 45, 54, 36, 0.00, 30.25, 53, 50
PORTISHEAD, 30.34, 44, 42, 51, 38, 0.02, NaN, NaN, NaN
DOVER, 30.34, 52, 49, 56, 48, 0.20, NaN, NaN, NaN
CAPGRISNEZ, 30.34, 48, 44, 58, 42, 0.08, NaN, NaN, NaN
BRUSSELS, 30.33, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.32, 51, 49, 57, 43, 0.00, NaN, NaN, NaN
PLYMOUTH, 30.27, 42, 40, 55, 38, 0.00, NaN, NaN, NaN
SCILLY, 30.31, 49, 46, 53, 46, 0.00, 30.27, 53, 48
CHARLEVILLE, 999.00, 45, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.25, 43, 999, 999, 999, 0.00, NaN, NaN, NaN
BREST, 30.28, 48, 44, 60, 43, 0.00, NaN, NaN, NaN
LORIENT, 30.28, 49, 49, 65, 47, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.20, 49, 45, 68, 45, 0.00, 30.10, 67, 56
LYONS, 999.00, 55, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.19, 50, 48, 61, 48, 0.00, NaN, NaN, NaN
CORUNNA, 30.30, 58, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.32, 60, 60, 62, 54, 0.51, NaN, NaN, NaN
