1872,09,25,Wednesday,DWR_1872_09-48.jpg
CHRISTIANSUND, 29.74, 45, 42, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 29.31, 54, 46, NaN, NaN, NaN, 29.40, 48, 46
THURSO, 29.58, 49, 45, 51, 46, 0.02, 29.57, 48, 46
WICK, 29.53, 49, 45, 51, 44, 0.00, NaN, NaN, NaN
OXO, 29.31, 50, 50, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.57, 48, 45, 51, 41, 0.03, NaN, NaN, NaN
ABERDEEN, 29.32, 48, 47, 49, 43, 0.53, NaN, NaN, NaN
LEITH, 29.44, 49, 45, 55, 43, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.57, 49, 45, 55, 41, 0.00, NaN, NaN, NaN
FANO, 29.26, 51, 50, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.75, 49, 46, 50, 44, 0.09, 29.67, 49, 45
SHIELDS, 29.24, 44, 43, 52, 42, 0.31, NaN, NaN, NaN
DONAGHADEE, 29.64, 50, 48, 52, 44, 0.00, NaN, NaN, NaN
SCARBOROUGH, 29.25, 43, 42, 49, 42, 1.20, 29.36, 45, 44
YORK, 29.38, 42, 41, 45, 40, 0.35, NaN, NaN, NaN
CUXHAVEN, 29.42, 49, 47, 999, 40, 0.05, NaN, NaN, NaN
LIVERPOOL, 29.45, 51, 46, 51, 46, 0.00, NaN, NaN, NaN
HOLYHEAD, 29.63, 50, 47, 53, 47, 0.51, 29.51, 51, 47
KINGSTOWN, 29.76, 54, 52, 53, 43, 0.20, NaN, NaN, NaN
HELDER, 29.40, 52, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 29.51, 45, 43, 50, 33, 0.03, NaN, NaN, NaN
YARMOUTH, 29.47, 43, 41, 52, 40, 0.16, NaN, NaN, NaN
CAMBRIDGE, 29.56, 44, 40, 53, 39, 0.00, NaN, NaN, NaN
VALENTIA, 30.01, 50, 45, 60, 38, 0.28, 29.73, 49, 47
ROCHESPOINT, 29.91, 45, 42, 57, 42, 0.06, NaN, NaN, NaN
OXFORD, 29.61, 43, 41, 53, 36, 0.00, NaN, NaN, NaN
PEMBROKE, 29.74, 49, 46, 54, 45, 0.16, NaN, NaN, NaN
LONDON, 29.60, 43, 41, 56, 36, 0.32, 29.38, 49, 47
PORTISHEAD, 29.66, 50, 46, 56, 43, 0.00, NaN, NaN, NaN
DOVER, 29.61, 46, 43, 55, 40, 0.75, NaN, NaN, NaN
CAPGRISNEZ, 29.62, 49, 44, 59, 47, 0.75, NaN, NaN, NaN
BRUSSELS, 29.57, 47, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 29.66, 46, 44, 52, 41, 0.61, NaN, NaN, NaN
PLYMOUTH, 29.76, 47, 47, 55, 42, 0.42, NaN, NaN, NaN
SCILLY, 29.87, 52, 47, 999, 47, 0.24, 29.50, 54, 49
CHARLEVILLE, 999.00, 46, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 29.74, 45, 999, 999, 999, 0.00, NaN, NaN, NaN
BREST, 29.90, 53, 48, 61, 45, 0.04, NaN, NaN, NaN
LORIENT, 29.92, 50, 48, 66, 48, 0.08, NaN, NaN, NaN
ROCHEFORT, 999.00, 55, 51, 66, 50, 0.20, 29.82, 65, 60
LYONS, 29.84, 61, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 29.94, 59, 55, 65, 55, 0.24, NaN, NaN, NaN
CORUNNA, 30.09, 59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.91, 61, 50, 70, 58, 0.00, NaN, NaN, NaN
