1873,09,19,Friday,DWR_1873_09-41.jpg
HAPARANDA, 29.37, 50, 50, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.04, 52, 51, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 29.05, 50, 48, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
WISBY, 29.37, 51, 48, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.26, 53, 51, NaN, NaN, NaN, 29.14, 53, 48
THURSO, 29.75, 49, 45, 54, 46, 0.32, 29.22, 52, 48
WICK, 29.80, 48, 45, 53, 42, 0.25, NaN, NaN, NaN
STORNOWAY, 29.83, 46, 45, 52, 40, 0.02, NaN, NaN, NaN
OXO, 29.14, 49, 48, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 29.22, 54, 51, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 29.21, 49, 46, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.85, 47, 45, 54, 45, 0.37, NaN, NaN, NaN
ABERDEEN, 29.82, 50, 45, 58, 45, 0.13, NaN, NaN, NaN
LEITH, 29.91, 51, 48, 58, 46, 0.18, NaN, NaN, NaN
ARDROSSAN, 29.96, 54, 49, 57, 51, 0.16, NaN, NaN, NaN
FANO, 29.42, 54, 50, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.96, 51, 49, 56, 47, 0.07, 29.68, 54, 49
SHIELDS, 29.94, 50, 47, 57, 47, 0.02, NaN, NaN, NaN
DONAGHADEE, 29.97, 49, 47, 57, 44, 0.00, NaN, NaN, NaN
SCARBOROUGH, 29.98, 54, 50, 56, 48, 0.00, 29.66, 55, 50
YORK, 30.01, 51, 48, 59, 47, 0.00, NaN, NaN, NaN
CUXHAVEN, 29.62, 55, 52, 999, 42, 0.26, NaN, NaN, NaN
LIVERPOOL, 30.09, 53, 50, 58, 51, 0.02, NaN, NaN, NaN
HOLYHEAD, 30.02, 54, 52, 60, 52, 0.00, 29.84, 59, 53
KINGSTOWN, 30.06, 52, 49, 58, 50, 0.01, NaN, NaN, NaN
HELDER, 29.89, 56, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.08, 51, 49, 65, 44, 0.00, NaN, NaN, NaN
YARMOUTH, 30.02, 51, 49, 61, 47, 0.00, NaN, NaN, NaN
CAMBRIDGE, 30.10, 53, 49, 61, 48, 0.00, NaN, NaN, NaN
VALENTIA, 29.95, 53, 51, 59, 50, 0.46, 30.03, 57, 53
ROCHESPOINT, 30.05, 52, 50, 60, 50, 0.18, NaN, NaN, NaN
OXFORD, 30.13, 51, 49, 61, 46, 0.00, NaN, NaN, NaN
PEMBROKE, 30.11, 55, 51, 57, 54, 0.04, NaN, NaN, NaN
LONDON, 30.13, 52, 49, 63, 48, 0.00, 29.93, 61, 54
PORTISHEAD, 30.12, 55, 53, 64, 50, 0.00, NaN, NaN, NaN
DOVER, 30.11, 56, 51, 64, 49, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 30.10, 55, 50, 61, 53, 0.00, NaN, NaN, NaN
BRUSSELS, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.16, 56, 53, 63, 52, 0.00, NaN, NaN, NaN
PLYMOUTH, 30.16, 53, 52, 64, 48, 0.00, NaN, NaN, NaN
SCILLY, 30.13, 56, 55, 59, 53, 0.01, 30.07, 58, 57
CHARLEVILLE, 30.01, 51, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
BREST, 30.20, 56, 56, 60, 53, 0.04, NaN, NaN, NaN
LORIENT, 30.23, 58, 58, 67, 55, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.23, 64, 62, 67, 63, 0.12, 30.21, 67, 63
LYONS, 999.00, 64, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.30, 63, 63, 68, 62, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.06, 64, 60, 73, 60, 0.00, NaN, NaN, NaN
