1866,01,20,Saturday,DWR_1866_01-37.jpg
SKUDDESNAES, 29.18, 43, NaN
NAIRN, 29.18, 35, 0.11
ABERDEEN, 29.19, 37, 0.21
LEITH, 29.17, 46, 0.00
ARDROSSAN, 29.16, 46, 0.20
GREENCASTLE, 29.12, 42, 0.16
SHIELDS, 29.23, 45, 0.00
SCARBOROUGH, 29.28, 45, 0.00
HELIGOLAND, 999.00, 999, 999.00
LIVERPOOL, 29.35, 48, 0.02
HOLYHEAD, 29.28, 47, 0.25
HELDER, 29.62, 45, NaN
YARMOUTH, 29.56, 48, 0.00
VALENTIA, 29.51, 44, 0.36
LONDON, 29.60, 47, 0.13
CAPECLEAR, 999.00, 999, 999.00
PORTSMOUTH, 29.65, 48, 0.36
WEYMOUTH, 29.65, 50, 0.35
PLYMOUTH, 29.64, 50, 0.17
PENZANCE, 29.64, 48, 0.15
BREST, 29.76, 50, 0.39
LORIENT, 29.80, 52, 0.24
ROCHEFORT, 30.00, 45, 0.00
CORUNNA, 999.00, 999, NaN
