1862,12,05,Friday,DWR_1862_12-5.jpg
NAIRN, 29.81, 46
ABERDEEN, 29.94, 48
LEITH, 29.85, 50
BERWICK, 29.99, 47
COPENHAGEN, 30.43, 31
ARDROSSAN, 29.84, 48
PORTRUSH, 999.00, 999
SHIELDS, 29.96, 47
SCARBOROUGH, 29.99, 46
HELIGOLAND, 30.31, 29
LIVERPOOL, 29.88, 50
HOLYHEAD, 29.74, 52
GALWAY, 29.53, 50
HELDER, 30.16, 35
YARMOUTH, 30.09, 47
VALENTIA, 29.43, 51
QUEENSTOWN, 29.53, 51
LONDON, 30.04, 50
DOVER, 30.08, 48
PORTSMOUTH, 30.00, 50
WEYMOUTH, 29.96, 52
PORTLAND, 999.00, 999
PLYMOUTH, 29.88, 53
PENZANCE, 29.80, 54
JERSEY, 30.06, 50
BREST, 29.91, 53
LORIENT, 999.00, 999
ROCHEFORT, 999.00, 999
BAYONNE, 999.00, 44
LISBON, 30.30, 53
