1865,09,22,Friday,DWR_1865_09-35.jpg
NAIRN, 30.27, 57, 0.00
ABERDEEN, 30.27, 52, 0.00
LEITH, 30.32, 57, 0.00
ARDROSSAN, 30.35, 57, 0.08
GREENCASTLE, 30.37, 57, 0.04
SHIELDS, 30.40, 52, 0.00
SCARBOROUGH, 30.37, 51, 0.00
HELIGOLAND, 999.00, 999, 999.00
LIVERPOOL, 30.42, 58, 0.01
HOLYHEAD, 30.39, 54, 0.00
GALWAY, 999.00, 999, 999.00
YARMOUTH, 30.34, 60, 0.00
VALENTIA, 30.42, 58, 0.12
QUEENSTOWN, 999.00, 999, 999.00
PEMBROKE, 999.00, 999, 999.00
LONDON, 30.35, 54, 0.03
CAPECLEAR, 30.40, 57, 0.00
DOVER, 999.00, 999, 999.00
PORTSMOUTH, 30.33, 57, 0.00
WEYMOUTH, 30.35, 56, 0.00
PLYMOUTH, 30.37, 60, 0.00
PENZANCE, 30.40, 58, 0.00
BREST, 30.28, 61, 0.00
LORIENT, 30.16, 59, 0.12
ROCHEFORT, 30.16, 55, 0.00
