1870,08,16,Tuesday,DWR_1870_08-30.jpg
HEARTSCONTENT, 29.67, 60, 0.00
CHRISTIANSUND, 999.00, 999, NaN
SKUDDESNAES, 999.00, 999, NaN
THURSO, 30.18, 56, 0.00
WICK, 30.16, 58, 0.00
OXO, 999.00, 999, NaN
NAIRN, 30.18, 60, 0.00
ABERDEEN, 30.15, 59, 0.00
LEITH, 30.15, 64, 0.00
ARDROSSAN, 30.21, 57, 0.00
GREENCASTLE, 30.23, 59, 0.00
SHIELDS, 30.09, 59, 0.00
SCARBOROUGH, 30.18, 60, 0.00
LIVERPOOL, 30.16, 60, 0.00
HOLYHEAD, 30.19, 60, 0.00
HELDER, 30.00, 62, NaN
YARMOUTH, 30.09, 62, 0.27
VALENTIA, 30.11, 63, 0.00
ROCHESPOINT, 30.11, 61, 0.00
PEMBROKE, 30.05, 59, 0.00
LONDON, 30.09, 61, 0.00
CAPECLEAR, 999.00, 999, 999.00
CAPGRISNEZ, 30.01, 62, 0.00
BRUSSELS, 29.97, 63, NaN
PORTSMOUTH, 30.02, 61, 0.00
PLYMOUTH, 30.08, 62, 0.00
PENZANCE, 30.09, 61, 0.00
PARIS, 29.96, 61, 0.00
STRASBOURG, 999.00, 999, NaN
BREST, 999.00, 62, 0.00
LORIENT, 29.97, 62, 0.00
ROCHEFORT, 29.92, 64, 0.00
LYONS, 29.86, 70, NaN
BIARRITZ, 999.00, 999, 999.00
CORUNNA, 29.98, 70, NaN
TOULON, 999.00, 999, 999.00
