1873,11,11,Tuesday,DWR_1873_11-25.jpg
HAPARANDA, 29.67, 31, 30, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 30.50, 43, 41, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 30.09, 42, 37, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
WISBY, 30.41, 35, 34, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 30.53, 37, 37, NaN, NaN, NaN, 30.53, 40, 37
THURSO, 30.41, 42, 40, 44, 41, 0.00, 30.47, 44, 42
WICK, 30.43, 45, 42, 45, 41, 0.00, NaN, NaN, NaN
STORNOWAY, 30.36, 36, 35, 45, 34, 0.00, NaN, NaN, NaN
OXO, 30.42, 39, 36, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 30.45, 35, 35, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 30.23, 31, 30, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 30.43, 35, 33, 44, 34, 0.00, NaN, NaN, NaN
ABERDEEN, 30.44, 46, 44, 46, 43, 0.03, NaN, NaN, NaN
LEITH, 30.40, 45, 44, 47, 43, 0.00, NaN, NaN, NaN
ARDROSSAN, 30.37, 43, 41, 47, 41, 0.02, NaN, NaN, NaN
FANO, 30.54, 32, 32, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 30.31, 45, 43, 46, 43, 0.00, 30.28, 45, 42
SHIELDS, 30.43, 46, 43, 47, 44, 0.00, NaN, NaN, NaN
DONAGHADEE, 30.31, 46, 45, 47, 44, 0.02, NaN, NaN, NaN
SCARBOROUGH, 30.40, 44, 41, 47, 45, 0.00, 30.34, 46, 43
YORK, 30.39, 43, 40, 47, 37, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.53, 37, 37, 45, 999, 0.00, NaN, NaN, NaN
LIVERPOOL, 30.37, 41, 39, 44, 41, 0.10, NaN, NaN, NaN
HOLYHEAD, 30.24, 43, 42, 46, 42, 0.00, 30.15, 45, 44
KINGSTOWN, 30.27, 48, 47, 50, 45, 0.02, NaN, NaN, NaN
HELDER, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.34, 39, 38, 45, 39, 0.06, NaN, NaN, NaN
YARMOUTH, 30.34, 43, 42, 46, 42, 0.00, NaN, NaN, NaN
CAMBRIDGE, 30.33, 35, 34, 45, 34, 0.19, NaN, NaN, NaN
VALENTIA, 30.16, 48, 45, 49, 43, 0.00, 30.01, 48, 46
ROCHESPOINT, 30.16, 50, 49, 51, 44, 0.39, NaN, NaN, NaN
OXFORD, 30.29, 41, 40, 50, 41, 0.00, NaN, NaN, NaN
PEMBROKE, 30.21, 45, 44, 51, 45, 0.01, NaN, NaN, NaN
LONDON, 30.27, 42, 40, 49, 41, 0.02, 30.19, 48, 46
PORTISHEAD, 30.23, 44, 42, 51, 42, 0.00, NaN, NaN, NaN
DOVER, 30.28, 42, 39, 49, 40, 0.18, NaN, NaN, NaN
CAPGRISNEZ, 30.25, 34, 32, 47, 34, 0.08, NaN, NaN, NaN
BRUSSELS, 30.36, 34, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.24, 44, 42, 49, 42, 0.00, NaN, NaN, NaN
PLYMOUTH, 30.18, 46, 46, 53, 44, 0.08, NaN, NaN, NaN
SCILLY, 30.10, 50, 50, 52, 47, 0.00, 29.94, 50, 49
CHARLEVILLE, 30.26, 35, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.17, 38, 999, 51, 38, 0.00, NaN, NaN, NaN
BREST, 30.10, 46, 44, 57, 43, 0.00, NaN, NaN, NaN
LORIENT, 30.06, 42, 42, 59, 42, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.03, 44, 42, 59, 39, 0.00, 30.08, 56, 52
LYONS, 999.00, 52, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 29.89, 41, 39, 55, 38, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.86, 50, 48, 56, 45, 0.00, NaN, NaN, NaN
