1869,05,13,Thursday,DWR_1869_05-24.jpg
HEARTSCONTENT, 999.00, 999, 999.00
SKUDDESNAES, 999.00, 999, NaN
NAIRN, 30.26, 47, 0.00
ABERDEEN, 30.28, 45, 0.18
LEITH, 30.30, 50, 0.00
ARDROSSAN, 30.34, 48, 0.00
GREENCASTLE, 30.33, 46, 0.01
SHIELDS, 30.31, 46, 0.00
SCARBOROUGH, 30.29, 49, 0.00
LIVERPOOL, 999.00, 999, 0.00
HOLYHEAD, 30.31, 51, 0.00
HELDER, 999.00, 999, NaN
YARMOUTH, 30.26, 50, 0.00
VALENTIA, 30.24, 50, 0.00
ROCHESPOINT, 30.24, 48, 0.00
PEMBROKE, 30.23, 48, 0.00
LONDON, 30.25, 49, 0.00
CAPECLEAR, 30.19, 48, 0.00
CAPGRISNEZ, 30.21, 50, 0.00
BRUSSELS, 999.00, 999, NaN
PORTSMOUTH, 30.21, 52, 0.00
PLYMOUTH, 30.22, 52, 0.00
PENZANCE, 30.16, 51, 0.00
PARIS, 999.00, 999, 999.00
STRASBOURG, 999.00, 999, NaN
BREST, 29.96, 54, 0.00
LORIENT, 29.93, 52, 0.00
ROCHEFORT, 29.85, 63, 0.00
LYONS, 999.00, 999, NaN
BIARRITZ, 999.00, 999, 999.00
CORUNNA, 999.00, 999, NaN
TOULON, 29.83, 68, 0.00
