1863,06,29,Monday,DWR_1863_06-25.jpg
NAIRN, 29.84, 52
ABERDEEN, 29.81, 55
LEITH, 29.85, 60
BERWICK, 999.00, 999
COPENHAGEN, 999.00, 999
ARDROSSAN, 999.00, 999
PORTRUSH, 999.00, 999
SHIELDS, 29.90, 60
SCARBOROUGH, 29.90, 57
HELIGOLAND, 29.98, 55
LIVERPOOL, 29.96, 56
HOLYHEAD, 29.91, 57
GALWAY, 29.99, 60
HELDER, 29.98, 61
YARMOUTH, 29.98, 59
VALENTIA, 30.07, 60
QUEENSTOWN, 30.02, 57
LONDON, 30.01, 58
DOVER, 30.03, 999
PORTSMOUTH, 30.00, 60
WEYMOUTH, 30.03, 59
PORTLAND, 999.00, 999
PLYMOUTH, 30.05, 60
PENZANCE, 30.07, 57
JERSEY, 999.00, 999
BREST, 30.08, 57
LORIENT, 30.04, 57
ROCHEFORT, 30.04, 59
BAYONNE, 999.00, 999
LISBON, 999.00, 999
