1861,09,11,Wednesday,DWR_1861_09-8.jpg
NAIRN, 29.92, 52
ABERDEEN, 29.93, 54
LEITH, 29.96, 57
BERWICK, 29.90, 55
COPENHAGEN, 29.89, 56
ARDROSSAN, 29.96, 55
PORTRUSH, 29.91, 55
SHIELDS, 30.00, 55
SCARBOROUGH, 30.01, 56
HELIGOLAND, 999.00, 999
LIVERPOOL, 29.99, 50
HOLYHEAD, 999.00, 999
GALWAY, 29.90, 59
HELDER, 29.92, 59
YARMOUTH, 29.99, 59
VALENTIA, 29.84, 58
QUEENSTOWN, 29.91, 62
LONDON, 30.00, 55
DOVER, 29.96, 60
PORTSMOUTH, 29.97, 57
WEYMOUTH, 999.00, 999
PORTLAND, 30.02, 55
PLYMOUTH, 29.93, 58
PENZANCE, 29.93, 58
JERSEY, 999.00, 999
BREST, 29.91, 57
LORIENT, 999.00, 999
ROCHEFORT, 999.00, 999
BAYONNE, 29.91, 64
LISBON, 29.99, 69
