1874,02,10,Tuesday,DWR_1874_02-21.jpg
HAPARANDA, 29.82, 12, 11, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 30.32, 29, 28, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 30.04, 15, 14, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
WISBY, 30.08, 19, 18, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 30.62, 19, 17, NaN, NaN, NaN, 30.16, 26, 24
THURSO, 30.45, 34, 31, 40, 29, 0.01, 30.26, 38, 34
WICK, 30.50, 35, 31, 36, 30, 0.01, NaN, NaN, NaN
STORNOWAY, 30.42, 35, 32, 37, 32, 0.00, NaN, NaN, NaN
OXO, 30.49, 20, 16, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 30.43, 22, 19, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 30.18, 6, 6, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 30.49, 999, 999, 37, 999, 0.07, NaN, NaN, NaN
ABERDEEN, 30.51, 34, 32, 37, 33, 0.06, NaN, NaN, NaN
LEITH, 30.54, 31, 30, 40, 29, 0.00, NaN, NaN, NaN
ARDROSSAN, 30.48, 30, 30, 39, 26, 0.00, NaN, NaN, NaN
FANO, 30.51, 16, 15, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 30.36, 37, 34, 39, 34, 0.00, 30.34, 39, 36
SHIELDS, 30.53, 34, 34, 37, 32, 0.04, NaN, NaN, NaN
DONAGHADEE, 30.37, 38, 35, 41, 34, 0.00, NaN, NaN, NaN
SCARBOROUGH, 30.55, 32, 31, 38, 32, 0.11, 30.15, 37, 34
YORK, 30.55, 30, 29, 37, 28, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.41, 24, 20, 36, 999, 0.00, NaN, NaN, NaN
LIVERPOOL, 30.48, 31, 30, 35, 30, 0.00, NaN, NaN, NaN
HOLYHEAD, 30.38, 33, 31, 40, 31, 0.00, 30.32, 38, 36
KINGSTOWN, 30.38, 39, 35, 43, 37, 0.00, NaN, NaN, NaN
HELDER, 30.49, 29, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.54, 30, 29, 37, 27, 0.00, NaN, NaN, NaN
YARMOUTH, 30.52, 31, 30, 36, 30, 0.11, NaN, NaN, NaN
CAMBRIDGE, 30.54, 26, 26, 36, 25, 0.01, NaN, NaN, NaN
VALENTIA, 30.03, 46, 43, 49, 42, 0.00, 30.19, 48, 43
ROCHESPOINT, 30.20, 42, 40, 48, 39, 0.00, NaN, NaN, NaN
OXFORD, 30.50, 27, 27, 36, 25, 0.00, NaN, NaN, NaN
PEMBROKE, 30.32, 35, 33, 42, 31, 0.00, NaN, NaN, NaN
LONDON, 30.51, 32, 31, 38, 28, 0.00, 30.28, 36, 31
PORTISHEAD, 30.43, 27, 26, 39, 25, 0.08, NaN, NaN, NaN
DOVER, 30.48, 32, 31, 37, 28, 0.02, NaN, NaN, NaN
CAPGRISNEZ, 30.41, 37, 35, 39, 35, 0.00, NaN, NaN, NaN
BRUSSELS, 30.44, 26, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
PLYMOUTH, 30.42, 33, 32, 45, 30, 0.00, NaN, NaN, NaN
SCILLY, 30.25, 44, 40, 48, 43, 0.22, 30.26, 48, 45
CHARLEVILLE, 999.00, 23, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.39, 32, 999, 40, 31, 0.00, NaN, NaN, NaN
BREST, 30.29, 39, 37, 48, 37, 0.00, NaN, NaN, NaN
LORIENT, 999.00, 37, 35, 46, 33, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.31, 32, 30, 50, 28, 0.00, 30.30, 50, 41
LYONS, 999.00, 37, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.01, 37, 35, 50, 36, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.87, 31, 26, 50, 30, 0.00, NaN, NaN, NaN
