1862,06,09,Monday,DWR_1862_06-7.jpg
NAIRN, 29.90, 52
ABERDEEN, 29.86, 54
LEITH, 29.86, 56
BERWICK, 29.89, 55
COPENHAGEN, 999.00, 999
ARDROSSAN, 29.90, 54
PORTRUSH, 29.93, 54
SHIELDS, 29.92, 54
SCARBOROUGH, 29.94, 54
HELIGOLAND, 30.02, 999
LIVERPOOL, 29.99, 56
HOLYHEAD, 999.00, 999
GALWAY, 30.00, 60
HELDER, 30.01, 58
YARMOUTH, 30.01, 55
VALENTIA, 30.03, 57
QUEENSTOWN, 30.03, 55
LONDON, 30.04, 55
DOVER, 30.02, 57
PORTSMOUTH, 30.05, 57
WEYMOUTH, 999.00, 999
PORTLAND, 30.05, 59
PLYMOUTH, 30.03, 59
PENZANCE, 30.10, 54
JERSEY, 30.12, 59
BREST, 30.23, 52
LORIENT, 999.00, 999
ROCHEFORT, 999.00, 999
BAYONNE, 999.00, 59
LISBON, 30.23, 66
