1871,01,30,Monday,DWR_1871_01-58.jpg
CHRISTIANSUND, 30.67, 27, NaN
SKUDDESNAES, 30.61, 27, NaN
THURSO, 30.39, 36, 0.00
WICK, 30.41, 38, 0.19
OXO, 30.65, 28, NaN
NAIRN, 30.42, 36, 0.04
ABERDEEN, 30.36, 33, 0.00
LEITH, 30.31, 35, 0.00
ARDROSSAN, 30.30, 34, 0.00
GREENCASTLE, 999.00, 36, 0.00
SHIELDS, 30.29, 35, 0.00
SCARBOROUGH, 30.28, 33, 0.00
LIVERPOOL, 30.18, 34, 0.00
HOLYHEAD, 30.17, 35, 0.00
HELDER, 30.22, 21, NaN
YARMOUTH, 30.18, 28, 0.00
VALENTIA, 29.98, 42, 0.09
ROCHESPOINT, 30.05, 40, 0.00
PEMBROKE, 30.15, 34, 0.00
LONDON, 30.12, 31, 0.01
DOVER, 30.08, 34, 0.03
CAPGRISNEZ, 999.00, 999, 999.00
PORTSMOUTH, 30.14, 33, 0.00
PLYMOUTH, 30.12, 33, 0.00
PENZANCE, 999.00, 37, 0.02
SCILLY, 30.10, 41, 0.05
BREST, 999.00, 999, 999.00
LORIENT, 999.00, 999, 999.00
ROCHEFORT, 999.00, 999, 999.00
BIARRITZ, 999.00, 999, 999.00
