1861,05,27,Monday,DWR_1861_05-21.jpg
NAIRN, 29.79, 54
ABERDEEN, 29.81, 55
LEITH, 29.91, 57
BERWICK, 29.90, 54
COPENHAGEN, 999.00, 999
ARDROSSAN, 30.01, 52
PORTRUSH, 30.02, 52
SHIELDS, 29.99, 54
SCARBOROUGH, 30.01, 59
HELIGOLAND, 999.00, 999
LIVERPOOL, 30.10, 56
HOLYHEAD, 999.00, 999
GALWAY, 30.10, 60
HELDER, 999.00, 999
YARMOUTH, 30.06, 59
VALENTIA, 30.17, 58
QUEENSTOWN, 30.12, 54
LONDON, 30.07, 57
DOVER, 30.06, 62
PORTSMOUTH, 30.04, 62
WEYMOUTH, 999.00, 999
PORTLAND, 30.08, 59
PLYMOUTH, 30.06, 59
PENZANCE, 30.11, 58
JERSEY, 30.07, 61
BREST, 999.00, 999
LORIENT, 999.00, 999
ROCHEFORT, 999.00, 999
BAYONNE, 999.00, 999
LISBON, 999.00, 999
