The soil temperature at Armagh measured in Celcius. The temperature was
recorded at 9am and was measured at depths of 30 cm and 100 cm.
Column 1 - date, column 2 - temperature at 30 cm depth,
column 3 - temperature at 100 cm depth.
Key: -999 date does not exist, -888 data unavailable.

1984

January                      February                     March                        April
    30 cm   100 cm	     	 30 cm   100 cm 	      30 cm   100 cm		   30 cm   100 cm
1     7.5     8.2            1     3.0     5.3  	  1     5.5     6.1	       1     6.2     7.2
2     6.6     8.3	     2     3.7     5.3  	  2     5.6     6.1	       2     5.7     7.2
3     6.1     8.2	     3     4.0     5.3  	  3     4.6     6.2	       3     6.0     7.1
4     5.5     8.0	     4     4.0     5.5  	  4     5.2     6.2	       4     6.1     7.0
5     5.1     8.0	     5     4.4     5.5  	  5     5.8     6.2	       5     6.5     7.0
6     5.2     7.8	     6     4.3     5.6  	  6     6.5     6.3	       6     6.9     7.1
7     5.5     7.7	     7     4.0     5.5  	  7     6.8     6.5	       7     7.1     7.2
8     4.8     7.5	     8     4.0     5.6  	  8     7.0     6.5	       8     7.4     7.3
9     4.2     7.5	     9     3.6     5.5  	  9     7.2     6.6	       9     7.6     7.4
10    4.9     7.3	     10    4.2     5.5  	  10    7.0     6.8	       10    8.0     7.5
11    5.9     7.1	     11    5.0     5.5  	  11    7.0     7.0	       11    8.4     7.6
12    5.3     7.2	     12    5.5     5.7  	  12    6.4     7.0	       12    7.9     7.7
13    5.5     7.2	     13    5.4     5.8  	  13    6.3     7.0	       13    8.5     7.9
14    4.8     7.1	     14    5.3     5.8  	  14    6.0     7.0	       14    8.5     7.9
15    4.4     7.0	     15    4.9     6.0  	  15    6.0     7.0	       15    8.4     8.0
16    4.0     7.0	     16    4.7     6.1  	  16    5.6     7.0	       16    8.2     8.1
17    3.8     6.8	     17    5.0     6.0  	  17    5.4     6.9	       17    8.0     8.2
18    3.5     6.6	     18    5.4     6.0  	  18    5.6     6.9	       18    8.4     8.3
19    3.3     6.5	     19    5.1     6.1  	  19    5.7     6.8	       19    8.8     8.3
20    2.8     6.4	     20    4.5     6.1  	  20    5.7     6.8	       20    9.5     8.3
21    2.5     6.2	     21    4.5     6.0  	  21    5.7     6.8	       21    9.9     8.4
22    2.7     6.0	     22    4.9     6.0  	  22    5.8     6.8	       22    9.9     8.7
