The soil temperature at Armagh measured in Celcius. The temperature was
recorded at 9am and was measured at depths of 30 cm and 100 cm.
Column 1 - date, column 2 - temperature at 30 cm depth,
column 3 - temperature at 100 cm depth.
Key: -999 date does not exist, -888 data unavailable.

1976

January                      February                     March                        April
    30 cm   100 cm	     	 30 cm   100 cm 	      30 cm   100 cm		   30 cm   100 cm
1     6.2     8.0            1     4.0     7.0  	  1     6.5     7.3	       1     7.8     7.8
2     5.7     8.0	     2     4.0     6.8  	  2     6.2     7.3	       2     7.7     7.9
3     6.0     7.9	     3     4.0     6.7  	  3     6.0     7.3	       3     7.5     7.9
4     5.5     7.8	     4     4.1     6.5  	  4     6.0     7.2	       4     7.7     8.0
5     6.1     7.6	     5     4.3     6.5  	  5     6.5     7.1	       5     8.5     8.0
6     6.5     7.6	     6     4.5     6.5  	  6     6.6     7.2	       6     8.8     8.1
7     7.0     7.7	     7     4.5     6.5  	  7     6.0     7.2	       7     9.0     8.3
8     7.2     7.7	     8     5.0     6.5  	  8     5.6     7.2	       8     8.8     8.4
9     7.0     7.9	     9     5.0     6.5  	  9     5.1     7.1	       9     9.5     8.5
10    6.9     7.9	     10    5.5     6.5  	  10    5.4     7.0	       10    9.8     8.6
11    7.5     7.9	     11    5.0     6.5  	  11    6.0     7.0	       11    9.8     8.7
12    7.6     8.0	     12    4.9     6.5  	  12    5.8     6.9	       12    9.0     8.9
13    8.0     8.0	     13    5.3     6.5  	  13    5.9     7.0	       13    9.5     8.9
14    7.8     8.1	     14    4.9     6.5  	  14    5.5     7.0	       14    9.3     9.0
15    7.1     8.1	     15    5.3     6.5  	  15    5.5     7.0	       15    9.4     9.0
16    7.1     8.1	     16    5.0     6.5  	  16    5.9     6.9	       16   10.0     9.1
17    7.4     8.1	     17    5.0     6.5  	  17    5.9     6.9	       17   10.9     9.2
18    7.2     8.1	     18    4.5     6.5  	  18    6.0     6.9	       18   11.0     9.4
19    6.8     8.1	     19    4.8     6.4  	  19    5.8     6.9	       19   11.2     9.5
20    7.4     8.1	     20    4.6     6.4  	  20    6.0     7.0	       20   11.5     9.7
21    6.7     8.1	     21    5.0     6.4  	  21    6.4     7.0	       21   11.6     9.9
22    7.0     8.0	     22    5.5     6.4  	  22    6.4     7.0	       22   12.0    10.0
23    7.0     8.0	     23    6.2     6.5  	  23    6.0     7.0	       23   11.4    10.2
24    6.1     8.0	     24    6.3     6.5  	  24    6.4     7.0	       24   11.5    10.3
25    5.5     7.9	     25    6.5     6.7  	  25    6.9     7.1	       25   11.5    10.4
26    5.0     7.8	     26    6.8     6.7  	  26    7.0     7.4	       26   11.8    10.5
27    4.7     7.6	     27    7.1     6.9  	  27    7.4     7.3	       27   12.2    10.6
28    4.5     7.5	     28    7.2     7.0  	  28    7.8     7.4	       28   11.7    10.7
29    5.2     7.2	     29    7.1     7.1  	  29    7.9     7.5	       29   11.7    10.8
30    5.0     7.1	     30   -999    -999  	  30    8.0     7.6	       30   11.8    10.8
31    4.1     7.0	     31   -999    -999  	  31    8.2     7.8	       31   -999    -999



May                          June                         July                         August
    30 cm   100 cm	     	 30 cm   100 cm 	      30 cm   100 cm		   30 cm   100 cm
1    12.0    10.8	     1    13.9    12.7  	  1    20.0    16.0	       1    17.6    16.8
2    11.3    10.8	     2    14.3    12.7  	  2    20.1    16.2	       2    17.7    16.8
3    11.5    10.9	     3    14.6    12.8  	  3    20.3    16.5	       3    17.6    16.8
4    11.8    10.9	     4    15.0    12.9  	  4    20.2    16.7	       4    17.7    16.7
5    12.2    11.0	     5    15.2    13.0  	  5    20.5    16.9	       5    17.5    16.7
6    12.5    11.0	     6    15.1    13.2  	  6    20.4    17.0	       6    17.6    16.6
7    13.0    11.1	     7    15.8    13.3  	  7    19.4    17.1	       7    17.7    16.6
8    13.4    11.4	     8    16.0    13.5  	  8    19.8    17.1	       8    17.6    16.7
9    13.3    11.4	     9    16.6    13.7  	  9    20.0    17.1	       9    17.6    16.7
10   12.9    11.5	     10   15.7    13.9  	  10   19.0    17.2	       10   18.2    16.7
11   13.0    11.6	     11   15.8    13.9  	  11   18.5    17.2	       11   18.5    16.9
12   13.1    11.7	     12   15.9    14.0  	  12   18.4    17.1	       12   18.8    16.8
13   12.9    11.8	     13   16.0    14.0  	  13   19.0    17.0	       13   18.1    17.0
14   13.3    11.8	     14   16.1    14.0  	  14   18.7    17.0	       14   18.3    17.1
15   13.2    11.9	     15   16.8    14.2  	  15   18.7    17.0	       15   18.3    17.0
16   12.9    12.0	     16   16.8    14.3  	  16   18.4    17.0	       16   18.4    17.0
17   12.9    11.9	     17   16.4    14.4  	  17   18.4    17.0	       17   18.5    17.0
18   12.5    12.0	     18   16.8    14.4  	  18   18.4    17.0	       18   18.9    17.1
19   12.7    12.0	     19   16.0    14.6  	  19   18.4    16.9	       19   18.5    17.1
20   13.0    11.9	     20   16.2    14.6  	  20   18.4    16.9	       20   18.5    17.2
21   13.0    12.0	     21   16.6    14.6  	  21   18.4    16.9	       21   18.4    17.2
22   13.1    12.0	     22   16.8    14.7  	  22   18.4    16.9	       22   18.4    17.2
23   13.7    12.1	     23   17.0    14.8  	  23   18.2    16.9	       23   18.6    17.5
24   14.0    12.2	     24   17.5    14.9  	  24   18.1    16.9	       24   18.4    17.3
25   13.8    12.3	     25   17.8    15.0  	  25   18.1    16.8	       25   18.2    17.3
26   13.6    12.4	     26   17.8    15.1  	  26   18.3    16.8	       26   18.5    17.4
27   13.7    12.5	     27   17.9    15.3  	  27   17.7    16.8	       27   18.5    17.3
28   13.7    12.5	     28   18.4    15.4  	  28   18.2    16.8	       28   18.5    17.3
29   13.4    12.5	     29   19.0    15.6  	  29   18.2    16.8	       29   18.0    17.2
30   13.8    12.5	     30   19.5    15.8  	  30   18.1    16.8	       30   17.4    17.4
31   13.8    12.6	     31   -999    -999  	  31   17.7    16.8	       31   17.4    17.1



September                    October                      November                     December
    30 cm   100 cm	     	30 cm    100 cm 	      30 cm   100 cm		   30 cm   100 cm
1    17.5    17.0	     1    14.6    14.6  	  1    10.1    11.5	       1     6.2     9.0
2    16.9    17.0	     2    14.5    14.5  	  2     9.5    11.4	       2     5.9     8.8
3    16.1    16.9	     3    14.4    14.6  	  3     8.9    11.3	       3     5.3     8.6
4    16.4    16.7	     4    13.8    14.6  	  4     8.8    11.1	       4     5.2     8.4
5    16.6    16.6	     5    13.0    14.5  	  5     8.8    11.0	       5     4.8     8.2
6    16.7    16.5	     6    13.3    14.3  	  6     8.5    10.8	       6     4.7     8.0
7    16.7    16.5	     7    12.8    14.2  	  7     8.3    10.7	       7     4.8     7.8
8    16.7    16.5	     8    12.5    14.0  	  8     8.0    10.6	       8     4.8     7.7
9    15.9    16.4	     9    12.3    13.9  	  9     7.7    10.5	       9     4.5     7.5
10   15.3    16.3	     10   12.5    13.8  	  10    7.5    10.4	       10    4.0     7.4
11   14.5    16.1	     11   12.9    13.7  	  11    7.1    10.1	       11    3.8     7.2
12   14.2    15.9	     12   13.0    13.6  	  12    7.0    10.0	       12    4.0     7.0
13   14.4    15.7	     13   12.2    13.6  	  13    6.6     9.8	       13    4.4     7.0
14   14.5    15.5	     14   11.9    13.5  	  14    6.5     9.5	       14    4.6     7.0
