#statid,stnavn,tabnavn,YYYY,MM,DD,tryk8,tryk14,tryk21,t8,t14,t21,tavg,tmax,tmin,dptryk8,dptryk14,dptryk21,rh8,rh14,rh21,V8,V14,V21,dir8,dir14,dir21,skydk8,skydk14,skydk21,p24,sigt,snedk,Hsne,thav,
,North Star Bay,NORTH STAR BAY,1910,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,1,1004.2,1002.3,1001.2,-9.0,-6.5,-10.8,,,,,,,53,46,48,3.0,1.0,1.0,E,SW,E,0,0,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,2,1002.0,1003.9,1006.7,-10.4,-2.9,-11.0,,,,,,,56,49,55,0.0,4.0,2.0,,E,E,2,3,1,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,3,1006.8,1005.2,1002.3,-10.0,-8.5,-11.4,,,,,,,67,62,67,,1.0,1.0,,S,NE,8,9,6,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,4,1001.4,1001.9,1005.2,-11.5,-10.0,-11.5,,,,,,,65,68,55,1.0,1.0,5.0,E,SE,SE,9,3,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,5,1011.4,1013.2,1017.9,-9.5,-7.8,-8.0,,,,,,,57,68,64,5.0,8.0,3.0,S,S,W,10,10,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,6,1018.7,1016.0,1013.0,-8.8,-6.5,-7.2,,,,,,,68,56,76,2.0,2.0,1.0,E,SE,S,9,9,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,7,1004.2,999.6,997.5,-7.3,-7.5,-8.3,,,,,,,93,72,75,0.0,0.0,0.0,,,,10,0,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,8,997.4,998.8,1015.6,-15.6,-11.2,-14.5,,,,,,,74,65,65,2.0,0.0,2.0,E,,S,2,1,5,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,9,1007.4,1010.2,1011.9,-7.9,-7.7,-9.0,,,,,,,62,62,58,3.0,4.0,0.0,S,S,,10,10,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,10,1011.5,1008.6,1007.9,-9.4,-8.0,-14.3,,,,,,,58,64,75,1.0,1.0,1.0,S,E,E,8,3,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,11,1008.7,1010.3,1011.9,-10.0,-8.0,-9.2,,,,,,,84,64,75,0.0,6.0,3.0,,S,S,10,10,8,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,12,1004.0,996.4,995.6,-12.0,-14.4,-13.5,,,,,,,89,81,72,,1.0,5.0,,N,E,5,1,1,0.2,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,13,996.2,991.9,993.0,-12.5,-14.6,-14.5,,,,,,,66,65,64,1.0,1.0,0.0,E,E,,10,1,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,14,996.8,997.8,1009.0,-17.0,-14.8,-11.5,,0.1,,,,,74,61,65,,1.0,5.0,,NE,S,0,0,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,15,1016.7,1016.6,1017.9,-9.6,-12.2,-16.0,,,,,,,63,58,67,2.0,4.0,1.0,S,SE,E,10,5,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,16,1018.7,1021.9,1024.2,-15.8,-11.0,-4.0,,0.2,,,,,66,63,63,1.0,1.0,3.0,N,N,E,0,3,3,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,17,1024.2,1020.6,1019.9,-3.5,-4.4,-2.5,,,,,,,54,58,43,5.0,1.0,4.0,SE,SE,SE,4,10,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,18,1015.4,1014.0,1014.6,-3.0,-1.0,-3.8,,,,,,,51,44,62,0.0,2.0,1.0,,SE,NE,10,10,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,19,1007.8,1003.9,1001.2,-6.8,-7.4,-8.8,,,,,,,95,79,92,2.0,1.0,1.0,E,N,SE,10,5,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,20,1001.4,1003.9,1007.2,-12.0,-12.6,-16.0,,,,,,,85,84,80,1.0,1.0,1.0,NE,NE,NE,10,10,1,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,21,998.7,996.6,1005.2,-15.5,-15.0,-6.5,,0.3,,,,,80,80,56,2.0,1.0,5.0,E,E,S,0,9,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,22,1007.4,1006.6,1007.9,-11.9,-13.0,-13.4,,,,,,,88,,84,0.0,,3.0,,,E,10,,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,23,1002.7,999.2,1001.9,-14.3,-16.5,-13.5,,,,,,,85,83,84,2.0,1.0,1.0,E,NE,E,10,10,10,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,24,1007.4,1011.2,1015.9,-13.0,-11.5,-12.5,,,,,,,84,82,70,0.0,2.0,3.0,,NE,SW,10,10,10,0.2,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,25,1019.5,1019.9,1018.6,-13.5,-13.0,-13.0,,,,,,,67,,61,1.0,,1.0,E,,W,10,,10,0.4,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,26,1015.5,1015.1,1019.2,-18.5,-18.5,-18.5,,0.4,,,,,71,66,58,1.0,3.0,3.0,NE,E,E,0,0,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,27,1022.0,1025.2,1031.9,-20.2,-20.4,-20.5,,0.5,,,,,64,68,59,2.0,1.0,2.0,E,E,E,2,0,0,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,28,1027.4,1019.2,1009.0,-21.4,-22.0,-20.0,,0.6,,,,,65,57,62,1.0,0.0,0.0,E,,,0,0,2,,,,,,
,North Star Bay,NORTH STAR BAY,1910,10,29,1000.3,993.2,993.5,-5.0,-6.0,-1.1,,,,,,,54,83,86,,,,,,,10,10,10,,,,,,
