'As-digitised',           'SEF_ID',            'Number'
'16 de Octubre',          'DWR_16_de_Octubre',   125
'9 de Julio',             'DWR_9_de_Julio',      1
'Abra Pampa',             'DWR_Abra_Pampa',      2
'Andalgalá',              'DWR_Andalgala',       3
'Andalgala',              'DWR_Andalgala',       3000
'Arias',                  'DWR_Arias',           4
'Arocena',                'DWR_Arocena',         126
'Arroyitos',              'DWR_Arroyitos',       5
'Bahia Blanca',           'DWR_Bahia_Blanca',    6 
'Balcarce',               'DWR_Balcarce',        7
'Bernasconi',             'DWR_Bernasconi',      8
'B. Mitre',               'DWR_B._Mitre',        9
'Bolivar',                'DWR_Bolivar',        10
'B. Parada',              'DWR_B._Parada',      11
'BRASIL - Rio de Janeiro' 'DWR_Rio_Janeiro'     127
'BUENOS AIRES-Azul',      'DWR_Azul_BA',        12
'BUENOS AIRES - Azul'     'DWR_Azul_BA',        12000
'BUENOS AIRES-Junin',     'DWR_Junin_BA',       13
'Bahia Blanca',           'DWR_Bahia_Blanca',   127
'Balcarce',               'DWR_Balcarce',       128
'Bell Ville',             'DWR_Bell_Ville',     129
'Bernasconi',             'DWR_Bernasconi',     130
'Bolivar',                'DWR_Bolivar',        131
'Buena Esperanza',        'DWR_B_Esperanza',    132
'Burruyacu',              'DWR_Burruyacu',      14
'Cabo Alarcon',           'DWR_Cabo_Alarcon',   15 
'Cabo Blanco',            'DWR_Cabo_Blanco',    16
'Cabo Raso',              'DWR_Cabo_Raso',      17
'C. Rivadavia',           'DWR_C._Rivadavia',   133
'C. Virgenes',            'DWR_C._Virgenes',    134
'Caleta Olivia',          'DWR_Caleta_Oliv.',   18 
'Camarones',              'DWR_Camarones',      19
'Cañada Verde',           'DWR_Canada_Verde',   20
'Canadon de las Vacas',   'DWR_Canadon_dlV.'    136
'Canadon',                'DWR_Canadon',        137
'CAPITAL FEDERAL',        'DWR_Capital_Fed.',   21 
'Carcarañá',              'DWR_Carcarana',      22
'CATAMARCA-Capital',      'DWR_Catamarca-Cp',   23 
'Ceres',                  'DWR_Ceres',          24
'Chamical',               'DWR_Chamical',       138
