/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from CCCACE1 (1913-1923), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926327 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 39.473056 * LONGITUDE: -6.370000
	DATE/TIME START: 1913-01-01T00:00:00 * DATE/TIME END: 1923-12-31T00:00:00
Event(s):	CCCACE1 * LATITUDE: 39.473056 * LONGITUDE: -6.370000 * LOCATION: Cáceres, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST) * COMMENT: the symbol "#" represents suspicious data found from a quality control
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Total cloud amount [fourths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 8 am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 8 am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1 pm
	Total cloud amount [fourths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 4 pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 4 pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6 pm
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the black bulb thermometer, at 4pm for the period 1913-01-01--1920-12-31, at 1pm for the period 1923-01-01--1923-12-31
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the bright bulb thermometer, at 4pm for the period 1913-01-01--1920-12-31, at 1pm for the period 1923-01-01--1923-12-31
	Temperature, difference [°C] (delta T) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: oscillation between black and bright bulbs thermometers, at 4pm for the period 1913-01-01--1920-12-31, at 1pm for the period 1923-01-01--1923-12-31
Size:	18173 data points
*/
Date/Time	N [fourths] (at 8 am)	N [tenths] (at 8 am)	N [tenths] (at 1 pm)	N [fourths] (at 4 pm)	N [tenths] (at 4 pm)	N [tenths] (at 6 pm)	TTT [°C] (reached by the black bulb the...)	TTT [°C] (reached by the bright bulb th...)	delta T [°C] (oscillation between black and...)
1913-01-01	2			4			40.2		
1913-01-02	0			2			42.5		
1913-01-03	4			4			41.0		
1913-01-04				4			32.8		
1913-01-05				4			29.0		
1913-01-06	1			2			24.5		
1913-01-07	4			1			25.0		
1913-01-08	4			1			43.0		
1913-01-09	2			4			34.5		
1913-01-10	2			4			39.0		
1913-01-11				4			28.2		
1913-01-12	0			2			25.5		
1913-01-13				4			28.0		
1913-01-14				3			29.0		
1913-01-15				2			35.5		
1913-01-16	4			4			33.0		
1913-01-17				4			33.5		
1913-01-18	0			1			28.4		
1913-01-19	4			4			40.0		
1913-01-20	0			3			33.5		
1913-01-21				2			38.9		
1913-01-22	0			0			25.6		
1913-01-23	0			0			40.0		
1913-01-24	4			4			39.6		
1913-01-25				4			29.2		
1913-01-26				4			27.0		
1913-01-27	4			2			29.0		
1913-01-28				4			32.4		
1913-01-29	4			4			25.0		
1913-01-30	0			3			31.5		
1913-01-31	4			4			44.6		
1913-02-01				4			30.0		
1913-02-02	4			1			26.9		
1913-02-03	0			0			34.0		
1913-02-04	0			0			23.0		
1913-02-05	4			4			41.0		
1913-02-06				3			21.0		
1913-02-07	0			0			37.8		
1913-02-08	1			1			43.2		
1913-02-09	0			0			27.8		
1913-02-10	1			2			44.6		
1913-02-11	3			2			28.4	21.0	7.4
1913-02-12	0			4			20.8	17.2	3.6
1913-02-13				0			35.8	27.0	8.8
1913-02-14	0			0			36.6	27.2	9.4
1913-02-15	0			0			37.2	28.0	9.2
1913-02-16	0			2			33.8	26.0	7.8
1913-02-17	1			1			33.6	25.2	8.4
1913-02-18	0			0			34.6	24.8	9.8
1913-02-19	2			2			29.6	21.8	7.8
1913-02-20	4			3			20.4	15.4	5.0
1913-02-21	0			0			31.0	20.0	11.0
1913-02-22	1			3			23.6	18.2	5.4
1913-02-23	2			4			17.2	19.2	2.0
1913-02-24	4			4			11.8	10.8	1.0
1913-02-25	4			4			9.8	8.4	1.2
1913-02-26	4			4			16.4	13.4	3.0
1913-02-27	4			4			13.8	12.0	1.8
1913-02-28	0			0			37.4	26.0	11.4
1913-03-01	0			3			27.2	21.2	6.0
1913-03-02	3			2			39.4	28.6	10.8
1913-03-03	0			0			40.8	30.4	10.4
1913-03-04	0			0			41.2	31.4	9.8
1913-03-05	0			1			40.8	31.0	9.8
1913-03-06	0			0			41.2	31.4	9.8
1913-03-07	0			2			34.4	26.2	8.2
1913-03-08	4			4			22.8	18.2	4.6
1913-03-09	0			0			30.0	24.2	5.8
1913-03-10	0			0			43.2	32.2	11.0
1913-03-11	2			4			27.6	23.0	4.6
1913-03-12	3			4			37.8	29.0	8.8
1913-03-13	0			2			39.4	24.8	10.6
1913-03-14	0			0			43.2	33.2	10.0
1913-03-15	0			0			44.3	34.2	10.1
1913-03-16	1			0			37.0	27.6	9.4
1913-03-17	2			0			#43.2	#33.0	10.2
1913-03-18	4						#14.4	#12.6	1.8
1913-03-19	1			2			48.8	37.0	11.8
1913-03-20	4			4			27.8	22.8	9.0
1913-03-21	4			3			23.8	19.4	4.4
1913-03-22	4			2			38.8	27.2	11.6
1913-03-23	0			2			26.4	19.2	7.2
1913-03-24	4			4			14.4	12.6	1.8
1913-03-25	4			4			12.8	10.0	2.8
1913-03-26	4			3			18.4	15.6	2.8
1913-03-27	3			4			11.2	10.6	0.6
1913-03-28	4			4			12.8	10.8	2.0
1913-03-29	4			4			23.2	16.8	6.4
1913-03-30	0			2			34.4	25.4	9.0
1913-03-31	0			1			40.0	28.4	11.6
1913-04-01	0			0			36.2	23.6	12.6
1913-04-02	0			4			14.6	12.8	1.8
1913-04-03	4			4			29.0	20.2	8.8
1913-04-04	4			3			41.6	29.2	12.4
1913-04-05	4			2			42.2	29.4	12.8
1913-04-06	3			3			31.4	20.8	10.6
1913-04-07	4			2			38.6	27.8	10.8
1913-04-08	0			4			23.0	18.4	4.6
1913-04-09	0			0			41.8	30.0	11.8
1913-04-10	0			4			28.4	22.8	5.6
1913-04-11	3			2			42.8	32.4	10.4
1913-04-12	0			0			45.2	34.6	10.6
1913-04-13	0			0			47.2	31.4	15.8
1913-04-14	0			0			48.4	36.6	11.8
1913-04-15	1			0			44.0	32.8	11.2
1913-04-16	0			0			46.8	35.6	11.2
1913-04-17	3			3			40.4	30.0	10.4
1913-04-18	1			1			41.8	35.0	6.8
1913-04-19	0			1			49.2	37.6	11.6
1913-04-20	1			0			57.4	37.8	#19.6
1913-04-21	0			3			35.4	28.6	6.8
1913-04-22	0			2			49.6	36.6	13.0
1913-04-23	1			2			44.8	32.6	12.2
1913-04-24	0			4			27.0	21.8	5.2
1913-04-25	1			2			41.4	31.2	10.2
1913-04-26	2			1			45.8	34.4	11.4
1913-04-27	4			3			34.0	26.4	7.6
1913-04-28	2			3			41.0	30.8	10.2
1913-04-29	2			2			31.4	26.2	5.2
1913-04-30	0			1			43.0	31.0	12.0
1913-05-01	0			0			45.4	33.6	11.8
1913-05-02	0			2			46.2	34.6	11.6
1913-05-03	0			3			42.6	32.8	9.8
1913-05-04	0			2			37.0	29.8	7.2
1913-05-05	0			0			46.8	35.6	11.2
1913-05-06	0			0			48.2	38.4	9.8
1913-05-07	0			0			48.8	37.4	11.4
1913-05-08	1			3			35.4	27.8	7.6
1913-05-09	4			4			20.8	17.6	3.2
1913-05-10	4			3			36.6	27.8	8.8
1913-05-11	0			0			50.6	38.4	12.2
1913-05-12	1			1			#48.6	38.2	10.2
1913-05-13	0			4			17.6	19.6	2.0
1913-05-14	1			3			40.6	29.2	11.4
1913-05-15	2			2			39.0	30.2	8.8
1913-05-16	4			4			34.8	27.4	7.4
