/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BAVFBA1 (1905-1906), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926322 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.600000 * LONGITUDE: -6.320833
	DATE/TIME START: 1905-08-01T00:00:00 * DATE/TIME END: 1906-12-31T00:00:00
Event(s):	BAVFBA1 * LATITUDE: 38.600000 * LONGITUDE: -6.320833 * LOCATION: Villafranca de los Barros, Spain * METHOD/DEVICE: Weather station/meteorological * COMMENT: the symbol "#" represents suspicious data found from a quality control observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, daily maximum [°C] (TxTxTx day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, daily minimum [°C] (TnTnTn day min) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, daily mean [°C] (TTT daily m) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Humidity, relative [%] (RH) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 9am for the period 1905-08-01--1905-10-31, at 7am for the period 1905-11-01--1906-12-31
	Pressure, atmospheric [arbitrary units] (PPPP other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: in mmHg, at 9am for the period 1905-08-01--1905-10-31, at 7am for the period 1905-11-01--1906-12-31
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Precipitation [mm/day] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 9am for the period 1905-08-01--1905-10-31, at 7am for the period 1905-11-01--1906-12-31
Size:	3542 data points
*/
Date/Time	TxTxTx day max [°C]	TnTnTn day min [°C]	TTT daily m [°C]	RH [%]	PPPP other [arbitrary units]	N [tenths]	Precip [mm/day]
1905-08-01	39.2	12.5	25.90	52	726.95	2.0	0.0
1905-08-02	35.8	11.3	23.50	55	727.68	0.0	0.0
1905-08-03	39.0	12.5	25.70	58	724.81	0.0	0.0
1905-08-04	36.0	11.0	23.50	59	727.29	9.0	0.0
1905-08-05	31.0	6.5	18.80	52	731.90	0.0	0.0
1905-08-06	29.9	8.6	19.30	44	734.12	0.0	0.0
1905-08-07	40.7	15.0	27.80	38	730.73	0.0	0.0
1905-08-08	41.6	14.8	28.20	44	727.52	0.0	0.0
1905-08-09	44.9	11.0	27.90	38	728.60	0.0	0.0
1905-08-10	42.8	10.4	26.60	31	730.60	3.0	0.0
1905-08-11	38.5	9.8	24.10	59	729.80	0.0	0.0
1905-08-12	38.7	13.4	26.00	31	729.00	6.0	0.0
1905-08-13	40.5	15.5	28.00	36	730.57	0.0	0.0
1905-08-14	41.4	16.2	28.80	37	729.87	0.0	0.0
1905-08-15	39.0	11.6	25.30	37	730.87	0.0	0.0
1905-08-16	38.0	12.2	25.10	62	729.88	0.0	0.0
1905-08-17	35.8	13.5	24.70	60	729.81	2.0	0.0
1905-08-18	38.8	17.0	27.90	51	728.79	0.0	0.0
1905-08-19	42.4	19.8	31.10	42	730.43	0.0	0.0
1905-08-20	42.8	20.2	31.50	28	731.65	0.0	0.0
1905-08-21	41.7	17.4	29.50	39	729.96	0.0	0.0
1905-08-22	38.8	12.9	25.80	51	728.56	2.0	0.0
1905-08-23	39.5	14.0	26.70	48	726.80	4.0	0.0
1905-08-24	37.0	12.5	24.70	46	725.80	0.0	0.0
1905-08-25	35.7	10.0	22.90	65	726.02	2.0	0.0
1905-08-26	29.8	8.1	18.90	68	728.93	1.0	0.0
1905-08-27	34.0	9.0	21.50	53	729.53	0.0	0.0
1905-08-28	35.5	12.5	24.00	#43	729.81	1.0	0.0
1905-08-29	34.9	11.0	23.00	74	728.02	3.0	0.0
1905-08-30	28.5	5.9	17.20	59	727.04	0.0	0.0
1905-08-31	29.0	6.0	17.50	59	728.21	0.1	0.0
1905-09-01	34.0	8.6	21.30	43	729.71	0.3	0.0
1905-09-02	35.8	11.3	23.50	52	731.63	0.0	0.0
1905-09-03	36.7	15.6	26.20	42	732.91	0.0	0.0
1905-09-04	39.4	15.8	27.60	24	732.35	3.0	0.0
1905-09-05	43.1	19.0	31.00	#37	731.41	0.1	0.0
1905-09-06	37.2	9.7	23.40	71	729.02	0.1	0.0
1905-09-07	33.0	10.3	21.70	74	729.05	8.0	0.0
1905-09-08	30.0	11.3	20.60	58	732.13	2.0	0.0
1905-09-09	28.7	7.2	17.90	51	733.16	0.0	0.0
1905-09-10	32.7	12.0	22.40	27	731.17	0.0	0.0
1905-09-11	37.8	14.0	25.90	39	728.15	6.0	0.0
1905-09-12	32.7	14.1	23.40	62	727.65	6.0	0.0
1905-09-13	31.5	12.0	21.70	58	729.13	0.0	4.0
1905-09-14	36.8	14.4	25.60	61	727.15	5.0	0.0
1905-09-15	33.4	10.2	21.80	74	725.21	10.0	0.0
1905-09-16	22.3	8.1	15.20	68	723.02	10.0	0.4
1905-09-17	20.0	5.5	12.80	73	728.49	5.0	1.0
1905-09-18	18.8	5.5	12.10	72	730.63	5.0	0.0
1905-09-19	21.5	3.1	12.30	62	731.82	0.0	0.0
1905-09-20	24.0	7.8	15.90	62	731.61	0.0	0.0
1905-09-21	27.9	9.5	18.70	45	728.46	1.0	0.0
1905-09-22	31.3	10.6	20.90	#38	724.51		0.0
1905-09-23	31.8	6.1	19.00	68	724.51	8.0	0.0
1905-09-24	19.8	3.8	11.80	62	725.57	4.0	0.0
1905-09-25	22.2	6.5	14.30	63	725.63	6.0	0.0
1905-09-26	22.8	11.7	17.30	80	725.19	9.0	15.0
1905-09-27	23.0	8.9	15.90	65	726.62	7.0	0.0
1905-09-28	22.0	6.0	14.00	68	723.71	9.0	0.0
1905-09-29	20.4	8.0	14.20	85	725.31	6.0	0.0
1905-09-30	20.5	8.9	14.70	65	726.54	3.0	0.0
1905-10-01	20.6	7.0	13.80	61	727.74	2.0	0.0
1905-10-02	24.4	9.2	16.80	47	730.21	0.0	0.0
1905-10-03	25.0	8.6	16.80	50	730.66	0.0	0.0
1905-10-04	27.1	8.2	17.65	43	729.74	0.2	0.0
1905-10-05	28.8	10.0	19.40	39	728.71	1.0	0.0
1905-10-06	28.7	11.0	19.85	34	727.48	0.0	0.0
1905-10-07	28.0	13.0	20.50	33	728.12	1.0	0.0
1905-10-08	28.3	14.9	21.60	54	728.60	3.0	0.0
1905-10-09	29.9	15.0	22.45	39	729.50	0.0	0.0
1905-10-10	26.4	14.2	20.30	58	729.00	0.0	0.0
1905-10-11	27.6	13.5	20.55	52	725.21	0.0	0.0
1905-10-12	24.0	11.0	17.50	45	726.34	2.0	0.0
1905-10-13	22.0	9.0	15.50	44	729.74	1.0	0.0
1905-10-14	22.9	8.0	15.45	42	730.53	0.0	0.0
1905-10-15	25.7	11.3	18.50	41	725.75	4.0	0.0
1905-10-16	24.0	11.0	17.50	52	722.99	10.0	5.2
1905-10-17	22.0	10.5	16.25	70	726.15	4.0	0.2
1905-10-18	16.8	5.0	10.90	69	729.20	1.0	0.0
1905-10-19	17.3	4.8	11.05	58	730.97	0.0	0.0
1905-10-20	18.9	2.1	10.50	82	728.98	2.0	0.0
