/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from CCMONT (1915), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926258 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 40.320155 * LONGITUDE: -5.857607
	DATE/TIME START: 1915-06-01T00:00:00 * DATE/TIME END: 1915-09-27T00:00:00
Event(s):	CCMONT3 * LATITUDE: 40.320155 * LONGITUDE: -5.857607 * LOCATION: Baños de Montemayor, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, maximum [°C] (TxTxTx) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, minimum [°C] (TnTnTn) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, daily mean [°C] (TTT daily m) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, difference [°C] (delta T) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: between maximum and minimum
Size:	476 data points
*/
Date/Time	TxTxTx [°C]	TnTnTn [°C]	TTT daily m [°C]	delta T [°C]
1915-06-01	16.0	9.0	12.50	7.0
1915-06-02	16.0	8.0	12.00	8.0
1915-06-03	21.0	10.0	15.50	11.0
1915-06-04	24.0	14.0	19.00	10.0
1915-06-05	23.0	15.0	19.00	8.0
1915-06-06	25.0	14.0	19.50	11.0
1915-06-07	25.0	15.0	20.00	10.0
1915-06-08	24.0	15.0	19.50	9.0
1915-06-09	24.0	15.0	19.50	9.0
1915-06-10	19.0	10.0	14.50	9.0
1915-06-11	23.0	10.0	16.50	13.0
1915-06-12	23.0	13.5	18.25	9.5
1915-06-13	22.5	13.0	17.75	9.5
1915-06-14	21.0	10.0	15.50	11.0
1915-06-15	22.0	12.0	17.00	10.0
1915-06-16	23.0	13.0	18.00	10.0
1915-06-17	23.0	12.0	17.50	11.0
1915-06-18	24.0	13.0	18.50	11.0
1915-06-19	26.0	14.0	20.00	12.0
1915-06-20	26.0	14.0	20.00	12.0
1915-06-21	21.0	13.0	17.00	8.0
1915-06-22	21.0	13.0	17.00	8.0
1915-06-23	21.0	13.0	17.00	8.0
1915-06-24	17.0	12.0	14.50	5.0
1915-06-25	25.0	14.0	19.50	11.0
1915-06-26	22.0	12.0	17.00	10.0
1915-06-27	23.0	12.5	17.75	10.5
1915-06-28	24.0	12.0	18.00	12.0
1915-06-29	23.0	14.0	18.50	9.0
1915-06-30	25.0	13.0	19.00	12.0
1915-07-01	25.0	15.0	20.00	10.0
1915-07-02	27.0	12.0	19.50	15.0
1915-07-03	29.0	13.0	21.00	16.0
1915-07-04	30.0	16.0	23.00	14.0
1915-07-05	30.0	16.0	23.00	14.0
1915-07-06	30.0	16.0	23.00	14.0
1915-07-07	30.0	17.0	23.50	13.0
1915-07-08	29.0	16.0	22.50	13.0
1915-07-09	27.0	14.0	20.50	13.0
1915-07-10	25.5	12.5	19.00	13.0
1915-07-11	25.5	12.5	19.00	13.0
1915-07-12	27.0	16.0	21.50	11.0
1915-07-13	23.0	12.0	17.50	11.0
1915-07-14	23.0	11.0	17.00	12.0
1915-07-15	25.0	13.0	19.00	12.0
1915-07-16	27.0	13.0	20.00	14.0
1915-07-17	25.0	15.0	20.00	10.0
1915-07-18	28.0	14.0	21.00	14.0
1915-07-19	30.0	15.0	22.50	15.0
1915-07-20	30.0	16.0	23.00	14.0
1915-07-21	30.0	16.5	23.25	13.5
1915-07-22	30.0	15.0	22.50	15.0
1915-07-23	35.0	14.0	24.50	21.0
1915-07-24	24.0	12.0	18.00	12.0
1915-07-25	24.0	12.5	18.25	11.5
1915-07-26	26.0	13.0	19.50	13.0
1915-07-27	24.0	16.0	20.00	8.0
1915-07-28	26.5	13.0	19.75	13.5
1915-07-29	27.5	14.5	21.00	13.0
1915-07-30	25.5	11.5	18.50	14.0
1915-07-31	27.0	13.5	20.25	13.5
1915-08-01	25.0	13.0	19.00	12.0
1915-08-02	21.0	10.0	15.50	11.0
1915-08-03	24.0	9.0	16.50	15.0
1915-08-04	27.0	12.0	19.50	15.0
1915-08-05	29.0	15.0	22.00	14.0
1915-08-06	31.0	17.0	24.00	14.0
1915-08-07	32.5	16.0	24.25	16.5
1915-08-08	33.0	17.0	25.00	16.0
1915-08-09	31.0	14.0	22.50	17.0
1915-08-10	31.0	17.0	24.00	14.0
1915-08-11	29.0	15.0	22.00	14.0
1915-08-12	27.0	15.0	21.00	12.0
1915-08-13	26.0	16.0	21.00	10.0
1915-08-14	27.0	15.0	21.00	12.0
1915-08-15	29.0	16.0	22.50	13.0
1915-08-16	28.0	16.5	22.25	11.5
1915-08-17	26.0	15.0	20.50	11.0
1915-08-18	22.0	13.0	17.50	9.0
1915-08-19	22.0	12.0	17.00	10.0
1915-08-20	22.0	11.0	16.50	11.0
1915-08-21	26.0	12.0	19.00	14.0
1915-08-22	28.0	14.0	21.00	14.0
1915-08-23	28.0	13.0	20.50	15.0
1915-08-24	28.5	13.0	20.75	15.5
1915-08-25	28.5	15.0	21.75	13.5
1915-08-26	21.0	14.0	17.50	7.0
1915-08-27	21.0	11.0	16.00	10.0
1915-08-28	21.5	10.5	16.00	11.0
1915-08-29	24.0	12.0	18.00	12.0
1915-08-30	24.0	11.0	17.50	13.0
1915-08-31	24.5	14.0	19.25	10.5
1915-09-01	21.5	13.0	17.25	8.5
1915-09-02	15.0	9.0	12.00	6.0
1915-09-03	15.5	8.0	11.75	7.5
