/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BALLER1 (1912-1935), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926273 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.250000 * LONGITUDE: -6.000000 * ALTITUDE: 637 m
	DATE/TIME START: 1912-06-01T00:00:00 * DATE/TIME END: 1935-12-01T00:00:00
Event(s):	BALLER1 * LATITUDE: 38.250000 * LONGITUDE: -6.000000 * ALTITUDE: 637 m * LOCATION: Llerena, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air, monthly mean [°C] (TTT monthly m) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: from the max and min temperatures
	Temperature, air, monthly maximum [°C] (TTT month max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the bright bulb thermometer in the shadow
	Temperature, air, maximum [°C] (TxTxTx) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the bright bulb thermometer in the shadow in one day
	Day of the month (Day of month) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of max temperature in the shadow
	Temperature, air, monthly minimum [°C] (TTT month min) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the bright bulb thermometer in the shadow
	Temperature, air, minimum [°C] (TnTnTn) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: reached by the bright bulb thermometer in the shadow in one day
	Day of the month (Day of month) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of min temperature in the shadow ("Various" means several days)
	Number of rainy days [days/month] (Rainy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of snowy days [days/month] (Snowy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Precipitation [mm/month] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge
	Precipitation, daily, maximum [mm/day] (Precip day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge * COMMENT: within this month
	Day of the month (Day of month) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of max daily precipitation
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean, in rainy days (W = west, E = east, N = north, S = south) ("Various" means several directions)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: max, in rainy days (W = west, E = east, N = north, S = south) ("Various" means several directions)
	Number of stormy days [days/month] (Stormy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of hail days [days/month] (Hail days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
Size:	493 data points
*/
Date/Time	TTT monthly m [°C] (from the max and min temperat...)	TTT month max [°C] (reached by the bright bulb th...)	TxTxTx [°C] (reached by the bright bulb th...)	Day of month (of max temperature in the shadow)	TTT month min [°C] (reached by the bright bulb th...)	TnTnTn [°C] (reached by the bright bulb th...)	Day of month (of min temperature in the shadow)	Rainy days [days/month] (Observation)	Snowy days [days/month] (Observation)	Precip [mm/month] (Hellmann Rain Gauge)	Precip day max [mm/day] (within this month, Hellmann R...)	Day of month (of max daily precipitation)	Wind dir descr (mean, in rainy days (W = west...)	Wind dir descr (max, in rainy days (W = west,...)	Stormy days [days/month] (Observation)	Hail days [days/month] (Observation)
1912-06								3	0	9.2	5.4	1	W	W		
1912-07								1	0	6.3	6.3	1				
1912-08								0	0	0.0	0.0					
1912-09								6	0	33.6	10.0	21				
1912-10								11	0	48.7	21.9	30		S		
1912-11								3	0	8.0	5.1	29	W	W		
1912-12								6	0	25.1	15.4	8		S		
1913-01								19	0	81.5	20.8	14	W	W	0	0
1913-02								9	0	37.4	17.5	25	NW	W	0	1
1913-03								7	1	81.3	21.2	28	S	S	0	0
1913-04								6	2	25.5	9.6	11	W	S	0	1
1913-05								7	0	26.8	7.4	10	W	W	0	0
1913-06								1	0	6.6	6.6	2	W	W	0	0
1913-07								0	0	0.0	0.0				0	0
1913-08								1	0	1.1	1.1	26			1	0
1913-09								10	0	55.2	13.2	30	S-W	S	1	0
1913-10								16	0	234.7	40.5	23	S	S	1	0
1913-11								8	0	89.3	39.0	11	S	S	0	0
1913-12								3	0	12.9	9.7	24	S	S	0	
1915-01								10	2	75.2	23.0	3	SW	SW		
1915-02								11	1	37.4	14.1	5	W	SW		
1915-03								15	0	126.0	17.0	20	S	S		
1915-04								3	0	37.1	21.2	23	S	S		
1915-05								7	0	50.0	11.7	16	SW	SW		
1915-06								1	0	3.1	3.1	2	N	N		
1915-10								3	0	26.7	16.6	14	S	S	1	
1915-11								14	0	155.6	22.3	4	S	S		
1915-12								7	0	68.1	14.0	17	S	S		
1916-01								2	0	11.3	11.0	18	Various	SE		
1916-02								13	0	92.1	17.0	29	S	SW		
1916-03								22	0	162.7	24.3	10	S			
1916-04								4	0	7.8	4.3	22	N			
1916-05								10	0	51.8	10.5	5	S			
1916-06								0	0	0.0	0.0					
1916-07								0	0	0.0	0.0					
1916-08								0	0	0.0	0.0					
1916-09								3	0	44.0	41.3	16	Various	S		
1916-10								1	0	3.6	3.6	21	SW			
1916-11								13	0	115.9	27.2	22	Various	W		
1916-12								10	0	146.1	33.2	17	SW	S		
1920-01								3	0	12.4	9.0	16				
1920-03								1	0	4.5	4.0					
1920-04								12	0	210.0	29.0					
1920-05								8	0	111.3	29.0					
1920-06								8	0	70.9	10.0					
1920-07								1	0	11.0	14.0					
1920-08								1	0	38.0	24.0					
1920-09								0	0	0.0						
1920-10								0	0	0.0						
1920-11								2	0	63.5	20.0					
1920-12								7	0	72.0	5.0					
1921-11								6	0	52.4	15.0	17				
1922-01								9	0	103.9	25.0					
1922-02								3	0	7.3	13.0					
1922-12								10	0	195.1	40.0	17				
1932-01	5.1	7.9	19.0	8	2.4	0.0	31	4	0	44.2	14.0	11				
1932-02	4.1	6.3	11.0	9	1.9	0.0	Various	8	0	52.6	14.0	6				
1932-03	8.5	11.4	18.0	24	5.6	0.0	7	9	0	70.1	18.0	13				
1932-04	7.6	11.6	19.0	10	3.7	0.0	6	8	0	19.6	8.0	3				
1932-05	12.2	16.5	24.0	19	7.9	2.0	Various	5	0	42.5	17.0	7				
1932-06	15.6	19.9	27.0	26	11.4	5.0	5	5	0	32.3	27.0	14				
1932-07	19.6	24.9	32.0	28	14.3	10.0	Various	1	0	0.2	0.2	2				
1932-08	20.1	24.6	36.0	23	15.7	10.0	14	0	0	0.0	0.0					
1932-09	16.5	20.4	30.0	4	12.7	4.0	28	9	0	31.2	8.5	22				
1932-10	11.8	15.9	22.0	22	7.8	1.0	30	5	0	35.6	30.0	13				
1932-11	8.7	11.4	18.0	4	6.0	0.0	28	11	0	94.9	31.0	16				
1932-12	4.7	7.6	12.0	5	1.8	0.0	3	12	0	168.5	66.0	10				
1935-01										13.0						
1935-02										22.0						
1935-03										88.5						
1935-04										12.0						
1935-05										139.1						
1935-06										0.0						
1935-07										0.0						
1935-08										0.0						
1935-09										0.0						
1935-10										13.3						
1935-11										15.5						
1935-12										67.0						
