/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BAALME1 (1912-1935), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926178 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.710000 * LONGITUDE: -6.400000 * ALTITUDE: 336 m
	DATE/TIME START: 1912-11-01T00:00:00 * DATE/TIME END: 1935-06-01T00:00:00
Event(s):	BAALME1 * LATITUDE: 38.710000 * LONGITUDE: -6.400000 * ALTITUDE: 336 m * LOCATION: Almendralejo, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Number of rainy days [days/month] (Rainy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of snowy days [days/month] (Snowy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Precipitation [mm/month] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge
	Precipitation, daily, maximum [mm/day] (Precip day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge * COMMENT: within this month
	Date (Date) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of max daily precipitation
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: max, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Number of dew days [days/month] (Dew days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of frost days [days/month] (Frost days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of foggy days [days/month] (Foggy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of stormy days [days/month] (Stormy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of hail days [days/month] (Hail days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
Size:	1136 data points
*/
Date/Time	Rainy days [days/month] (Observation)	Snowy days [days/month] (Observation)	Precip [mm/month] (Hellmann Rain Gauge)	Precip day max [mm/day] (within this month, Hellmann R...)	Date (of max daily precipitation, m...)	Wind dir descr (mean, in rainy days (W = west...)	Wind dir descr (max, in rainy days (W = west,...)	Dew days [days/month] (Observation)	Frost days [days/month] (Observation)	Foggy days [days/month] (Observation)	Stormy days [days/month] (Observation)	Hail days [days/month] (Observation)
1912-11	2	0	14.10	13.6	1912-11-29							
1912-12	6	0	27.00	17.1	1912-12-08							
1913-01	16	0	77.10	13.4	1913-01-17						0	
1913-02	6	0	37.10	14.1	1913-02-25						0	
1913-03	6	0	26.10	15.6	1913-03-28						0	
1913-04	1	0	11.00	5.6	1913-04-27						0	
1913-05	1	0	0.50	0.5	1913-05-15						0	
1913-06	2	0	3.30	3.2	1913-06-01						0	
1913-07	0	0	0.00	0.0							0	
1913-08	0	0	0.00	0.0							0	
1913-09	10	0	37.60	11.6	1913-09-29						2	
1913-10	15	0	193.40	58.2	1913-10-23						0	
1913-11	7	0	58.70	23.4	1913-11-02						0	
1913-12	2	3	11.10	6.4	1913-12-24						0	
1914-01	6	0	43.40	14.3	1914-01-21			0	0	0	0	0
1914-02	6	0	64.40	18.3	1914-02-22			0	0	0	0	0
1914-03	5	0	41.50	30.5	1914-03-09			0	0	0	0	0
1914-04	5	0	48.80	19.0	1914-04-14			0	0	0	0	0
1914-05	6	0	19.80	6.5	1914-05-25			0	0	0	0	0
1914-06	4	0	36.10	22.3	1914-06-27			0	0	0	1	0
1914-07	0	0	0.00	0.0				0	0	0	0	0
1914-08	0	0	0.00	0.0				0	0	0	0	0
1914-09	1	0	4.50	4.5	1914-09-08			0	0	0	0	0
1914-10	7	0	47.20	14.3	1914-10-13			0	0	0	0	0
1914-11	4	0	51.10	39.5	1914-11-21			0	0	0	0	0
1914-12	12	0	86.10	27.1	1914-12-31			0	0	0	0	0
1915-01	8	1	64.70	23.4	1915-01-03							
1915-02	8	0	56.60	13.0	1915-02-19							
1915-03	12	0	139.90	24.0	1915-03-19							
1915-04	7	0	24.70	14.6	1915-04-24		Various					
1915-05	6	0	35.90	18.3	1915-05-05							
1915-06	1	0	6.10	6.1	1915-06-24							
1915-10	6	0	30.90	15.5	1915-10-14							
1915-11	15	0	83.90	16.6	1915-11-28					1		
1915-12	12	0	96.10	35.1	1915-12-06			1	2			
1916-01	2	0	18.20	16.1	1916-01-18							
1916-02	8	1	61.50	15.3	1916-02-04							
1916-03	19	0	144.00	39.3	1916-03-15							
1916-04	2	0	7.20	5.7	1916-04-22							
1916-05	10	0	66.50	23.4	1916-05-07						3	
1916-06	2	0	10.80	6.5	1916-06-18							
1916-07	0	0	0.00	0.0								
1916-08	1	0	4.30	4.3	1916-08-29							
1916-09	5	0	44.40	15.3	1916-09-27						1	
1916-10	3	0	9.00	5.4	1916-10-24							
1916-11	9	1	78.20	18.1	1916-11-21							
1916-12	10	0	51.60	11.2	1916-12-15							
1917-01	13	0	56.50	9.4	1917-01-26							
1917-02	13	0	128.50	45.9	1917-02-11							
1917-03	6	1	48.20	27.1	1917-03-06							
1917-04	9	0	49.50	12.5	1917-04-30							
1917-05	7	0	47.30	13.5	1917-05-02							
1917-06	2	0	6.40	5.1	1917-06-15							
1917-07	0	0	0.00	0.0								
1917-08	1	0	2.30	2.3	1917-08-28							
1917-09	3	0	41.00	34.1	1917-09-10							
1917-10	1	0	5.30	5.3	1917-10-13							
1917-11	0	0	0.00	0.0								
1917-12	4	2	27.40	10.1	1917-12-23							
1918-02	2	0	7.60	4.6	1918-02-10							
1918-03	10	0	59.70	10.1	1918-03-31						2	2
1918-04	12	0	73.60	15.0	1918-04-27						4	3
1918-05	8	0	53.90	22.5	1918-05-19						3	
1918-06	1	0	6.10	6.1	1918-06-29						1	
1918-07	1	0	0.50	0.5	1918-07-27						1	
1918-08	1	0	22.20	22.2	1918-08-30						1	
1918-09	4	0	24.10	22.2	1918-09-23							
1918-10	4	0	14.80	8.0	1918-10-31							
1923-09	3	0	33.00	15.0	1923-09-14						1	
1923-10	7	0	54.50	35.0	1923-10-14							
1923-11	14	0	104.30	36.2	1923-11-27							
1923-12	3	0	11.00	6.8	1923-12-03							
1924-01	8	0	23.00	6.2	1924-01-16							
1924-02	8	1	49.70	18.0	1924-02-11							
1924-03	18	0	98.60	23.0	1924-03-20							
1924-04	10	0	40.00	12.0	1924-04-05							
1924-05	2	0	8.70	8.5	1924-05-07							
1924-06	0	0	0.00	0.0								
1924-07	0	0	0.00	0.0								
1924-08	1	0	0.10	0.1	1924-08-10							
1924-09	4	0	18.60	8.6	1924-09-08							
1924-10	5	0	34.80	22.6	1924-10-15							
1924-11	10	0	51.20	14.0	1924-11-24							
1924-12	13	0	64.30	14.7	1924-12-02							
