/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BAALAN4 (1882-1893), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926394 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.784444 * LONGITUDE: -6.243611
	DATE/TIME START: 1882-06-24T00:00:00 * DATE/TIME END: 1893-09-30T00:00:00
Event(s):	BAALAN4 * LATITUDE: 38.784444 * LONGITUDE: -6.243611 * LOCATION: Alange, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air [arbitrary units] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Reaumur thermometer * COMMENT: in Reamur degrees at 9am
	Temperature, air [arbitrary units] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Reaumur thermometer * COMMENT: in Reamur degrees at 2pm
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 9am (W = west, E = east, N = north, S = south)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 2pm (W = west, E = east, N = north, S = south)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean (W = west, E = east, N = north, S = south)
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 9am (note that the terms “Gallego” and “Solano” in the “wind direction” variable are Spanish terms that could imply different wind directions from one place to another")
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 2pm (note that the terms “Gallego” and “Solano” in the “wind direction” variable are Spanish terms that could imply different wind directions from one place to another")
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean (note that the terms “Gallego” and “Solano” in the “wind direction” variable are Spanish terms that could imply different wind directions from one place to another")
	Pressure, atmospheric [arbitrary units] (PPPP other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: in mmHg, at 9am
	Pressure, atmospheric [arbitrary units] (PPPP other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: in mmHg, at 2pm
Size:	6561 data points
*/
Date/Time	TTT [arbitrary units] (at 9am)	TTT [arbitrary units] (at 2pm)	Wind dir descr (at 9am)	Wind dir descr (at 2pm)	Wind dir descr (mean)	ww (at 9am)	ww (at 2pm)	ww (mean)	PPPP other [arbitrary units] (in mmHg, at 9am)	PPPP other [arbitrary units] (in mmHg, at 2pm)
1882-06-24	20.0	23			Gallego			Clear		
1882-06-25	18.0	22			Gallego			Clear		
1882-06-26	24.0	27			Gallego			Clear		
1882-06-27	25.0	30			Solano			Clear		
1882-06-28	19.0	26			Solano			Clouds		
1882-06-29	18.0	27			Solano			Clouds		
1882-06-30	23.0	30			Solano			Clear		
1882-07-01	25.0	30			Solano			Clear		
1882-07-02	20.0	26			Gallego			Cloudy		
1882-07-03	20.0	27			Gallego			Clouds		
1882-07-04	19.0	25			Gallego			Clouds		
1882-07-05	18.0	23			N			Clouds		
1882-07-06	18.0	24			N			Cloudy		
1882-07-07	19.0	24			S			Cloudy		
1882-07-08	14.0	16			N			Rain		
1882-07-09	13.0	20			SW			Clouds		
1882-07-10	15.0	25			SW			Clouds		
1882-07-11	21.0	32			SW			Clear		
1882-07-12	23.0	34			S			Clear		
1882-07-13	21.0	34			S			Clear		
1882-07-14	20.0	35			SW			Clear		
1882-07-15	19.0	30			Gallego			Storm		
1882-07-16	20.0	31			NW			Clouds		
1882-07-17	22.0	35			SW			Clear		
1882-07-18	23.0	36			S			Clear		
1882-07-19	27.0	38			S			Clear		
1882-07-20	19.0	36			Gallego			Clear		
1882-07-21	22.0	35			SW			Clear		
1882-07-22	27.0	36			SW			Clear		
1882-07-23	27.0	34			NW			Clear		
1882-07-24	25.0	35			NW			Clear		
1882-07-25	24.0	33			NW			Clear		
1882-07-26	28.0	37			SW			Clear		
1882-07-27	29.0	38			SW			Clear		
1882-07-28	27.0	38			SW			Clear		
1882-07-29	27.0	39			Solano			Some clouds		
1882-07-30	27.0	38			Solano			Clear		
1882-07-31	26.0	39			Solano			Clear		
1882-08-01	26.0	39			Solano			Clear		
1882-08-02	26.0	38			Solano			Clear		
1882-08-03	25.0	37			SW			Clear		
1882-08-04	26.0	39			Solano			Clear		
1882-08-05	26.0	38			Solano			Clear		
1882-08-06	25.0	37			NW			Clouds		
1882-08-07	25.0	38			S			Clouds		
1882-08-08	24.0	39			N			Clouds		
1882-08-09	31.0	32			N			Clouds		
1882-08-10	25.0	31			N			Clouds		
1882-08-11	26.0	33			SW			Clouds		
1882-08-12	26.0	29			S			Clouds		
1882-08-13	23.0	30			Gallego			Clouds		
1882-08-14	22.0	28			Gallego			Clouds		
1882-08-15	20.0	29			SW			Clear		
1882-08-16	23.0	30			S			Clear		
1882-08-17	23.0	31			S			Clear		
1882-08-18	26.0	32			Solano			Clear		
1882-08-19	25.0	31			SW			Clear		
1882-08-20	20.0	30			Gallego			Clear		
1882-08-21	23.0	35			N			Clouds		
1882-08-22	25.0	36			N			Clear		
1882-08-23	24.0	37			Solano			Clear		
1882-08-24	22.0	28			Gallego			Clear		
1882-08-25	20.0	27			Gallego			Clear		
1882-08-26	20.0	29			Gallego			Some clouds		
1882-08-27	21.0	31			N			Clear		
1882-08-28	22.0	32			N			Clear		
1882-08-29	24.0	33			N			Clear		
1882-08-30	25.0	38			S			Clear		
1882-08-31	25.0	39			S			Clear		
1882-09-01	23.0	32			S			Clear		
1882-09-02	22.0	31			Gallego			Clouds		
1882-09-03	20.0	30			Gallego			Clouds		
1882-09-04	21.0	31			Gallego			Clouds		
1882-09-05	20.0	32			N			Clouds		
1882-09-06	23.0	28			N			Clouds		
1882-09-07	23.0	25			S			Clouds		
1882-09-08	21.0	24			Gallego			Cloudy		
1882-09-09	20.0	21			SW			Cloudy		
1882-09-10	19.0	22			S			Cloudy		
1882-09-11	18.0	21			S			Cloudy		
1882-09-12	16.0	20			NW			Drizzle		
1882-09-13	14.0	19			NW			Clouds		
1882-09-14	13.0	20			SW			Rain		
1882-09-15	15.0	22			S			Clear		
1882-09-16	13.0	23			N			Clear		
1882-09-17	14.0	25			N			Clear		
