/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from CCMIAJ1 (1918-1935), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926238 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 39.170000 * LONGITUDE: -5.850000 * ALTITUDE: 298 m
	DATE/TIME START: 1918-01-01T00:00:00 * DATE/TIME END: 1935-07-01T00:00:00
Event(s):	CCMIAJ1 * LATITUDE: 39.170000 * LONGITUDE: -5.850000 * ALTITUDE: 298 m * LOCATION: Miajadas, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Number of rainy days [days/month] (Rainy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of snowy days [days/month] (Snowy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Precipitation [mm/month] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge
	Precipitation, daily, maximum [mm/day] (Precip day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge * COMMENT: within this month
	Date (Date) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of max daily precipitation
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: max, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Number of frost days [days/month] (Frost days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of foggy days [days/month] (Foggy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of stormy days [days/month] (Stormy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of hail days [days/month] (Hail days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
Size:	1110 data points
*/
Date/Time	Rainy days [days/month] (Observation)	Snowy days [days/month] (Observation)	Precip [mm/month] (Hellmann Rain Gauge)	Precip day max [mm/day] (within this month, Hellmann R...)	Date (of max daily precipitation, m...)	Wind dir descr (mean, in rainy days (W = west...)	Wind dir descr (max, in rainy days (W = west,...)	Frost days [days/month] (Observation)	Foggy days [days/month] (Observation)	Stormy days [days/month] (Observation)	Hail days [days/month] (Observation)
1918-01	12	0	145.00	22.0	1918-01-04	SW					
1918-02	2	0	7.00	5.0	1918-02-17	SW					
1918-03	7	0	57.50	26.0	1918-03-05	SW					
1918-04	8	0	76.00	24.0	1918-04-19	SW					
1918-05	5	0	31.50	13.0	1918-05-12	SW					
1918-06	0	0	0.00	0.0							
1918-07	0	0	0.00	0.0							
1918-08	1	0	17.50	17.5	1918-08-30	SW					
1918-09	2	0	20.00	16.0	1918-09-23	SW					
1918-10	3	0	18.70	6.7	1918-10-31	SW	SW				
1918-11	5	0	40.70	14.3	1918-11-16	E	SE		5	0	0
1918-12	3	0	25.30	11.9	1918-12-06	SW			11	0	0
1919-01	10	0	78.80	17.0	1919-01-04						
1919-02	14	0	137.00	32.0	1919-02-11						
1919-03	7	0	51.80	29.3	1919-03-23						
1919-04	7	0	49.60	10.5	1919-04-02						
1919-06	0	0	0.00	0.0							
1919-07	0	0	0.00	0.0							
1919-08	0	0	0.00	0.0							
1919-09	5	0	8.30	2.8	1919-09-24						
1919-10	5	0	19.00	9.0	1919-10-12						
1919-11	12	0	146.00	48.0	1919-11-05						
1919-12	5	0	27.90	12.0	1919-12-16						
1920-01	6	0	32.00	12.0	1920-01-04	SW	SW	1	0		
1920-02	8	0	64.70	24.0	1920-02-25	NE	SW	0	0		
1920-03	6	0	22.90	6.0	1920-03-15	3er Cte	SW	2	0		
1920-04	9	0	47.70	11.0	1920-04-17	SW	SW	0	1		
1920-05	5	0	45.80	18.8	1920-05-24	SW	SW	0	1		
1920-06	4	0	20.30	9.3	1920-06-08	Various	SW	0	3		
1920-07	0	0	0.00	0.0				0	0		
1920-08	0	0	0.00	0.0				0	0		
1920-09	3	0	15.50	10.5	1920-09-20	NE	SW	0	1		
1920-10	11	0	97.50	25.0	1920-10-05	SW	E	0	0		
1920-11	9	0	59.00	12.0	1920-11-04 and 25	SW	SW	0	0		
1920-12	8	0	77.70	23.0	1920-12-13	SW	E	0	0		
1921-01	3	0	13.50	6.8	1921-01-13					0	
1921-02	8	0	64.50	29.8	1921-02-27	E	E			0	
1921-03	4	0	27.40	12.0	1921-03-05	1er Cte				0	
1921-04	5	0	10.20	4.0	1921-04-15	NE	SW			0	
1921-05	6	0	34.50	16.0	1921-05-26	SW	SW			3	
1921-06	0	0	0.00	0.0						0	
1921-07	1	0	2.00	2.0	1921-07-18	SW	SW			0	
1921-08	0	0	0.00	0.0						0	
1921-09	3	0	33.00	15.0	1921-09-19	E	SW			0	
1921-10	6	0	72.00	29.4	1921-10-09					0	
1921-11	7	0	65.30	18.0	1921-11-24	SW	E-SW			0	
1921-12	2	0	23.00	19.0	1921-12-02	SW-E	SW			0	
1922-01	9	0	84.90	19.8	1922-01-24	SW	E		1	0	
1922-02	3	0	16.00	6.6	1922-02-06				0	0	
1922-03	10	0	71.50	20.2	1922-03-19	SW	SW		0	0	
1922-04	5	0	20.30	6.0	1922-04-03	SW	SW		0	0	
1922-05	3	0	14.50	7.5	1922-05-14	E	SW		0	3	
1922-06	4	0	47.30	29.2	1922-06-05	S	SW		0	2	
1922-07	0	0	0.00	0.0					0	1	
1922-08	1	0	2.00	2.0	1922-08-13	E	E		0	1	
1922-09	2	0	19.20	14.0	1922-09-26	SW	SW		0	0	
1922-10	12	0	115.00	22.5	1922-10-15	S	SW		0	0	
1922-11	4	0	19.40	13.0	1922-11-03				0	0	
1922-12	8	0	82.00	19.0	1922-12-24				0	0	
1923-01	0	0	0.00	0.0						0	0
1923-02	10	0	71.20	21.0	1923-02-22	SW	W-SW			1	0
1923-03	5	0	24.30	12.0	1923-03-23	SW	SW			0	0
1923-04	13	0	119.00	34.5	1923-04-12	SW	SW			0	0
1923-05	2	0	18.50	15.5	1923-05-21	SW	SW			1	0
1923-06	5	0	9.00	4.5	1923-06-03					2	0
1923-07	0	0	0.00	0.0						0	0
1923-08	0	0	0.00	0.0						0	0
1923-09	1	0	8.50	8.5	1923-09-15	SW	SW			0	0
1923-10	5	0	51.10	26.0	1923-10-14	SW	SW			0	0
1923-11	12	0	155.20	35.0	1923-11-26	SW	SW			0	0
1923-12	3	0	17.50	10.0	1923-12-09	SW	SW			0	0
1924-01	8	0	70.10	24.0	1924-01-16	SW	SE			0	
