/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz; Pinochet, Rubén (2021): Early meteorological records from BABADA6 (1830-1833), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926383 (dataset in review), 
	In: Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.900000 * LONGITUDE: -6.962500
	DATE/TIME START: 1830-02-28T00:00:00 * DATE/TIME END: 1833-07-19T00:00:00
Event(s):	BABADA6 * LATITUDE: 38.900000 * LONGITUDE: -6.962500 * LOCATION: Badajoz, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: T1, time unknown
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: T2, time unknown
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: T3, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: IP1, inches of preasure, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: PL1, preasure lines, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: IP2, inches of preasure, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: PL2, preasure lines, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: IP3, inches of preasure, time unknown
	Pressure description (P descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: PL3, preasure lines, time unknown
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WD1, W = west, E = east, N = north, S = south, time unknown
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: SS1, time unknown (DESP = clear sky, LLUV = rain, N/NEB/NUB/NUV = cloudy/covered, NIEB = fog, RAF = wind, gust)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WD3, W = west, E = east, N = north, S = south, time unknown
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: SS2, time unknown (DESP = clear sky, LLUV = rain, N/NEB/NUB/NUV = cloudy/covered, NIEB = fog, RAF = wind, gust)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WD3, W = west, E = east, N = north, S = south, time unknown
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: SS3, time unknown (DESP = clear sky, LLUV = rain, N/NEB/NUB/NUV = cloudy/covered, NIEB = fog, RAF = wind, gust)
Size:	13349 data points
*/
Date/Time	TTT [°C] (T1, time unknown)	TTT [°C] (T2, time unknown)	TTT [°C] (T3, time unknown)	P descr (IP1, inches of preasure, time...)	P descr (PL1, preasure lines, time unk...)	P descr (IP2, inches of preasure, time...)	P descr (PL2, preasure lines, time unk...)	P descr (IP3, inches of preasure, time...)	P descr (PL3, preasure lines, time unk...)	Wind dir descr (WD1, W = west, E = east, N = ...)	ww (SS1, time unknown)	Wind dir descr (WD3, W = west, E = east, N = ...)	ww (SS2, time unknown)	Wind dir descr (WD3, W = west, E = east, N = ...)	ww (SS3, time unknown)
1830-02	10.0	17.0	16.00	28	0	28	4	28	3	NE	RAF	E	RAF	NE	RAF
1830-03	9.5	17.5	17.00	28	1	28	1.5	28	1	E	RAF	ENE	RAF	NWE	RAF
1830-03	10.0	18.0	15.00	28	1.5	28	1.5	28	1	E	DESP	W	RAF	SWW	NUV
1830-03	10.0	16.5	13.50	28	0	28	1	28	1.5	SWW	NUV	SWW	NUV	SWW	NUV
1830-03	8.0	13.5	11.00	28	0	27	10	27	10	SWS	NUBL	SW	NUBL	W	D
1830-03	9.0	14.0	12.00	28	0	28	0	28	0	SSW	NUV	NW	NUV	NW	NUV
1830-03	7.0	14.0	12.50	28	1	28	1	28	0	SSW	NUV	NW	NUB	NW	NUB
1830-03	9.0	15.0	13.00	28	1	28	1	28	0	SWW	NUBL	SWW	NUBL	SW	RAF
1830-03	8.5	14.0	11.50	28	0	28	0	28	1.5	SWW	NUBL	NW	NUV	NW	NUV
1830-03	7.0	11.5	10.50	28	1	28	1.5	28	1.5	NE	D	NE	NUV	N	D
1830-03	5.0	13.0	12.00	28	2	28	0	28	0	N	DESP	NE	DESP	NE	DESP
1830-03	9.0	15.0	14.00	28	1	28	1	28	0	NE	NEB	NE	NEB	NE	DESP
1830-03	9.0	16.0	15.00	28	2	28	1	28	0	ENE	D	E	D	E	D
1830-03	8.5	15.0	14.00	28	1	28	0	28	0	E	D	E	D	NE	D
1830-03	9.0	13.5	12.00	28	1	28	0	28	0	SSE	NUBL	W	NUBL	WSW	NUBL
1830-03	8.0	13.0	12.00	28	2	28	1.5	28	1.5	NE	D	N	D	N	RAF
1830-03	9.0	15.0	15.00	28	3	28	3	28	3	NE	D	E	RAF	N	DESP
1830-03	8.0	15.5	14.50	28	2	28	2	28	1.5	ENE	RAF	E	D	NE	D
1830-03	8.5	16.0	15.00	28	0	28	2	28	1.5	E	D	E	D	SE	D
1830-03	10.0	16.0	15.00	28	3	28	3	28	3	ESE	D	SE	D	ESE	D
1830-03	10.0	17.0	16.50	28	1	28	3	28	2	SE	D	E	D	N	
1830-03	10.0	18.0	17.00	28	1	28	2	28	1.5	NE	D	NE	R	N	R
1830-03	11.0	18.0	17.00	28	1	28	1.5	28	1.5	NE	NUV	E	R	E	R
1830-03	11.5	18.0	17.50	28	1	28	1.5	28	1	NE	RAF	E	R	E	R
1830-03	10.5	18.0	17.50	28	1.5	28	2	28	2	ENE	DESP	NE	D	E	D
1830-03	11.0	19.0	17.50	28	1	28	2	28	2	ENE	RAF	E	R	E	NEV
1830-03	11.0	18.0	16.00	28	1	28	2	28	1.5	E	NUB	E	NUBL	ENE	RAF
1830-03	11.0	20.0	18.00	28	1	28	1	28	0	E	RAF	E	RAF	E	RAF
1830-03	12.0	21.5	18.00	28	0	27	11	27	11	E	NUBL	E	NUBL	SSW	NUBL
1830-03	13.0	17.0	14.50	28	0	27	9.5	27	9.5	SE	RAF	SW	NUVE	W	NUV
1830-04	13.0	17.0	14.50	27	10	27	10.5	27	9	S	NUBL	S	NUVE	SSE	NUVE
1830-04	13.0	15.0	13.00	27	10	27	9	27	9	S	NUBL	SW	NUVE	SSW	NUVE
1830-04	11.5	17.5	15.00	27	11	27	10.5	27	10.5	S	NUVE	SW	NUBL	S	RAF
1830-04	11.0	20.0	18.50	27	10	27	9	27	8	E	RAF	E	RAF	SSE	NUBL
1830-04	13.0	18.0	14.00	27	9	27	9.5	27	10	S	LLUV	SSW	LLUV	SW	NUVE
1830-04	8.5	10.5	10.50	27	9	27	8	27	9	SW	NUV	NW	LLUV	NW	NUV
1830-04	8.0	14.5	12.00	28	1	28	0.5	28	0.5	WSW	DESP	WSW	NUV	NW	NUV
1830-04	8.0	14.0	14.50	28	2	28	2	28	2	NW	DESP	NNW	DESP	NW	RAF
1830-04	10.0	16.0	16.50	28	0	28	2	28	2	NW	RAF	W	DESP	W	DESP
1830-04	8.0	15.5	17.00	28	1	28	1	28	1	NW	DESP	NWW	RAF	NWW	RAF
1830-04	11.0	20.0	18.50	28	1	28	1	28	0	NW	DESP	NE	RAF	E	RAF
1830-04	11.0	20.0	19.50	28	1	28	0	28	0	NW	DESP	SW	DESP	NW	DESP
1830-04	13.0	20.0	21.00	28	1	28	0	27	11	NW	DESP	SWW	RAF	NW	NUVE
1830-04	13.0	21.5	21.00	28	0	27	10.5	27	10.5	NW	DESP	W	DESP	W	DESP
1830-04	12.0	21.0	16.00	27	11	27	10.5	27	10.5	NW	RAF	NW	NUV	NNW	RAF
1830-04	12.0	17.0	17.00	28	3	28	1.5	28	1.5	NW	DESP	N	RAF	N	DESP
1830-04	12.0	20.0	19.00	28	1	28	2	28	1	NE	DESP	ENE	DESP	NE	DESP
1830-04	13.0	20.5	20.00	28	0	28	0	27	11	E	DESP	E	RAF	ENE	RAF
1830-04	13.0	21.0	20.00	28	0	27	11	27	10.5	NW	DESP	NWW	DESP	W	DESP
