/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BACVAC1 (1882-1883), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926387 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.086667 * LONGITUDE: -6.421111
	DATE/TIME START: 1882-01-06T00:00:00 * DATE/TIME END: 1883-12-31T00:00:00
Event(s):	BACVAC1 * LATITUDE: 38.086667 * LONGITUDE: -6.421111 * LOCATION: Cabeza la Vaca, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Pressure, atmospheric [arbitrary units] (PPPP other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: in mmHg, at 9am
	Pressure, atmospheric [arbitrary units] (PPPP other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: in mmHg, at 3pm
	Temperature, air, daily maximum [°C] (TxTxTx day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air [arbitrary units] (T air other) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: daily max, in Reamur (=0.8*T[°C])
	Temperature, air, daily minimum [°C] (TnTnTn day min) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WD1, during morning (W = west, E = east, N = north, S = south)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WD2, during afternoon (W = west, E = east, N = north, S = south)
	Wind speed description (ff descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WF1, during morning
	Wind speed description (ff descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: WF2, during afternoon
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: SS1, during morning
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: SS2, during morning
	Precipitation [mm/day] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Evaporation [mm] (Evapor) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
Size:	5091 data points
*/
Date/Time	PPPP other [arbitrary units] (in mmHg, at 9am)	PPPP other [arbitrary units] (in mmHg, at 3pm)	TxTxTx day max [°C]	T air other [arbitrary units] (daily max, in Reamur (=0.8*T[...)	TnTnTn day min [°C]	Wind dir descr (WD1, during morning)	Wind dir descr (WD2, during afternoon)	ff descr (WF1, during morning)	ff descr (WF2, during afternoon)	ww (SS1, during morning)	ww (SS2, during morning)	Precip [mm/day]	Evapor [mm] (mean)
1882-01-06	705.0	703.0		0.1	0.300	N	NE	Calm	Breeze	Clear	Cloudy		4.0
1882-01-07	707.5	705.0		4.0	5.000	NE	NE	Calm	Calm	Clear	Clear		3.0
1882-01-08	709.0	708.0		4.0	6.000	E	NE	Calm	Calm	Clear	Clear		5.0
1882-01-09	709.5	709.5		5.0	7.000	SE	E	Calm	Calm	Cloudy	Clear		5.0
1882-01-10	708.5	709.0		5.0	7.000	SE	SE	Calm	Calm	Cloudy	Clear		4.5
1882-01-11	708.0	708.0		7.0	7.000	SE	SE	Calm	Calm	Clear	Cloudy		3.5
1882-01-12	706.0	708.0		4.0	6.000	NE	NE	Calm	Breeze	Clear	Cloudy		4.5
1882-01-13	706.0	705.0		7.0	6.000	E	NE	Calm	Breeze	Clear	Clear		3.0
1882-01-14	708.5	706.5		4.0	6.000	SE	E	Calm	Breeze	Clear	Clear		4.0
1882-01-15	709.0	708.5		4.5	6.500	SE	E	Wind	Breeze	Clear	Clear		6.0
1882-01-16	712.0	709.0		4.5	6.500	E	E	Breeze	Wind	Clear	Clear		5.0
1882-01-17	712.0	712.0		4.0	6.000	E	E	Wind	Breeze	Clear	Clear		4.5
1882-01-18	712.0	711.5		3.5	6.000	NE	NE	Breeze	Breeze	Clear	Clear		3.0
1882-01-19	710.5	711.0		3.5	5.000	E	E	Breeze	Breeze	Clear	Cloudy		4.0
1882-01-20	710.5	710.0		3.0	5.500	E	NE	Breeze	Breeze	Clear	Cloudy		4.0
1882-01-21	710.0	710.5		3.0	5.500	E	E	Calm	Breeze	Clear	Clear		5.0
1882-01-22	707.5	709.0		3.0	5.500	E	SE	Calm	Calm	Cloudy	Clear		4.0
1882-01-23	706.0	706.5		5.0	5.500	SE	N	Breeze	Breeze	Cloudy	Cloudy		3.5
1882-01-24	705.5	705.0		5.0	4.500	SE	SE	Breeze	Breeze	Cloudy	Cloudy	2.0	
1882-01-25	708.0	705.5		5.0	5.000	SW	SW	Breeze	Breeze	Cloudy	Cloudy	9.0	
1882-01-26	708.0	708.0		5.0	6.000	SW	SW	Wind	Wind	Cloudy	Cloudy		5.5
1882-01-27	708.5	708.0		4.0	6.000	NE	SE	Breeze	Calm	Clear	Clear		5.0
1882-01-28	708.5	708.0		5.5	7.000	SE	NE	Calm	Breeze	Covered	Clear		5.0
1882-01-29	708.0	708.5				E	SE	Calm	Breeze	Clear	Covered		4.0
1882-01-30	706.5	708.0				SE	SE	Calm	Breeze	Covered	Clear		5.5
1882-01-31	705.0	706.0				S	S	Calm	Breeze	Cloudy	Cloudy		4.5
1882-02-01	704.0	704.5				S	S	Breeze	Breeze	Clear	Cloudy		3.0
1882-02-02	704.5	704.0				NE	E	Calm	Breeze	Clear	Cloudy		4.0
1882-02-03	704.5	704.0				E	SE	Calm	Breeze	Clear	Clear		3.5
1882-02-04	704.5	704.5				NE	NE	Breeze	Breeze	Cloudy	Cloudy		4.0
1882-02-05	704.5	704.5				NE	SE	Breeze	Calm	Cloudy	Covered		3.5
1882-02-06	705.5	704.5				SE	SE	Calm	Breeze	Clear	Cloudy		3.0
1882-02-07	706.0	705.0				E	NE	Wind	Breeze	Clear	Cloudy		4.0
1882-02-08	707.0	706.0				SE	E	Calm	Breeze	Clear	Cloudy		5.0
1882-02-09	708.0	707.5				SE	NE	Wind	Breeze	Clear	Clear		7.0
1882-02-10	706.0	708.0				S	S	Wind	Breeze	Cloudy	Clear		8.0
1882-02-11	706.0	706.0				SW	S	Calm	Wind	Covered	Covered	10.0	0.0
1882-02-12	704.0	704.0				NW	SW	Wind	Wind	Cloudy	Covered	10.0	0.0
1882-02-13	707.0	704.0				N	NE	Breeze	Breeze	Clear	Cloudy		4.0
1882-02-14	708.0	707.0				E	NE	Breeze	Breeze	Clear	Clear		5.5
1882-02-15	711.5	708.5				E	E	Breeze	Breeze	Clear	Clear		5.0
