"DWR French Records",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ROME,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1869,January,February,March,April,May,June,July,August,September,October,November,December,1869,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,767.5,771.2,753,755.9,760.2,762.2,759.2,763.1,765,765.6,766.4,751.5,1,10229.7942,10279.123488000001,10036.476719999999,10075.140216,10132.468848,10159.133328,10119.136608,10171.132344,10196.4636,10204.462944,10215.128735999999,10016.47836
2,773.6,765.3,752.9,756.5,764,760.9,,761,759.5,767,765.8,743.1,2,10311.120864,10200.463271999999,10035.143495999999,10083.13956,10183.13136,10141.801416,,10143.13464,10123.13628,10223.12808,10207.129391999999,9904.487544
3,775.9,765,738.2,756.3,763.9,763.7,761.5,757.5,758.6,765.5,764.9,748.7,3,10341.785015999998,10196.4636,9839.159568,10080.473112,10181.798136,10179.131688000001,10149.80076,10096.4718,10111.137264,10203.129719999999,10195.130376,9979.148088
4,773.2,770.8,748.2,756.6,765.5,763.5,761.3,762.4,766,765.3,755.3,762.4,4,10305.787968,10273.790592000001,9972.481968,10084.472784000001,10203.129719999999,10176.46524,10147.134312,10161.799776,10209.79584,10200.463271999999,10067.140871999998,10161.799776
5,770.8,775.3,758.2,756.7,761.1,766.4,761.6,764.5,767.5,764.5,750.2,768.7,5,10273.790592000001,10333.785671999998,10105.804368000001,10085.806008000001,10144.467864,10215.128735999999,10151.133984,10189.79748,10229.7942,10189.79748,9999.146448,10245.792888
6,773.8,775.6,756.8,765,762.2,769.2,763.7,762.6,766.8,763.4,761,774.3,6,10313.787312,10337.785344000002,10087.139232,10196.4636,10159.133328,10252.459008000002,10179.131688000001,10164.466224,10220.461631999999,10175.132016,10143.13464,10320.453431999998
7,772.2,774.1,754.4,765.6,759.6,769.1,765,761.4,759.4,767.2,761.4,773.6,7,10292.455728,10317.786983999998,10055.141855999998,10204.462944,10124.469504,10251.125784,10196.4636,10148.467536,10121.803056,10225.794528,10148.467536,10311.120864
8,767.6,771.2,757,767,759.9,767.4,766.8,762.6,762.7,768,764.7,768.6,8,10231.127424,10279.123488000001,10089.80568,10223.12808,10128.469176,10228.460976,10220.461631999999,10164.466224,10165.799448,10236.46032,10192.463928000001,10244.459664000002
9,772.8,769.7,755.9,766.6,761,763.3,767.4,761.6,766.6,767.6,766.5,766.3,9,10300.455072,10259.125128,10075.140216,10217.795184,10143.13464,10173.798792,10228.460976,10151.133984,10217.795184,10231.127424,10216.46196,10213.795511999999
