"Lesina (Split)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1869,January,February,March,April,May,June,July,August,September,October,November,December,1869,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,765,762,,758,758.4,758.3,759.9,761.7,,,766.8,,1,10197.4636,10157.46688,,10104.137920000001,10109.470816,10108.137592,10129.469176,10153.467208,,,10221.461631999999,
2,764.8,764.7,747.9,,762,757.2,760.4,758.6,760.4,765.3,766.7,751.5,2,10194.797152,10193.463928000001,9969.482296,,10157.46688,10093.472128000001,10136.135296,10112.137264,10136.135296,10201.463271999999,10220.128408,10017.478360000001
3,771.2,762,,754.3,761.8,760.4,759.5,,757.5,,764.1,,3,10280.123488,10157.46688,,10054.808632,10154.800432,10136.135296,10124.13628,,10097.4718,,10185.464584,
4,775.1,769.3,747.6,751.4,762.1,,757.8,760.5,765.4,763.5,754.4,,4,10332.119223999998,10254.792231999998,9965.482624,10016.145136,10158.800104,,10101.471472,10137.46852,10202.796495999999,10177.46524,10056.141855999998,
5,771.7,775.1,755.7,756.4,,763.6,759.7,762.7,767.8,762.7,747.2,,5,10286.789608,10332.119223999998,10073.473768000002,10082.806336,,10178.798464,10126.802728,10166.799448,10234.793871999998,10166.799448,9960.149728,
6,771.5,776,,764,761.5,766.8,760.5,,761.2,,760.2,771,6,10284.12316,10344.118239999998,,10184.13136,10150.80076,10221.461631999999,10137.46852,,10146.801088,,10133.468848,10277.45704
7,771.5,772.1,755,765,760.9,767.4,763.3,759.5,,766,760.1,773.6,7,10284.12316,10292.122503999999,10064.1412,10197.4636,10142.801416,10229.460976,10174.798792,10124.13628,,10210.79584,10132.135624,10312.120863999999
8,768,768.2,,765.3,,766.1,765.7,760.4,762.2,,763.2,,8,10237.46032,10240.126768,,10201.463271999999,,10212.129064,10206.796168,10136.135296,10160.133328,,10173.465568,
9,771.6,767.5,758.1,,760,,765.8,759.3,765.5,767.7,765.5,769.3,9,10285.456384,10230.7942,10105.471144000001,,10130.8024,,10208.129391999999,10121.469831999999,10204.129719999999,10233.460648,10204.129719999999,10254.792231999998
10,770.1,769.3,755,766.7,754.9,759.6,,755.9,761.5,770,,770,10,10265.458024,10254.792231999998,,10220.128408,10062.807976,10125.469504,,10076.140216,10150.80076,10264.1248,,10264.1248
11,767.5,768.6,751.5,,,757.6,766.2,752.2,761.3,771.5,755,,11,10230.7942,10245.459664,10017.478360000001,,,10098.805024000001,10213.462288,10026.810928,10148.134312,10284.12316,10064.1412,
