1871,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,
1,29.92,29.96,,,,,,,,,,
2,29.8,29.89,,,,,,,,,,
3,29.99,29.46,,,,,,,,,,
4,30.01,29.38,,,,,,,,,,
5,30.09,29.63,,,,,,,,,,
6,30.26,30.09,,,,,,,,,,
7,29.89,30.21,,,,,,,,,,
8,29.73,30.16,,,,,,,,,,
9,29.42,30.2,,,,,,,,,,
10,29.74,29.68,,,,,,,,,,
11,29.85,30.08,,,,,,,,,,
12,30.2,29.58,,,,,,,,,,
13,30.27,29.99,,,,,,,,,,
14,29.9,30.1,,,,,,,,,,
15,29.32,30.17,,,,,,,,,,
16,28.9,30.1,,,,,,,,,,
17,28.83,30.18,,,,,,,,,,
18,28.99,30.28,,,,,,,,,,
19,29.48,30.16,,,,,,,,,,
20,29.59,29.98,,,,,,,,,,
21,29.64,30.15,,,,,,,,,,
22,29.49,30.51,,,,,,,,,,
23,29.49,30.51,,,,,,,,,,
24,30.11,30.48,,,,,,,,,,
25,30.06,30.36,,,,,,,,,,
26,30.13,29.86,,,,,,,,,,
27,30.26,29.84,,,,,,,,,,
28,30.25,29.98,,,,,,,,,,
29,30.16,,,,,,,,,,,
30,30.1,,,,,,,,,,,
31,29.91,,,,,,,,,,,
