SEFSHIP	1.0.0
ID	10-177
Name	10-177
Source	ISPDv4
Link	
Vbl	p
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Lat	Long	Value	Meta
1839	10	2	12	0	0	51.63	2.23	1012.60	
1839	10	3	12	0	0	50.62	0.48	994.60	qc_reject
1839	10	4	12	0	0	50.32	-0.75	1014.60	
1839	10	6	12	0	0	49.43	-5.92	1024.70	
1839	12	9	11	0	0	-34.20	18.30	1009.50	
