SEFSHIP	1.0.0
ID	10-182
Name	10-182
Source	ISPDv4
Link	
Vbl	p
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Lat	Long	Value	Meta
1839	10	1	12	0	0	53.00	4.70	1012.60	
1839	10	2	12	0	0	51.75	1.98	1002.40	
1839	10	3	12	0	0	50.83	0.98	1011.20	
1839	10	6	12	0	0	49.52	-5.80	994.60	qc_reject
