Telegraphic weather messages from Iceland during October 1906 - only two stations had been connected by then
Akureyri (422) and Seyðisfjörður (615) 
Column headings: 
Lina = file row number (irrelevant here)
Stod : stations Ar=year, Man=month dagur=day, klst=hr pp=pressure mmHg*10-7000, dd=wind dir (0 to 32), ff=force Beaufort, 
ww-present cloud and weather, tt=tempearture (code) fauka=for wind force greater than bf9, p=pressure in hPa, t=temperature in °C. 


LINA    STOD    AR      MAN     DAGUR   KLST    PP      DD      FF      WW      TT      FAUKA   P       T
1       422     1906    10      1       8       557     14      1       4       61      #       1007.5  6.1
18755   615     1906    10      1       8       568     22      3       2       73      #       1009.0  7.3
32      422     1906    10      1       14      566     32      3       4       61      #       1008.7  6.1
18786   615     1906    10      1       14      563     32      2       4       63      #       1008.3  6.3
18817   615     1906    10      1       17      570     0       0       2       52      #       1009.3  5.2
63      422     1906    10      1       21      583     30      3       4       65      #       1011.0  6.5
18848   615     1906    10      1       21      577     0       0       0       36      #       1010.2  3.6
2       422     1906    10      2       8       569     16      2       1       34      #       1009.1  3.4
18756   615     1906    10      2       8       577     0       0       8       28      #       1010.2  2.8
33      422     1906    10      2       14      544     0       0       0       25      #       1005.8  2.5
18787   615     1906    10      2       14      551     32      2       4       76      #       1006.7  7.6
18818   615     1906    10      2       17      547     0       0       1       47      #       1006.2  4.7
64      422     1906    10      2       21      548     22      3       0       25      #       1006.3  2.5
18849   615     1906    10      2       21      548     0       0       1       24      #       1006.3  2.4
3       422     1906    10      3       8       544     16      1       0       2       #       1005.8  0.2
18757   615     1906    10      3       8       556     0       0       0       23      #       1007.4  2.3
34      422     1906    10      3       14      541     32      3       1       69      #       1005.4  6.9
18788   615     1906    10      3       14      532     0       0       0       82      #       1004.2  8.2
18819   615     1906    10      3       17      543     0       0       1       54      #       1005.7  5.4
65      422     1906    10      3       21      555     0       0       7       999     #       1007.3  -0.1
18850   615     1906    10      3       21      543     0       0       1       31      #       1005.7  3.1
4       422     1906    10      4       8       546     0       0       0       991     #       1006.1  -0.9
18758   615     1906    10      4       8       552     18      2       7       32      #       1006.9  3.2
35      422     1906    10      4       14      531     2       2       0       54      #       1004.1  5.4
18789   615     1906    10      4       14      546     0       0       7       55      #       1006.1  5.5
18820   615     1906    10      4       17      540     0       0       7       47      #       1005.3  4.7
66      422     1906    10      4       21      519     22      3       3       33      #       1002.5  3.3
18851   615     1906    10      4       21      534     0       0       0       15      #       1004.5  1.5
5       422     1906    10      5       8       507     16      2       4       58      #       1000.9  5.8
18759   615     1906    10      5       8       578     0       0       1       7       #       1010.3  0.7
36      422     1906    10      5       14      516     18      3       3       110     #       1002.1  11.0
18790   615     1906    10      5       14      524     22      2       0       133     #       1003.1  13.3
18821   615     1906    10      5       17      527     32      1       0       82      #       1003.5  8.2
67      422     1906    10      5       21      538     20      4       3       67      #       1005.0  6.7
18852   615     1906    10      5       21      550     0       0       0       27      #       1006.6  2.7
6       422     1906    10      6       8       534     16      2       2       54      #       1004.5  5.4
18760   615     1906    10      6       8       558     0       0       0       15      #       1007.7  1.5
37      422     1906    10      6       14      520     16      1       1       97      #       1002.6  9.7
18791   615     1906    10      6       14      553     0       0       0       62      #       1007.0  6.2
18822   615     1906    10      6       17      551     0       0       1       54      #       1006.7  5.4
68      422     1906    10      6       21      575     16      1       3       52      #       1009.9  5.2
18853   615     1906    10      6       21      546     0       0       0       56      #       1006.1  5.6
7       422     1906    10      7       8       503     18      2       0       55      #       1000.3  5.5
18761   615     1906    10      7       8       519     2       6       4       73      #       1002.5  7.3
38      422     1906    10      7       14      496     24      1       3       101     #       999.4   10.1
18792   615     1906    10      7       14      513     2       6       4       70      #       1001.7  7.0
18823   615     1906    10      7       17      495     2       5       7       57      #       999.3   5.7
69      422     1906    10      7       21      483     24      3       5       66      #       997.7   6.6
18854   615     1906    10      7       21      482     #       4       7       52      #       997.5   5.2
8       422     1906    10      8       8       526     0       0       4       65      #       1003.4  6.5
18762   615     1906    10      8       8       518     22      4       1       68      #       1002.3  6.8
39      422     1906    10      8       14      563     32      2       0       83      #       1008.3  8.3
18793   615     1906    10      8       14      561     24      5       1       104     #       1008.1  10.4
18824   615     1906    10      8       17      587     0       0       3       72      #       1011.5  7.2
70      422     1906    10      8       21      595     0       0       4       51      #       1012.6  5.1
18855   615     1906    10      8       21      602     0       0       3       57      #       1013.5  5.7
9       422     1906    10      9       8       538     20      5       4       95      #       1005.0  9.5
18763   615     1906    10      9       8       568     0       0       7       13      #       1009.0  1.3
40      422     1906    10      9       14      497     20      6       3       130     #       999.5   13.0
18794   615     1906    10      9       14      532     0       0       3       104     #       1004.2  10.4
18825   615     1906    10      9       17      512     0       0       3       121     #       1001.5  12.1
71      422     1906    10      9       21      476     20      5       3       110     #       996.7   11.0
18856   615     1906    10      9       21      507     0       0       3       86      #       1000.9  8.6
10      422     1906    10      10      8       454     20      2       3       85      #       993.8   8.5
18764   615     1906    10      10      8       486     0       0       5       77      #       998.1   7.7
41      422     1906    10      10      14      483     18      1       3       99      #       997.7   9.9
18795   615     1906    10      10      14      488     0       0       5       70      #       998.3   7.0
18826   615     1906    10      10      17      498     26      4       5       84      #       999.7   8.4
72      422     1906    10      10      21      505     16      2       2       60      #       1000.6  6.0
18857   615     1906    10      10      21      509     #       3       5       62      #       1001.1  6.2
11      422     1906    10      11      8       511     24      1       4       42      #       1001.4  4.2
18765   615     1906    10      11      8       529     2       2       3       52      #       1003.8  5.2
42      422     1906    10      11      14      516     32      4       4       46      #       1002.1  4.6
18796   615     1906    10      11      14      527     2       4       5       48      #       1003.5  4.8
18827   615     1906    10      11      17      525     2       5       5       42      #       1003.3  4.2
