TBC = barometer temperature °C, p_fransk - instrument reading fr.inches-12lines,then decimal: 

INDEX	YR	MON	DAY	HR	TBC	P_FR	HPA	TP0C	GP45 	PSL
1	1851	1	1	9	9.0	26020	944.4	942.9	944.5	945.1
2	1851	1	1	16	16.0	26035	948.9	946.2	947.8	948.4
3	1851	1	1	21	16.0	26066	958.2	955.5	957.1	957.7
4	1851	1	2	9	8.0	26109	971.1	969.7	971.3	971.9
5	1851	1	2	16	9.0	27027	982.6	981.1	982.7	983.3
6	1851	1	2	21	8.0	27058	991.9	990.5	992.1	992.7
7	1851	1	3	9	5.0	27085	1000.0	999.2	1000.8	1001.4
8	1851	1	3	16	5.0	27090	1001.5	1000.7	1002.3	1002.9
9	1851	1	3	21	5.0	27088	1000.9	1000.1	1001.7	1002.3
10	1851	1	4	9	6.0	27083	999.4	998.4	1000.0	1000.6
11	1851	1	4	16	6.0	27081	998.8	997.8	999.4	1000.0
12	1851	1	4	21	5.0	27070	995.5	994.7	996.3	996.9
13	1851	1	5	9	11.0	27065	994.0	992.1	993.7	994.3
14	1851	1	5	16	16.0	27067	994.6	991.9	993.5	994.1
15	1851	1	5	21	15.0	27075	997.0	994.5	996.1	996.7
16	1851	1	6	9	12.0	27073	996.4	994.4	996.0	996.6
17	1851	1	6	16	14.0	27075	997.0	994.6	996.2	996.8
18	1851	1	6	21	10.0	27074	996.7	995.0	996.6	997.2
19	1851	1	7	9	5.0	27074	996.7	995.9	997.5	998.1
20	1851	1	7	16	6.0	27073	996.4	995.4	997.0	997.6
21	1851	1	7	21	7.0	27067	994.6	993.4	995.0	995.6
22	1851	1	8	9	5.0	27061	992.8	992.0	993.6	994.2
23	1851	1	8	16	6.0	27057	991.6	990.6	992.2	992.8
24	1851	1	8	21	6.0	27050	989.5	988.5	990.1	990.7
25	1851	1	9	9	5.0	27050	989.5	988.7	990.3	990.9
26	1851	1	9	16	5.0	27048	988.9	988.1	989.7	990.3
