FID,code,the_geom,altitude,name,date_begin,date_end
synop_station.6459.2002-05-22 00:00:00+00,6459,POINT (50.581913 4.689214),159.2,ERNAGE,2002-05-22T00:00:00,
synop_station.6451.1952-01-01 00:00:00+00,6451,POINT (50.896391 4.526765),58,ZAVENTEM/MELSBROEK,1952-01-01T00:00:00,
synop_station.6449.1962-01-01 00:00:00+00,6449,POINT (50.454432 4.442053),192,GOSSELIES,1962-01-01T00:00:00,
synop_station.6450.1952-01-01 00:00:00+00,6450,POINT (51.191399 4.451755),14,DEURNE,1952-01-01T00:00:00,
synop_station.6464.2002-02-14 01:00:00+00,6464,POINT (51.221395 5.027247),21.5,RETIE,2002-02-14T01:00:00,
synop_station.6472.2002-04-01 00:00:00+00,6472,POINT (50.193663 5.255236),295.3,HUMAIN,2002-04-01T00:00:00,
synop_station.6494.2001-04-12 00:00:00+00,6494,POINT (50.510779 6.073438),673.2,MONT RIGI,2001-04-12T00:00:00,
synop_station.6484.2003-04-03 06:00:00+00,6484,POINT (49.620358 5.587229),323.9,BUZENOL,2003-04-03T06:00:00,
synop_station.6490.1952-01-01 00:00:00+00,6490,POINT (50.478615 5.909864),482,SPA (AERODROME),1952-01-01T00:00:00,
synop_station.6476.1952-01-01 00:00:00+00,6476,POINT (50.038875 5.403753),557,SAINT-HUBERT,1952-01-01T00:00:00,
synop_station.6414.2003-08-01 07:00:00+00,6414,POINT (50.90398 3.121692),24.8,BEITEM,2003-08-01T07:00:00,
synop_station.6418.2005-12-01 00:00:00+00,6418,POINT (51.347375 3.201846),12.1,ZEEBRUGGE,2005-12-01T00:00:00,
synop_station.6438.2012-08-05 00:00:00+00,6438,POINT (51.324802 4.363798),4,STABROEK,2012-08-05T00:00:00,
synop_station.6446.2001-08-23 00:00:00+00,6446,POINT (50.796862 4.357871),100.6,UCCLE-UKKEL,2001-08-23T00:00:00,2003-12-09T08:00:00
synop_station.6447.2003-12-01 00:00:00+00,6447,POINT (50.796862 4.357871),100.6,UCCLE-UKKEL,2003-12-01T00:00:00,
synop_station.6477.2004-06-29 00:00:00+00,6477,POINT (50.915458 5.450296),39.3,DIEPENBEEK,2004-06-29T00:00:00,
synop_station.6478.1952-01-01 00:00:00+00,6478,POINT (50.645282 5.458738),178,BIERSET,1952-01-01T00:00:00,
synop_station.6439.2007-10-22 00:00:00+00,6439,POINT (51.075125 4.524608),8.3,SINT-KATELIJNE-WAVER,2007-10-22T00:00:00,
synop_station.6407.1955-01-01 00:00:00+00,6407,POINT (51.200341 2.887306),3.5,MIDDELKERKE,1955-01-01T00:00:00,
synop_station.6434.2003-04-02 06:00:00+00,6434,POINT (50.980293 3.816003),15,MELLE,2003-04-02T06:00:00,
synop_station.6447.1952-01-01 00:00:00+00,6447,POINT (50.796664 4.357875),100,UCCLE-UKKEL (FERME),1952-01-01T00:00:00,2003-11-30T23:00:00
synop_station.6455.2000-02-08 03:00:00+00,6455,POINT (50.095445 4.59459),234.8,DOURBES,2000-02-08T03:00:00,
