Mean Seasonal and Annual Relative humidity 
at Armagh Observatory in the morning, 
corrected for the time of reading to 09:00 GMT.

  Year  DJF   MAM   JJA   SON  Ann(J-D)
  1838  87.1  74.8  75.2  83.7  79.8
  1839  86.0  79.4  79.5  86.9  83.2
  1840  86.6  81.2  81.6  87.0  84.0
  1841  88.5  79.7  81.2  85.9  84.1
  1842  87.8  81.7  80.5  87.2  84.4
  1843  87.8  85.4  83.1  88.5  86.3
  1844  91.2  78.9  80.2  88.5  84.0
  1845  87.8  80.4  81.0  89.4  85.2
  1846  91.7  83.9  81.7  89.8  86.8
  1847  90.2  82.5  78.8  88.0  84.7
  1848  90.9  80.5  79.1  86.8  84.2
  1849  88.2  82.1  75.8  86.2  83.2
  1850  88.4  78.1  78.4  86.5  83.0
  1851  90.7  82.0  78.3  87.8  84.6
  1852  88.9  79.0  79.5  86.4  83.8
  1853  89.7  77.4  78.9  89.6  83.6
  1854  89.3  78.6  81.8  88.0  84.4
  1855  89.9  77.7  81.5  88.6  84.3
  1856  90.9  78.6  79.9  88.4  84.7
  1857  90.7  83.6  79.2  89.8  85.6
  1858  87.5  80.4  78.7  87.7  83.7
  1859  89.6  76.0  76.2  86.9  82.4
  1860  90.4  80.2  78.4  86.1  83.7
  1861  88.6  79.2  77.9  87.2  83.1
  1862  88.9  80.1  75.9  87.7  83.1
  1863  88.8  77.5  76.4  87.2  82.4
  1864  88.3  78.1  75.7  85.5  82.0
  1865  90.4  75.6  74.6  85.6  81.3
  1866  86.8  73.3  77.0  85.7  80.9
  1867  89.4  77.9  71.5  84.8  80.9
  1868  88.2  77.3  70.7  85.3  80.6
  1869  90.7  80.1  75.3  86.0  83.1
  1870  91.1  81.3  74.1  86.6  82.9
  1871  89.5  77.9  77.4  86.6  83.0
  1872  90.9  79.3  77.5  87.6  84.0
  1873  91.7  79.7  79.5  87.3  84.1
  1874  91.5  80.8  75.4  88.2  83.9
  1875  88.8  75.9  83.2  90.1  84.9
  1876  91.7  79.2  76.7  88.1  84.0
  1877  92.5  84.4  86.8  92.6  89.1
  1878  92.2  84.6  85.8  86.5  86.9
  1879  91.7  78.8  82.1  89.4  85.6
  1880  90.7  82.2  81.8  88.0  85.8
  1881  92.4  83.1  82.7  89.0  86.8
  1882  93.9  83.5  85.1  90.2  88.1
  1883  90.2  77.4  81.7  89.0  84.4
  1884  91.0  80.9  81.4  89.7  85.8
  1885  91.7  81.6  79.9  85.5  84.8
  1886  91.4  81.7  80.5  87.0  85.0
  1887  88.8  82.0  75.1  84.5  82.6
  1888  89.3  77.9  81.9  86.4  84.0
  1889  89.3  81.3  79.8  88.5  84.5
  1890  89.4  79.5  79.9  87.8  84.1
  1891  88.0  76.6  79.4  86.1  82.6
  1892  91.7  78.1  80.1  85.7  84.0
  1893  91.6  83.7  79.4  85.3  84.9
  1894  89.4  84.9  84.2  86.8  86.4
  1895  91.0  78.5  77.4  88.5  83.9
  1896  91.7  78.8  80.1  87.7  84.7
  1897  92.1  79.1  82.8  87.3  85.1
  1898  90.0  83.2  80.3  87.8  85.3
  1899  90.8  81.6  82.6  86.7  85.7
  1900  92.9  81.3  82.3  88.7  85.9
  1901  88.6  79.1  80.6  88.8  84.5
  1902  89.9  81.5  81.3  87.8  85.1
  1903  90.9  82.2  80.3  88.7  85.6
  1904  92.0  82.3  82.1  87.8  86.0
  1905  89.4  79.4  77.9  87.5  83.2
  1906  89.2  79.8  80.7  87.7  84.8
  1907  89.8  81.6  80.9  89.9  85.5
  1908  90.4  80.9  80.5  90.9  85.6
  1909  89.6  77.7  83.8  87.6  84.8
  1910  89.9  80.6  81.7  87.1  84.9
  1911  90.2  81.0  79.1  86.8  84.3
  1912  90.6  79.4  81.6  86.4  84.2
  1913  88.0  79.1  80.5  87.2  83.8
  1914  88.1  78.8  80.6  89.8  84.3
  1915  89.9  77.7  80.5  86.2  83.7
  1916  89.9  81.1  84.5  88.9  86.3
  1917  93.4  85.0  84.0  91.6  88.3
  1918  92.0  86.9  87.4  91.8  89.6
  1919  91.7  82.5  83.4  87.8  86.3
  1920  91.4  86.4  83.1  90.9  87.9
  1921  91.2  81.4  81.8  88.2  85.7
  1922  91.3  81.8  82.8  88.2  85.8
  1923  91.5  84.6  85.0  87.2  87.3
  1924  91.7  81.4  86.1  90.2  87.3
  1925  90.1  83.1  82.9  88.8  86.1
  1926  90.8  83.1  81.5  86.6  85.3
  1927  89.3  81.9  82.2  88.0  84.9
  1928  86.5  80.3  81.4  87.8  84.5
  1929  87.6  80.5  80.5  86.7  83.7
  1930  87.9  82.1  79.4  87.5  84.6
  1931  89.5  81.1  83.6  87.5  85.3
  1932  88.8  80.7  80.1  87.0  84.1
  1933  87.8  82.1  81.4  87.8  84.6
  1934  88.5  80.9  79.1  87.7  84.5
  1935  90.4  81.0  80.1  86.2  84.3
  1936  89.7  81.6  82.9  89.0  85.4
  1937  87.1  86.5  85.2  89.8  87.4
  1938  87.9  81.9  77.6  84.6  82.9
  1939  86.0  78.6  79.5  87.4  83.2
  1940  90.7  83.3  79.3  85.9  84.7
  1941  90.4  81.7  82.9  90.2  86.4
  1942  90.3  81.3  81.3  87.8  85.2
  1943  92.0  79.8  80.5  87.9  85.2
  1944  91.1  82.0  81.5  89.8  86.2
  1945  91.5  81.9  79.8  88.2  84.8
  1946  86.5  79.3  81.4  89.5  84.4
  1947  89.1  83.5  83.8  88.1  86.2
  1948  87.7  79.7  82.4  88.9  84.8
  1949  88.1  80.3  81.6  88.0  84.3
  1950  88.4  80.1  83.2  84.3  83.9
  1951  88.6  77.7  82.0  87.6  83.7
  1952  87.2  78.7  77.4  84.7  82.3
  1953  89.0  78.0  80.5  87.2  83.8
  1954  90.3  79.1  81.7  85.2  83.7
  1955  87.5  80.0  81.9  86.2  83.9
  1956  87.7  78.0  80.7  88.4  83.8
  1957  87.7  78.9  79.3  87.3  83.5
  1958  90.8  79.2  84.5  90.5  86.5
  1959  90.9  79.5  78.9  86.1  83.6
  1960  89.7  79.2  81.1  89.2  84.9
  1961  89.0  82.4  78.6  87.4  84.1
  1962  87.3  79.9  79.1  90.1  84.1
  1963  87.7  80.9  80.8  88.2  84.4
  1964  89.0  83.9  81.4  91.5  86.8
  1965  91.4  83.7  84.1  90.6  87.5
  1966  93.0  84.6  84.1  91.2  88.1
  1967  90.9  83.4  82.3  90.8  86.9
  1968  92.7  84.6  82.0  89.9  87.1
  1969  92.4  86.1  81.8  92.4  88.4
  1970  93.4  84.6  85.4  91.5  88.6
  1971  92.3  85.4  84.4  91.7  88.3
  1972  91.6  82.4  82.3  89.7  86.4
  1973  90.7  83.3  80.6  89.4  86.2
  1974  89.7  83.3  81.2  89.7  85.8
  1975  90.1  80.7  77.4  87.4  84.1
  1976  90.2  81.4  79.3  89.6  85.2
  1977  92.1  80.4  79.9  88.0  84.8
  1978  90.5  83.5  82.7  88.2  86.2
  1979  89.2  84.2  81.8  88.1  85.9
  1980  92.3  79.4  82.8  88.9  86.0
  1981  90.4  84.8  84.4  88.6  86.9
  1982  89.7  80.1  82.3  88.6  85.3
  1983  88.3  84.6  80.9  88.4  85.5
  1984  90.4  79.9  80.3  89.5  85.1
  1985  91.0  83.1  82.1  90.0  86.4
  1986  89.6  82.3  81.9  86.1  84.9
  1987  90.0  83.5  83.1  88.4  86.4
  1988  90.0  82.8  82.3  89.0  85.9
  1989  86.8  80.6  77.4  87.8  83.5
  1990  90.3  85.1  82.5  90.3  86.9
  1991  90.3  85.9  84.1  92.5  88.3
  1992  91.1  85.9  81.9  88.1  86.7
  1993  89.4  85.3  84.2  89.9  87.0
  1994  88.1  81.3  84.7  90.2  86.2
  1995  91.8  85.3  77.1  89.0  85.8
  1996  88.8  83.1  78.7  87.5  84.4
  1997  89.1  81.1  81.1  90.1  85.5
  1998  89.2  83.8  83.4  91.2  86.8
  1999  88.5  81.6  79.8  86.9  84.1
  2000  87.8  85.3  81.9  90.0  86.5
  2001  89.4  82.1  84.5  88.2  86.0
  2002  87.0  82.7  84.4  89.6  86.1
  2003  87.9  81.5  79.8  86.6  84.1
  2004  90.0  78.0  78.3  86.0  82.8
  2005  86.6  80.4  79.0  86.8  83.4
  2006  88.7  78.5  76.0  87.8  82.6
  2007  88.0  78.7  82.6  87.4  84.1
  2008  88.2  77.4  80.2  88.6  84.0
