Oudorp(65_G) "52° 38'" NB "4° 46'" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,N,Q_N,RD,Q_RD,T,Q_T
18731201,2400,2,0,,,,
18731204,2400,2,0,,,,
18731205,2400,10,0,,,,
18731206,2400,8,0,,,,
18731207,2400,,,15,0,,
18731208,2400,,,5,0,,
18731209,2400,0,0,,,,
18731210,2400,8,0,,,,
18731212,2400,5,0,,,,
18731213,2400,8,0,,,,
18731214,2400,,,6,0,,
18731215,2400,,,19,0,,
18731216,2400,,,10,0,,
18731217,2400,0,0,,,,
18731218,2400,,,3,0,,
18731219,2400,,,2,0,,
18731220,2400,,,12,0,,
18731221,2400,2,0,,,,
18731222,2400,2,0,,,,
18731223,2400,,,4,0,,
18731224,2400,5,0,,,,
18731225,2400,8,0,,,,
18731226,2400,,,1,0,,
18731227,2400,,,148,0,,
18731228,2400,2,0,,,,
18731229,2400,,,14,0,,
18731230,2400,0,0,,,,
18731231,2400,,,12,0,,
18740101,2400,8,0,,,,
18740102,2400,,,8,0,,
18740103,2400,,,118,0,,
18740104,2400,,,116,0,,
18740105,2400,,,12,0,,
18740106,2400,10,0,,,,
18740107,2400,,,40,0,,
18740108,2400,0,0,,,,
18740109,2400,,,1,0,,
18740110,2400,5,0,,,,
18740111,2400,,,1,0,,
18740112,2400,,,27,0,,
18740113,2400,0,0,,,,
18740114,2400,,,1,0,,
18740115,2400,2,0,,,,
18740116,2400,5,0,,,,
18740117,2400,,,27,0,,
18740118,2400,,,42,0,,
18740119,2400,,,125,0,,
18740120,2400,,,50,0,,
18740121,2400,0,0,,,,
18740122,2400,,,6,0,,
18740123,2400,,,4,0,,
18740124,2400,,,43,0,,
18740125,2400,2,0,,,,
18740126,2400,2,0,,,,
18740127,2400,0,0,,,,
18740128,2400,2,0,,,,
18740129,2400,8,0,,,,
18740130,2400,,,1,0,,
18740131,2400,2,0,,,,
18740201,2400,,,1,0,,
18740202,2400,5,0,,,,
18740203,2400,0,0,,,,
18740204,2400,,,3,0,,
18740205,2400,0,0,,,,
18740206,2400,10,0,,,,
18740207,2400,,,13,0,,
18740208,2400,,,3,0,,
18740209,2400,,,3,0,,
18740210,2400,0,0,,,,
18740211,2400,0,0,,,,
18740212,2400,0,0,,,,
18740213,2400,10,0,,,,
18740214,2400,5,0,,,,
18740215,2400,8,0,,,,
18740216,2400,8,0,,,,
18740217,2400,2,0,,,,
18740218,2400,,,3,0,,
18740219,2400,0,0,,,,
18740220,2400,8,0,,,,
18740221,2400,10,0,,,,
18740222,2400,0,0,,,,
18740223,2400,2,0,,,,
18740224,2400,5,0,,,,
18740225,2400,0,0,,,,
18740226,2400,0,0,,,,
18740227,2400,,,14,0,,
18740228,2400,,,24,0,,
18740301,2400,,,1,0,,
18740302,2400,2,0,,,,
18740303,2400,0,0,,,,
18740305,2400,,,2,0,,
18740306,2400,5,0,,,,
18740307,2400,5,0,,,,
18740309,2400,,,4,0,,
18740310,2400,,,105,0,,
18740311,2400,,,16,0,,
18740312,2400,,,29,0,,
18740313,2400,,,4,0,,
18740314,2400,,,16,0,,
18740315,2400,,,40,0,,
18740316,2400,,,14,0,,
18740317,2400,,,15,0,,
18740318,2400,,,155,0,,
18740319,2400,,,43,0,,
18740320,2400,,,1,0,,
18740321,2400,0,0,,,,
18740322,2400,8,0,,,,
18740324,2400,0,0,,,,
18740325,2400,2,0,,,,
18740326,2400,5,0,,,,
18740327,2400,5,0,,,,
18740328,2400,,,10,0,,
18740329,2400,,,63,0,,
18740330,2400,,,3,0,,
18740331,2400,,,193,0,,
18740401,2400,,,35,0,,
18740402,2400,,,10,0,,
18740403,2400,,,8,0,,
18740404,2400,2,0,,,,
18740405,2400,,,50,0,,
18740406,2400,,,8,0,,
18740407,2400,0,0,,,,
18740408,2400,,,22,0,,
18740409,2400,0,0,,,,
18740410,2400,5,0,,,,
18740411,2400,,,40,0,,
18740412,2400,5,0,,,,
18740413,2400,8,0,,,,
18740414,2400,,,10,0,,
18740415,2400,8,0,,,,
18740416,2400,10,0,,,,
18740417,2400,8,0,,,,
18740418,2400,,,2,0,,
18740419,2400,2,0,,,,
18740420,2400,10,0,,,,
18740421,2400,2,0,,,,
18740422,2400,0,0,,,,
18740423,2400,0,0,,,,
18740424,2400,0,0,,,,
18740425,2400,0,0,,,,
18740426,2400,10,0,,,,
18740427,2400,2,0,,,,
18740428,2400,0,0,,,,
18740429,2400,0,0,,,,
18740430,2400,0,0,,,,
18740501,2400,2,0,,,,
18740502,2400,,,15,0,,
18740503,2400,2,0,,,,
18740504,2400,,,3,0,,
18740505,2400,,,25,0,,
18740506,2400,,,31,0,,
18740507,2400,,,20,0,,
18740508,2400,,,94,0,,
18740509,2400,5,0,,,,
18740510,2400,,,59,0,,
18740512,2400,,,20,0,,
18740513,2400,,,38,0,,
18740514,2400,8,0,,,,
18740515,2400,,,147,0,,
18740516,2400,,,1,0,,
18740517,2400,,,1,0,,
18740518,2400,,,1,0,,
18740519,2400,2,0,,,,
18740520,2400,2,0,,,,
18740521,2400,2,0,,,,
18740522,2400,2,0,,,,
18740523,2400,,,20,0,,
18740524,2400,,,5,0,,
18740525,2400,0,0,,,,
18740526,2400,0,0,,,,
18740527,2400,2,0,,,,
18740531,2400,0,0,,,,
18740601,800,,,,,190,0
18740601,2000,,,,,185,0
18740601,2400,2,0,,,,
18740602,800,,,,,235,0
18740602,2000,,,,,190,0
18740602,2400,2,0,,,,
18740603,800,,,,,210,0
18740603,2000,,,,,150,0
18740603,2400,8,0,,,,
18740604,800,,,,,175,0
18740604,2000,,,,,160,0
18740604,2400,0,0,,,,
18740605,800,,,,,210,0
18740605,2000,,,,,170,0
18740605,2400,2,0,,,,
18740606,800,,,,,205,0
18740606,2000,,,,,150,0
18740606,2400,0,0,,,,
18740607,800,,,,,135,0
18740607,2000,,,,,140,0
18740607,2400,8,0,,,,
18740608,800,,,,,165,0
18740608,2000,,,,,190,0
18740608,2400,0,0,,,,
18740609,800,,,,,200,0
18740609,2000,,,,,175,0
18740609,2400,8,0,,,,
18740610,800,,,,,190,0
18740610,2000,,,,,100,0
18740610,2400,2,0,,,,
18740611,800,,,,,170,0
18740611,2000,,,,,155,0
18740611,2400,,,5,0,,
18740612,800,,,,,120,0
18740612,2000,,,,,95,0
18740612,2400,,,2,0,,
18740613,800,,,,,90,0
18740613,2000,,,,,90,0
18740613,2400,,,5,0,,
18740614,800,,,,,135,0
18740614,2000,,,,,110,0
18740614,2400,,,3,0,,
18740615,800,,,,,150,0
18740615,2000,,,,,120,0
18740615,2400,2,0,,,,
18740616,800,,,,,130,0
18740616,2000,,,,,125,0
18740616,2400,,,42,0,,
18740617,800,,,,,170,0
18740617,2000,,,,,155,0
18740617,2400,,,62,0,,
18740618,800,,,,,135,0
18740618,2000,,,,,120,0
18740618,2400,0,0,,,,
18740619,800,,,,,120,0
18740619,2000,,,,,120,0
18740619,2400,,,2,0,,
18740620,800,,,,,125,0
18740620,2000,,,,,110,0
18740620,2400,8,0,,,,
18740621,800,,,,,130,0
18740621,2000,,,,,160,0
18740621,2400,2,0,,,,
18740622,800,,,,,145,0
18740622,2000,,,,,125,0
18740622,2400,5,0,,,,
18740623,800,,,,,190,0
18740623,2000,,,,,170,0
18740623,2400,0,0,,,,
18740624,800,,,,,160,0
18740624,2000,,,,,180,0
18740624,2400,,,45,0,,
18740625,800,,,,,175,0
18740625,2000,,,,,160,0
18740625,2400,8,0,,,,
18740626,800,,,,,150,0
18740626,2000,,,,,160,0
18740626,2400,,,2,0,,
18740627,800,,,,,200,0
18740627,2000,,,,,165,0
18740627,2400,2,0,,,,
18740628,800,,,,,180,0
18740628,2000,,,,,165,0
18740628,2400,2,0,,,,
18740629,800,,,,,145,0
18740629,2000,,,,,160,0
18740629,2400,,,4,0,,
18740630,800,,,,,140,0
18740630,2000,,,,,175,0
18740630,2400,,,39,0,,
18740701,800,,,,,185,0
18740701,2000,,,,,170,0
18740701,2400,,,2,0,,
18740702,800,,,,,225,0
18740702,2000,,,,,180,0
18740702,2400,,,1,0,,
18740703,800,,,,,225,0
18740703,2000,,,,,160,0
18740703,2400,,,4,0,,
18740704,800,,,,,205,0
18740704,2000,,,,,170,0
18740704,2400,2,0,,,,
18740705,800,,,,,180,0
18740705,2000,,,,,180,0
18740705,2400,2,0,,,,
18740706,800,,,,,185,0
18740706,2000,,,,,195,0
18740706,2400,0,0,,,,
18740707,800,,,,,200,0
18740707,2000,,,,,200,0
18740707,2400,2,0,,,,
18740708,800,,,,,230,0
18740708,2000,,,,,175,0
18740708,2400,0,0,,,,
18740709,800,,,,,225,0
18740709,2000,,,,,220,0
18740709,2400,0,0,,,,
18740710,800,,,,,265,0
18740710,2000,,,,,240,0
18740710,2400,0,0,,,,
18740711,800,,,,,240,0
18740711,2000,,,,,200,0
18740711,2400,,,2,0,,
18740712,800,,,,,195,0
18740712,2000,,,,,190,0
18740712,2400,0,0,,,,
18740713,800,,,,,210,0
18740713,2000,,,,,210,0
18740713,2400,0,0,,,,
18740714,800,,,,,230,0
18740714,2000,,,,,210,0
18740714,2400,2,0,,,,
18740715,800,,,,,210,0
18740715,2000,,,,,200,0
18740715,2400,0,0,,,,
18740716,800,,,,,175,0
18740716,2000,,,,,160,0
18740716,2400,2,0,,,,
18740717,800,,,,,165,0
18740717,2000,,,,,175,0
18740717,2400,8,0,,,,
18740718,800,,,,,185,0
18740718,2000,,,,,185,0
18740718,2400,2,0,,,,
18740719,800,,,,,220,0
18740719,2000,,,,,220,0
18740719,2400,0,0,,,,
18740720,800,,,,,250,0
18740720,2000,,,,,255,0
18740720,2400,0,0,,,,
18740721,800,,,,,215,0
18740721,2000,,,,,205,0
18740721,2400,5,0,,,,
18740722,800,,,,,205,0
18740722,2000,,,,,190,0
18740722,2400,2,0,,,,
18740723,800,,,,,210,0
18740723,2000,,,,,185,0
18740723,2400,,,70,0,,
18740724,800,,,,,200,0
18740724,2000,,,,,180,0
18740724,2400,2,0,,,,
18740725,800,,,,,185,0
18740725,2000,,,,,155,0
18740725,2400,0,0,,,,
18740726,800,,,,,190,0
18740726,2000,,,,,165,0
18740726,2400,,,2,0,,
18740727,800,,,,,215,0
18740727,2000,,,,,185,0
18740727,2400,2,0,,,,
18740728,800,,,,,210,0
18740728,2000,,,,,185,0
18740728,2400,,,13,0,,
18740729,800,,,,,185,0
18740729,2000,,,,,180,0
18740729,2400,,,94,0,,
18740730,800,,,,,200,0
18740730,2000,,,,,180,0
18740730,2400,8,0,,,,
18740731,800,,,,,210,0
18740731,2000,,,,,180,0
18740731,2400,2,0,,,,
18740801,800,,,,,170,0
18740801,2000,,,,,155,0
18740801,2400,,,30,0,,
18740802,800,,,,,210,0
18740802,2000,,,,,195,0
18740802,2400,8,0,,,,
18740803,800,,,,,200,0
18740803,2000,,,,,145,0
18740803,2400,2,0,,,,
18740804,800,,,,,200,0
18740804,2000,,,,,142,0
18740804,2400,,,29,0,,
18740805,800,,,,,165,0
18740805,2000,,,,,150,0
18740805,2400,,,50,0,,
18740806,800,,,,,155,0
18740806,2000,,,,,130,0
18740806,2400,,,162,0,,
18740807,800,,,,,170,0
18740807,2000,,,,,170,0
18740807,2400,5,0,,,,
18740808,800,,,,,170,0
18740808,2000,,,,,140,0
18740808,2400,,,162,0,,
18740809,800,,,,,170,0
18740809,2000,,,,,145,0
18740809,2400,,,50,0,,
18740810,800,,,,,150,0
18740810,2000,,,,,160,0
18740810,2400,,,150,0,,
18740811,800,,,,,160,0
18740811,2000,,,,,160,0
18740811,2400,,,65,0,,
18740812,800,,,,,150,0
18740812,2000,,,,,150,0
18740812,2400,,,115,0,,
18740813,800,,,,,165,0
18740813,2000,,,,,180,0
18740813,2400,,,347,0,,
18740814,800,,,,,180,0
18740814,2000,,,,,170,0
18740814,2400,,,36,0,,
18740815,800,,,,,175,0
18740815,2000,,,,,165,0
18740815,2400,5,0,,,,
18740816,800,,,,,125,0
18740816,2000,,,,,140,0
18740816,2400,5,0,,,,
18740817,800,,,,,130,0
18740817,2000,,,,,140,0
18740817,2400,,,36,0,,
18740818,800,,,,,170,0
18740818,2000,,,,,170,0
18740818,2400,10,0,,,,
18740819,800,,,,,215,0
18740819,2000,,,,,180,0
18740819,2400,0,0,,,,
18740820,800,,,,,210,0
18740820,2000,,,,,180,0
18740820,2400,2,0,,,,
18740821,800,,,,,165,0
18740821,2000,,,,,145,0
18740821,2400,5,0,,,,
18740822,800,,,,,185,0
18740822,2000,,,,,125,0
18740822,2400,5,0,,,,
18740823,800,,,,,190,0
18740823,2000,,,,,145,0
18740823,2400,5,0,,,,
18740824,800,,,,,120,0
18740824,2000,,,,,130,0
18740824,2400,5,0,,,,
18740825,800,,,,,150,0
18740825,2000,,,,,130,0
18740825,2400,5,0,,,,
18740826,800,,,,,140,0
18740826,2000,,,,,130,0
18740826,2400,,,1,0,,
18740827,800,,,,,155,0
18740827,2000,,,,,165,0
18740827,2400,,,54,0,,
18740828,800,,,,,165,0
18740828,2000,,,,,150,0
18740828,2400,,,141,0,,
18740829,800,,,,,160,0
18740829,2000,,,,,130,0
18740829,2400,,,37,0,,
18740830,800,,,,,170,0
18740830,2000,,,,,140,0
18740830,2400,,,3,0,,
18740831,800,,,,,165,0
18740831,2000,,,,,155,0
