Halfweg (Huize Zwanenburg)(42_G) "52° 23'" NB "4° 45'" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FK  Windkracht  :  Meestal in Bft  (Onbekend). ;  FK  Wind power  :  usual in Bft  (Unknown).
 TA  Temp anomalie  :  Afwijking van klimatologoie  (0.1 Celcius). ;  TA  Temp anomaly  :  Relative to climatology  (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,DD,Q_DD,FK,Q_FK,TA,Q_TA,T,Q_T
18501201,700,OZO,0,,,,,11,0
18501201,1300,O,0,,,,,11,0
18501201,2200,O,0,10,0,,,14,0
18501202,700,ZO,0,,,,,22,0
18501202,1300,ZO,0,,,,,33,0
18501202,2200,ZZO,0,20,0,,,28,0
18501203,700,Z,0,,,,,22,0
18501203,1300,Z,0,,,,,28,0
18501203,2200,ZO,0,20,0,,,28,0
18501204,700,Z,0,,,,,17,0
18501204,1300,Z,0,,,,,28,0
18501204,2200,ZW,0,20,0,,,61,0
18501205,700,ZW,0,,,,,78,0
18501205,1300,W,0,,,,,83,0
18501205,2200,ZW,0,,,,,58,0
18501206,700,Z,0,,,,,61,0
18501206,1300,Z,0,,,,,78,0
18501206,2200,Z,0,,,,,72,0
18501207,700,ZO,0,,,,,44,0
18501207,1300,ZO,0,,,,,72,0
18501207,2200,ZO,0,20,0,,,33,0
18501208,700,ZZO,0,,,,,0,0
18501208,1300,ZW,0,,,,,11,0
18501208,2200,ZW,0,,,,,20,0
18501209,700,ZW,0,,,,,33,0
18501209,1300,ZW,0,,,,,52,0
18501209,2200,ZO,0,,,,,44,0
18501210,700,ZZO,0,,,,,33,0
18501210,1300,ZO,0,,,,,22,0
18501210,2200,OZO,0,20,0,,,17,0
18501211,700,Z,0,,,,,-11,0
18501211,1300,Z,0,,,,,0,0
18501211,2200,ZZO,0,20,0,,,0,0
18501212,700,ZW,0,20,0,,,11,0
18501212,1300,ZW,0,,,,,22,0
18501212,2200,ZW,0,20,0,,,41,0
18501213,700,ZW,0,,,,,44,0
18501213,1300,ZO,0,,,,,50,0
18501213,2200,ZZW,0,20,0,,,50,0
18501214,700,ZW,0,20,0,,,52,0
18501214,1300,ZW,0,,,,,72,0
18501214,2200,Z,0,50,0,,,58,0
18501215,700,ZW,0,40,0,,,64,0
18501215,1300,ZW,0,,,,,75,0
18501215,2200,ZW,0,,,,,78,0
18501216,700,W,0,50,0,,,72,0
18501216,1300,WZW,0,,,,,72,0
18501216,2200,ZW,0,40,0,,,61,0
18501217,700,W,0,50,0,,,61,0
18501217,1300,W,0,,,,,72,0
18501217,2200,WZW,0,40,0,,,52,0
18501218,700,W,0,30,0,,,44,0
18501218,1300,NW,0,,,,,61,0
18501218,2200,ZW,0,20,0,,,33,0
18501219,700,O,0,20,0,,,22,0
18501219,1300,NO,0,,,,,22,0
18501219,2200,NW,0,20,0,,,22,0
18501220,700,ZW,0,20,0,,,11,0
18501220,1300,NW,0,,,,,44,0
18501220,2200,O,0,10,0,,,50,0
18501221,700,Z,0,,,,,-6,0
18501221,1300,ZZW,0,,,,,6,0
18501221,2200,Z,0,20,0,,,-6,0
18501222,700,Z,0,20,0,,,11,0
18501222,1300,NNW,0,,,,,69,0
18501222,2200,NNW,0,20,0,,,29,0
18501223,700,Z,0,20,0,,,2,0
18501223,1300,Z,0,,,,,3,0
18501223,2200,W,0,20,0,,,8,0
18501224,700,ZW,0,20,0,,,0,0
18501224,1300,ZW,0,,,,,6,0
18501224,2200,Z,0,40,0,,,11,0
18501225,700,ZW,0,40,0,,,22,0
18501225,1300,WZW,0,,,,,56,0
18501225,2200,W,0,40,0,,,61,0
18501226,700,NW,0,20,0,,,50,0
18501226,1300,W,0,,,,,61,0
18501226,2200,WZW,0,20,0,,,36,0
18501227,700,ZW,0,20,0,,,72,0
18501227,1300,ZW,0,,,,,89,0
18501227,2200,ZW,0,20,0,,,89,0
