Haarlem(62_G)  NB "52° 23'" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FK  Windkracht  :  Meestal in Bft  (Onbekend). ;  FK  Wind power  :  usual in Bft  (Unknown).

DATUM,tijd,DD,Q_DD,FK,Q_FK
18481201,800,ZW,0,0,0
18481201,1300,ZW,0,20,0
18481201,2200,ZZW,0,40,0
18481202,800,,,40,0
18481202,1300,,,40,0
18481202,2200,,,40,0
18481203,1300,,,40,0
18481203,2200,,,20,0
18481204,800,,,40,0
18481204,1300,,,40,0
18481204,2200,Z,0,40,0
18481205,800,,,40,0
18481205,1300,ZW,0,60,0
18481205,2200,,,40,0
18481206,800,,,40,0
18481206,1300,,,40,0
18481206,2200,WZW,0,40,0
18481207,800,,,40,0
18481207,1300,ZZO,0,40,0
18481208,800,,,60,0
18481208,1300,,,40,0
18481208,2200,,,40,0
18481209,800,,,20,0
18481209,1300,,,20,0
18481209,2200,ZW,0,30,0
18481210,800,Z,0,20,0
18481210,1300,Z,0,20,0
18481210,2200,,,20,0
18481211,800,,,20,0
18481211,1300,Z,0,20,0
18481211,2200,,,20,0
18481212,800,ZW,0,20,0
18481212,1300,,,20,0
18481212,2200,,,20,0
18481213,800,ZW,0,20,0
18481213,1300,,,20,0
18481213,2200,ZW,0,20,0
18481214,800,ZO,0,20,0
18481214,1300,,,20,0
18481214,2200,ZO,0,40,0
18481215,800,,,20,0
18481215,1300,,,20,0
18481215,2200,ZO,0,40,0
18481216,800,,,20,0
18481216,1300,,,0,0
18481216,2200,W,0,0,0
18481217,800,N,0,40,0
18481217,1300,NO,0,20,0
18481217,2200,O,0,20,0
18481218,800,,,20,0
18481218,1300,,,20,0
18481218,2200,OZO,0,20,0
18481219,800,,,20,0
18481219,1300,ONO,0,20,0
18481219,2200,O,0,60,0
18481220,800,O,0,60,0
18481220,1300,,,40,0
18481220,2200,OZO,0,40,0
18481221,800,,,40,0
18481221,1300,O,0,20,0
18481221,2200,,,40,0
18481222,800,O,0,40,0
18481222,1300,O,0,40,0
18481222,2200,ONO,0,40,0
18481223,800,,,20,0
18481223,1300,,,20,0
18481223,2200,O,0,20,0
18481224,800,,,20,0
18481224,1300,ONO,0,40,0
18481224,2200,NO,0,20,0
18481225,800,O,0,20,0
18481225,1300,ZZO,0,0,0
18481225,2200,NO,0,0,0
18481226,800,O,0,0,0
18481226,1300,,,20,0
18481226,2200,O,0,60,0
18481227,800,,,20,0
18481227,1300,ZO,0,20,0
18481227,2200,,,0,0
18481228,800,O,0,20,0
18481228,1300,,,20,0
18481228,2200,NO,0,20,0
18481229,800,,,0,0
18481229,1300,,,0,0
18481229,2200,,,20,0
18481230,800,O,0,20,0
18481230,1300,ONO,0,20,0
18481230,2200,OZO,0,20,0
18481231,800,ONO,0,20,0
18481231,1300,,,20,0
18481231,2200,,,40,0
18490101,800,,,40,0
18490101,1300,ONO,0,20,0
18490101,2200,NO,0,40,0
18490102,800,OZO,0,20,0
18490102,1300,,,20,0
18490102,2200,O,0,30,0
18490103,800,,,20,0
18490103,1300,,,20,0
18490103,2200,O,0,20,0
18490104,800,NO,0,0,0
18490104,1300,O,0,0,0
18490104,2200,,,30,0
18490105,800,ONO,0,20,0
18490105,1300,,,20,0
18490105,2200,NNO,0,20,0
18490106,800,NW,0,0,0
18490106,1300,,,20,0
18490106,2200,,,20,0
18490107,800,,,0,0
18490107,1300,W,0,0,0
18490107,2200,NW,0,20,0
18490108,800,OZO,0,20,0
18490108,1300,,,0,0
18490108,2200,OZO,0,40,0
18490109,800,,,40,0
18490109,1300,,,40,0
18490109,2200,OZO,0,0,0
18490110,800,ZO,0,40,0
18490110,1300,ZW,0,20,0
18490110,2200,ZW,0,40,0
18490111,800,ZW,0,40,0
18490111,1300,ZW,0,40,0
18490111,2200,NO,0,60,0
18490112,800,,,40,0
18490112,1300,,,20,0
18490112,2200,,,40,0
18490113,800,Z,0,40,0
18490113,1300,ZW,0,20,0
18490113,2200,ZW,0,20,0
18490114,800,,,60,0
18490114,1300,ZW,0,,
18490114,2200,NW,0,60,0
18490115,800,WNW,0,20,0
18490115,1300,,,40,0
18490115,2200,,,20,0
18490116,800,,,20,0
18490116,1300,ZW,0,20,0
18490116,2200,ZO,0,20,0
18490117,800,,,20,0
18490117,1300,,,40,0
18490117,2200,,,20,0
18490118,800,,,20,0
18490118,1300,,,20,0
18490119,800,,,40,0
18490119,1300,,,20,0
18490119,2200,,,20,0
18490120,800,,,20,0
18490120,1300,,,20,0
18490120,2200,W,0,0,0
18490121,800,ZW,0,20,0
18490121,1300,,,40,0
18490121,2200,ZW,0,40,0
18490122,800,,,40,0
18490122,1300,ZW,0,40,0
18490122,2200,ZW,0,40,0
18490123,800,,,40,0
18490123,2200,WZW,0,50,0
18490124,800,,,60,0
18490124,1300,ZW,0,60,0
18490125,800,,,60,0
18490125,1300,,,60,0
18490125,2200,ZW,0,60,0
18490126,800,ZW,0,60,0
18490126,1300,ZW,0,40,0
18490126,2200,W,0,50,0
18490127,800,,,20,0
18490127,1300,ZW,0,20,0
18490127,2200,ZZO,0,20,0
18490128,800,ZO,0,40,0
18490128,1300,,,40,0
18490128,2200,,,20,0
18490129,800,Z,0,20,0
18490129,1300,NW,0,0,0
18490129,2200,NO,0,30,0
18490130,800,NNW,0,20,0
18490130,1300,ZW,0,0,0
18490130,2200,Z,0,40,0
18490131,800,,,40,0
18490131,1300,,,40,0
18490131,2200,NW,0,40,0
18490201,700,,,40,0
18490201,1300,,,40,0
18490201,2200,NW,0,10,0
18490202,700,ZW,0,0,0
18490202,1300,ZO,0,0,0
18490202,2200,ZO,0,0,0
18490203,700,ZW,0,20,0
18490203,1300,Z,0,20,0
18490203,2200,ZW,0,20,0
18490204,700,,,20,0
18490204,1300,,,20,0
18490204,2200,,,20,0
18490205,700,ZW,0,20,0
18490205,1300,,,20,0
18490205,2200,ZW,0,0,0
18490206,700,,,0,0
18490206,1300,ZW,0,0,0
18490206,2200,ZZW,0,0,0
18490207,700,ZW,0,20,0
18490207,1300,,,0,0
18490207,2200,,,10,0
18490208,700,,,20,0
18490208,1300,,,20,0
18490208,2200,ZW,0,40,0
18490209,700,,,40,0
18490209,1300,WZW,0,40,0
18490209,2200,ZW,0,20,0
18490210,700,,,40,0
18490210,1300,ZW,0,40,0
18490210,2200,,,40,0
18490211,700,NNW,0,40,0
18490211,1300,,,40,0
18490211,2200,NW,0,20,0
18490212,700,ZW,0,0,0
18490212,1300,,,20,0
18490212,2200,NW,0,0,0
18490213,700,,,20,0
18490213,1300,,,40,0
18490213,2200,W,0,0,0
18490214,700,ZW,0,0,0
18490214,1300,ZW,0,40,0
18490214,2200,ZW,0,60,0
18490215,700,WZW,0,40,0
18490215,1300,WZW,0,40,0
18490215,2200,ZW,0,20,0
18490216,700,WNW,0,20,0
18490216,1300,,,20,0
18490216,2200,ZW,0,40,0
18490217,700,W,0,20,0
18490217,1300,NW,0,20,0
18490217,2200,,,20,0
18490218,700,,,40,0
18490218,1300,,,40,0
18490218,2200,ZW,0,40,0
18490219,700,,,60,0
18490219,1300,WZW,0,,
18490219,2200,ZW,0,60,0
18490220,700,W,0,40,0
18490220,1300,,,20,0
18490220,2200,NW,0,40,0
18490221,1300,NW,0,60,0
18490221,2200,,,20,0
18490222,700,W,0,40,0
18490222,1300,WZW,0,40,0
18490222,2200,WNW,0,40,0
18490223,700,NW,0,60,0
18490223,1300,NW,0,40,0
18490223,2200,,,20,0
18490224,700,,,20,0
18490224,1300,,,40,0
18490224,2200,W,0,0,0
18490225,700,ZO,0,20,0
18490225,1300,OZO,0,20,0
18490225,2200,NNO,0,20,0
18490226,700,ZZW,0,20,0
18490226,1300,NW,0,20,0
18490226,2200,,,20,0
18490227,700,NW,0,0,0
18490227,1300,NW,0,20,0
18490227,2200,OZO,0,20,0
18490228,700,ZZO,0,40,0
18490228,1300,ZW,0,60,0
18490301,700,ZW,0,60,0
18490301,1300,W,0,40,0
18490301,2200,,,40,0
18490302,700,,,40,0
18490302,1300,ZW,0,40,0
18490302,2200,WZW,0,40,0
18490303,700,ZW,0,40,0
18490303,1300,WZW,0,20,0
18490303,2200,WZW,0,20,0
18490304,700,ZW,0,20,0
18490304,1300,ZW,0,20,0
18490304,2200,,,20,0
18490305,700,,,0,0
18490305,1300,ZW,0,20,0
18490305,2200,WNW,0,20,0
18490306,700,WNW,0,0,0
18490306,1300,ZW,0,20,0
18490306,2200,,,40,0
18490307,700,,,60,0
18490307,1300,ZW,0,,
18490307,2200,W,0,40,0
18490308,700,WNW,0,40,0
18490308,1300,NW,0,40,0
18490308,2200,NW,0,40,0
18490309,700,W,0,20,0
18490309,1300,WNW,0,40,0
18490309,2200,,,50,0
18490310,700,NW,0,20,0
18490310,1300,,,40,0
18490310,2200,,,20,0
18490311,700,W,0,20,0
18490311,1300,W,0,20,0
18490311,2200,ZW,0,40,0
18490312,700,,,40,0
18490312,1300,,,40,0
18490312,2200,,,20,0
18490313,700,,,40,0
18490313,1300,NW,0,60,0
18490313,2200,NNW,0,20,0
18490314,700,,,0,0
18490314,1300,NW,0,20,0
18490314,2200,NNW,0,20,0
18490315,700,,,20,0
18490315,1300,,,20,0
18490315,2200,ZW,0,20,0
18490316,700,NW,0,40,0
18490316,1300,NW,0,40,0
18490316,2200,,,60,0
18490317,700,,,40,0
