Amsterdam (Filiaal Inrichting)(123_G) "52:22:29" NB "4:56:16" OL     1.4 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FFb  Windsnelheid  :   herstelde Bft schaal  (Bft). ;  FFb  Windspeed  :  restored Bft scale  (Bft).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 Phpa  Druk  :  Totale luchtdruk  (0.1 hPa). ;  Phpa  Pressuse  :  Total air pressure  (0.1 hPa).
 R6  Dagsom neerslag  :  dagsom  (0.1 mm). ;  R6  Daily precipitation  :  sum  (0.1 mm).
 TD  Maximum Temp  :  Maximum temparatuur  (0.1 Celcius). ;  TD  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).
 TN6  Minimum Temp  :  Minimum temparature sinds vorige meting   (0.1 Celcius). ;  TN6  Minimum Temp  :  Minimum temperature   (0.1 Celcius).
 TX6  Maximum Temp  :  Maximum temparature sinds vorige meting  (0.1 Celcius). ;  TX6  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 U  Relatieve Vochtigheid  :  Hoeveelheid vocht in de lucht in % van verzadiging  (%). ;  U  Rel Humidity  :  Amount of moist in the air as % of saturation  (%).
 SX  Sneeuwdikte  :  Kwalitatieve beschrijving  (code). ;  SX  Snowdepth  :  Qualitative description  (code).
 WW  Weercode  :  SYNOP code   (code). ;  WW  Wheather code  :  SYNOP code   (code).
 DP  Drukanomalie  :  Afwijking van normaal  (0.01 cm Hg). ;  DP  Pressure anomaly  :  description  (0.01 cm Hg).
 EE  Dampdruk  :  Druk van het deel waterdamp  (0.01 mmHg). ;  EE  Vapourpressure  :  Pressure of the watervapour  (0.01 mmHg).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).

DATUM,tijd,DD,Q_DD,FFb,Q_FFb,N,Q_N,Phpa,Q_Phpa,R6,Q_R6,TD,Q_TD,T,Q_T,TN6,Q_TN6,TX6,Q_TX6,U,Q_U,SX,Q_SX,WW,Q_WW,DP,Q_DP,EE,Q_EE,RD,Q_RD
18870801,800,N,0,,,,,,,,,,,166,0,,,,,,,,,,,47,0,,,,
18870801,1400,WNW,0,,,,,,,,,,,177,0,,,,,,,,,,,63,0,,,,
18870801,2000,NNW,0,,,,,,,,,,,154,0,,,,,,,,,,,69,0,,,,
18870801,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0
18870802,800,ZW,0,,,,,,,,,,,163,0,,,,,,,,,,,64,0,,,,
18870802,1400,NNW,0,,,,,,,,,,,159,0,,,,,,,,,,,58,0,,,,
18870802,2000,NW,0,,,,,,,,,,,146,0,,,,,,,,,,,60,0,,,,
18870802,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870803,800,NNW,0,,,,,,,,,,,152,0,,,,,,,,,,,86,0,,,,
18870803,1400,NW,0,,,,,,,,,,,167,0,,,,,,,,,,,91,0,,,,
18870803,2000,NNW,0,,,,,,,,,,,141,0,,,,,,,,,,,93,0,,,,
18870803,2400,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
18870804,800,NNO,0,,,,,,,,,,,152,0,,,,,,,,,,,97,0,,,,
18870804,1400,O,0,,,,,,,,,,,167,0,,,,,,,,,,,99,0,,,,
18870804,2000,NNO,0,,,,,,,,,,,146,0,,,,,,,,,,,90,0,,,,
18870804,2400,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,
18870805,800,OZO,0,,,,,,,,,,,164,0,,,,,,,,,,,87,0,,,,
18870805,1400,NO,0,,,,,,,,,,,190,0,,,,,,,,,,,75,0,,,,
18870805,2000,NO,0,,,,,,,,,,,182,0,,,,,,,,,,,62,0,,,,
18870805,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870806,800,ZZO,0,,,,,,,,,,,180,0,,,,,,,,,,,55,0,,,,
18870806,1400,O,0,,,,,,,,,,,231,0,,,,,,,,,,,41,0,,,,
18870806,2000,O,0,,,,,,,,,,,212,0,,,,,,,,,,,30,0,,,,
18870806,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870807,800,ZZW,0,,,,,,,,,,,208,0,,,,,,,,,,,16,0,,,,
18870807,1400,WNW,0,,,,,,,,,,,200,0,,,,,,,,,,,15,0,,,,
18870807,2000,NW,0,,,,,,,,,,,176,0,,,,,,,,,,,40,0,,,,
18870807,2400,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
18870808,800,ZW,0,,,,,,,,,,,190,0,,,,,,,,,,,46,0,,,,
18870808,1400,WZW,0,,,,,,,,,,,205,0,,,,,,,,,,,42,0,,,,
18870808,2000,WZW,0,,,,,,,,,,,191,0,,,,,,,,,,,36,0,,,,
18870808,2400,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
18870809,800,WNW,0,,,,,,,,,,,184,0,,,,,,,,,,,14,0,,,,
18870809,1400,WNW,0,,,,,,,,,,,174,0,,,,,,,,,,,18,0,,,,
18870809,2000,ZW,0,,,,,,,,,,,177,0,,,,,,,,,,,5,0,,,,
