Breda(101_G) "51:35:27" NB "4:46:35" OL     4.0 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 DP  Drukanomalie  :  Afwijking van normaal  (0.01 cm Hg). ;  DP  Pressure anomaly  :  description  (0.01 cm Hg).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 Phg  Druk  :  Totale luchtdruk  (0.01 mm Hg). ;  Phg  Pressuse  :  Total air pressure  (0.01 mm Hg).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 TA  Temp anomalie  :  Afwijking van klimatologoie  (0.1 Celcius). ;  TA  Temp anomaly  :  Relative to climatology  (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,DD,Q_DD,DP,Q_DP,N,Q_N,Phg,Q_Phg,RD,Q_RD,TA,Q_TA,T,Q_T
18501201,800,,,,,,,76806,0,,,,,11,0
18501201,1400,,,,,,,76859,0,,,,,22,0
18501202,800,,,,,,,77315,0,,,,,29,0
18501202,1400,,,,,,,77312,0,,,,,45,0
18501203,800,,,,,,,77009,0,,,,,25,0
18501203,1400,,,,,,,76896,0,,,,,46,0
18501204,800,,,,,,,76728,0,,,,,0,0
18501204,1400,,,,,,,76542,0,,,,,78,0
18501205,800,,,,,,,77090,0,,,,,69,0
18501205,1400,,,,,,,77267,0,,,,,92,0
18501206,800,,,,,,,77395,0,,,,,80,0
18501206,1400,,,,,,,77407,0,,,,,102,0
18501207,800,,,,,,,77448,0,,,,,21,0
18501207,1400,,,,,,,77287,0,,,,,71,0
18501208,800,,,,,,,77338,0,,,,,3,0
18501208,1400,,,,,,,77283,0,,,,,6,0
18501209,800,,,,,,,77163,0,,,,,-3,0
18501209,1400,,,,,,,77146,0,,,,,25,0
18501210,800,,,,,,,77061,0,,,,,13,0
18501210,1400,,,,,,,77004,0,,,,,16,0
18501211,800,,,,,,,76680,0,,,,,-13,0
18501211,1400,,,,,,,76488,0,,,,,-5,0
18501212,800,,,,,,,76359,0,,,,,5,0
18501212,1400,,,,,,,76191,0,,,,,27,0
18501213,800,,,,,,,76207,0,,,,,40,0
18501213,1400,,,,,,,75987,0,,,,,72,0
18501214,800,,,,,,,75765,0,,,,,70,0
18501214,1400,,,,,,,75700,0,,,,,94,0
18501215,800,,,,,,,75171,0,,,,,57,0
18501215,1400,,,,,,,74638,0,,,,,82,0
18501216,800,,,,,,,74204,0,,,,,66,0
18501216,1400,,,,,,,75270,0,,,,,83,0
18501217,800,,,,,,,75133,0,,,,,62,0
18501217,1400,,,,,,,75143,0,,,,,67,0
18501218,800,,,,,,,74363,0,,,,,34,0
