Slijk Ewijk(116_G) "51:53:10" NB "5:47:23" OL     8.5 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FFb  Windsnelheid  :   herstelde Bft schaal  (Bft). ;  FFb  Windspeed  :  restored Bft scale  (Bft).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 TD  Maximum Temp  :  Maximum temparatuur  (0.1 Celcius). ;  TD  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).
 U  Relatieve Vochtigheid  :  Hoeveelheid vocht in de lucht in % van verzadiging  (%). ;  U  Rel Humidity  :  Amount of moist in the air as % of saturation  (%).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).

DATUM,tijd,DD,Q_DD,FFb,Q_FFb,N,Q_N,TD,Q_TD,T,Q_T,U,Q_U,RD,Q_RD
18731201,2400,,,,,,,,,,,,,31,0
18731202,2400,,,,,10,0,,,,,,,,
18731203,2400,,,,,10,0,,,,,,,,
18731204,2400,,,,,10,0,,,,,,,,
18731205,2400,,,,,,,,,,,,,7,0
18731206,2400,,,,,8,0,,,,,,,,
18731208,2400,,,,,2,0,,,,,,,,
18731209,2400,,,,,0,0,,,,,,,,
18731210,2400,,,,,8,0,,,,,,,,
18731211,2400,,,,,8,0,,,,,,,,
18731212,2400,,,,,10,0,,,,,,,,
18731213,2400,,,,,10,0,,,,,,,,
18731214,2400,,,,,10,0,,,,,,,,
18731215,2400,,,,,10,0,,,,,,,,
18731216,2400,,,,,10,0,,,,,,,,
18731217,2400,,,,,,,,,,,,,10,0
18731218,2400,,,,,,,,,,,,,16,0
18731219,2400,,,,,,,,,,,,,11,0
18731220,2400,,,,,,,,,,,,,3,0
18731221,2400,,,,,8,0,,,,,,,,
18731222,2400,,,,,,,,,,,,,17,0
18731223,2400,,,,,,,,,,,,,12,0
18731224,2400,,,,,8,0,,,,,,,,
18731225,2400,,,,,5,0,,,,,,,,
18731226,2400,,,,,,,,,,,,,3,0
18731227,2400,,,,,,,,,,,,,138,0
18731228,2400,,,,,2,0,,,,,,,,
18731229,2400,,,,,8,0,,,,,,,,
18731230,2400,,,,,2,0,,,,,,,,
18731231,2400,,,,,8,0,,,,,,,,
18740101,2400,,,,,10,0,,,,,,,,
18740102,2400,,,,,,,,,,,,,42,0
18740103,2400,,,,,,,,,,,,,48,0
18740104,2400,,,,,,,,,,,,,35,0
18740105,2400,,,,,10,0,,,,,,,,
18740106,2400,,,,,2,0,,,,,,,,
18740107,2400,,,,,10,0,,,,,,,,
18740108,2400,,,,,2,0,,,,,,,,
18740109,2400,,,,,5,0,,,,,,,,
18740110,2400,,,,,2,0,,,,,,,,
18740111,2400,,,,,10,0,,,,,,,,
18740112,2400,,,,,,,,,,,,,4,0
18740113,2400,,,,,2,0,,,,,,,,
18740114,2400,,,,,10,0,,,,,,,,
18740115,2400,,,,,,,,,,,,,3,0
18740116,2400,,,,,,,,,,,,,7,0
18740117,2400,,,,,,,,,,,,,5,0
18740118,2400,,,,,,,,,,,,,45,0
18740119,2400,,,,,,,,,,,,,52,0
18740120,2400,,,,,,,,,,,,,12,0
18740121,2400,,,,,2,0,,,,,,,,
18740124,2400,,,,,,,,,,,,,69,0
18740125,2400,,,,,2,0,,,,,,,,
18740126,2400,,,,,2,0,,,,,,,,
18740127,2400,,,,,8,0,,,,,,,,
18740128,2400,,,,,8,0,,,,,,,,
18740129,2400,,,,,10,0,,,,,,,,
18740130,2400,,,,,10,0,,,,,,,,
18740131,2400,,,,,0,0,,,,,,,,
18740201,2400,,,,,10,0,,,,,,,,
18740202,2400,,,,,,,,,,,,,2,0
18740203,2400,,,,,,,,,,,,,2,0
18740204,2400,,,,,0,0,,,,,,,,
18740205,2400,,,,,10,0,,,,,,,,
18740208,2400,,,,,,,,,,,,,10,0
18740209,2400,,,,,,,,,,,,,12,0
18740210,2400,,,,,,,,,,,,,7,0
18740211,2400,,,,,0,0,,,,,,,,
18740212,2400,,,,,0,0,,,,,,,,
18740213,2400,,,,,0,0,,,,,,,,
18740214,2400,,,,,10,0,,,,,,,,
18740215,2400,,,,,8,0,,,,,,,,
18740216,2400,,,,,8,0,,,,,,,,
18740217,2400,,,,,,,,,,,,,11,0
18740218,2400,,,,,,,,,,,,,53,0
18740219,2400,,,,,0,0,,,,,,,,
18740220,2400,,,,,,,,,,,,,68,0
18740221,2400,,,,,0,0,,,,,,,,
18740222,2400,,,,,0,0,,,,,,,,
18740223,2400,,,,,0,0,,,,,,,,
18740224,2400,,,,,0,0,,,,,,,,
18740225,2400,,,,,0,0,,,,,,,,
18740226,2400,,,,,0,0,,,,,,,,
18740227,2400,,,,,10,0,,,,,,,,
18740228,2400,,,,,,,,,,,,,17,0
18740301,2400,,,,,,,,,,,,,33,0
18740302,2400,,,,,2,0,,,,,,,,
18740303,2400,,,,,0,0,,,,,,,,
18740304,2400,,,,,0,0,,,,,,,,
18740305,2400,,,,,5,0,,,,,,,,
18740306,2400,,,,,10,0,,,,,,,,
18740307,2400,,,,,10,0,,,,,,,,
18740308,2400,,,,,2,0,,,,,,,,
18740309,2400,,,,,2,0,,,,,,,,
18740310,2400,,,,,,,,,,,,,38,0
18740311,2400,,,,,8,0,,,,,,,,
18740312,2400,,,,,,,,,,,,,75,0
18740314,2400,,,,,,,,,,,,,14,0
18740315,2400,,,,,,,,,,,,,46,0
18740316,2400,,,,,10,0,,,,,,,,
18740317,2400,,,,,,,,,,,,,34,0
18740318,2400,,,,,,,,,,,,,115,0
18740319,2400,,,,,,,,,,,,,40,0
