Amsterdam (Felix Merites)(61_G)  NB "52° 22'" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 DP  Drukanomalie  :  Afwijking van normaal  (0.01 cm Hg). ;  DP  Pressure anomaly  :  description  (0.01 cm Hg).
 EE  Dampdruk  :  Druk van het deel waterdamp  (0.01 mmHg). ;  EE  Vapourpressure  :  Pressure of the watervapour  (0.01 mmHg).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).
 U  Relatieve Vochtigheid  :  Hoeveelheid vocht in de lucht in % van verzadiging  (%). ;  U  Rel Humidity  :  Amount of moist in the air as % of saturation  (%).

DATUM,tijd,DD,Q_DD,DP,Q_DP,EE,Q_EE,N,Q_N,RD,Q_RD,T,Q_T,U,Q_U
18501201,800,,,,,491,0,,,,,,,,
18501201,1200,,,,,509,0,,,,,,,,
18501201,1600,,,,,527,0,,,,,,,,
18501201,2400,,,,,,,,,0,0,19,0,,
18501202,800,,,,,562,0,,,,,,,,
18501202,1200,,,,,561,0,,,,,,,,
18501202,1600,,,,,542,0,,,,,,,,
18501202,2400,,,,,,,,,0,0,35,0,,
18501203,800,,,,,557,0,,,,,,,,
18501203,1200,,,,,663,0,,,,,,,,
18501203,1600,,,,,579,0,,,,,,,,
18501203,2400,,,,,,,,,0,0,29,0,,
18501204,800,,,,,538,0,,,,,,,,
18501204,1200,,,,,583,0,,,,,,,,
18501204,1600,,,,,637,0,,,,,,,,
18501204,2400,,,,,,,,,0,0,30,0,,
18501205,800,,,,,800,0,,,,,,,,
18501205,1200,,,,,812,0,,,,,,,,
18501205,1600,,,,,707,0,,,,,,,,
18501205,2400,,,,,,,,,0,0,78,0,,
18501206,800,,,,,812,0,,,,,,,,
18501206,1200,,,,,812,0,,,,,,,,
18501206,1600,,,,,846,0,,,,,,,,
18501206,2400,,,,,,,,,0,0,84,0,,
18501207,800,,,,,708,0,,,,,,,,
18501207,1200,,,,,692,0,,,,,,,,
18501207,1600,,,,,704,0,,,,,,,,
18501207,2400,,,,,,,,,0,0,71,0,,
18501208,800,,,,,483,0,,,,,,,,
18501208,1200,,,,,521,0,,,,,,,,
18501208,1600,,,,,521,0,,,,,,,,
18501208,2400,,,,,,,,,0,0,6,0,,
18501209,800,,,,,557,0,,,,,,,,
18501209,1200,,,,,661,0,,,,,,,,
18501209,1600,,,,,661,0,,,,,,,,
18501209,2400,,,,,,,,,0,0,41,0,,
18501210,800,,,,,571,0,,,,,,,,
18501210,1200,,,,,571,0,,,,,,,,
18501210,1600,,,,,583,0,,,,,,,,
18501210,2400,,,,,,,,,0,0,31,0,,
