Lochem (Huize Boekhorst)(64_G) "52:09:00" NB "6:21:00" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 Phg  Druk  :  Totale luchtdruk  (0.01 mm Hg). ;  Phg  Pressuse  :  Total air pressure  (0.01 mm Hg).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,DD,Q_DD,N,Q_N,Phg,Q_Phg,RD,Q_RD,T,Q_T
18661201,800,O,0,,,76100,0,,,-20,0
18661201,2400,,,,,,,0,0,,
18661202,800,ZW,0,,,75900,0,,,-10,0
18661202,2400,,,,,,,0,0,,
18661203,800,Z,0,,,76000,0,,,15,0
18661203,2400,,,,,,,0,0,,
18661204,800,ZZW,0,,,75700,0,,,95,0
18661204,2400,,,,,,,145,0,,
18661205,800,ZZW,0,,,75600,0,,,110,0
18661205,2400,,,,,,,55,0,,
18661206,800,ZZW,0,,,76000,0,,,90,0
18661206,2400,,,,,,,175,0,,
18661207,800,ZW,0,,,75100,0,,,105,0
18661207,2400,,,,,,,40,0,,
18661208,800,W,0,,,75200,0,,,65,0
18661208,2400,,,,,,,115,0,,
18661209,800,ZW,0,,,77400,0,,,0,0
18661209,2400,,,,,,,0,0,,
18661210,800,NW,0,,,75400,0,,,70,0
18661210,2400,,,,,,,56,0,,
18661211,800,W,0,,,76600,0,,,30,0
18661211,2400,,,,,,,16,0,,
18661212,800,Z,0,,,76300,0,,,30,0
18661212,2400,,,,,,,0,0,,
18661213,800,ZW,0,,,75000,0,,,90,0
18661213,2400,,,,,,,78,0,,
18661214,800,ZW,0,,,76500,0,,,45,0
18661214,2400,,,,,,,130,0,,
18661215,800,Z,0,,,75100,0,,,55,0
18661215,2400,,,,,,,20,0,,
18661216,800,W,0,,,74300,0,,,65,0
18661216,2400,,,,,,,85,0,,
18661217,800,W,0,,,76500,0,,,22,0
18661217,2400,,,,,,,5,0,,
18661218,800,ZW,0,,,76700,0,,,80,0
18661218,2400,,,,,,,0,0,,
18661219,800,ZW,0,,,76600,0,,,55,0
18661219,2400,,,,,,,0,0,,
18661220,800,ZW,0,,,77400,0,,,10,0
18661220,2400,,,,,,,0,0,,
18661221,800,ZW,0,,,77100,0,,,-15,0
18661221,2400,,,,,,,0,0,,
18661222,800,ZW,0,,,77700,0,,,0,0
18661222,2400,,,,,,,0,0,,
18661223,800,Z,0,,,77200,0,,,-10,0
18661223,2400,,,,,,,0,0,,
18661224,800,ZZW,0,,,77000,0,,,10,0
18661224,2400,,,,,,,0,0,,
18661225,800,ZZW,0,,,76800,0,,,0,0
18661225,2400,,,,,,,0,0,,
18661226,800,Z,0,,,76500,0,,,35,0
18661226,2400,,,,,,,0,0,,
18661227,800,ZZW,0,,,74600,0,,,65,0
18661227,2400,,,,,,,97,0,,
18661228,800,ZW,0,,,76300,0,,,65,0
18661228,2400,,,,,,,60,0,,
18661229,800,W,0,,,75200,0,,,80,0
18661229,2400,,,,,,,40,0,,
18661230,800,ZW,0,,,74300,0,,,30,0
18661230,2400,,,,,,,65,0,,
18661231,800,ZW,0,,,74600,0,,,10,0
18661231,2400,,,,,,,10,0,,
18670101,800,N,0,,,74150,0,,,5,0
18670101,2400,,,,,,,0,0,,
18670102,800,W,0,,,74750,0,,,-1,0
18670102,2400,,,,,,,0,0,,
18670103,800,W,0,,,74750,0,,,-6,0
18670103,2400,,,,,,,0,0,,
18670104,800,ZW,0,,,75600,0,,,10,0
18670104,2400,,,,,,,30,0,,
18670105,800,ZW,0,,,76500,0,,,-17,0
18670105,2400,,,,,,,0,0,,
18670106,800,ZO,0,,,75600,0,,,-25,0
18670106,2400,,,,,,,0,0,,
18670107,800,Z,0,,,75100,0,,,56,0
18670107,2400,,,,,,,20,0,,
18670108,800,ZZO,0,,,75900,0,,,81,0
18670108,2400,,,,,,,45,0,,
18670109,800,Z,0,,,74200,0,,,39,0
18670109,2400,,,,,,,30,0,,
18670110,800,Z,0,,,73400,0,,,50,0
18670110,2400,,,,,,,25,0,,
18670111,800,W,0,,,74300,0,,,39,0
18670111,2400,,,,,,,80,0,,
18670112,800,NW,0,,,75000,0,,,-23,0
18670112,2400,,,,,,,0,0,,
18670113,800,ZW,0,,,74700,0,,,-22,0
18670113,2400,,,,,,,15,0,,
18670114,800,Z,0,,,75600,0,,,-23,0
18670114,2400,,,,,,,0,0,,
18670115,800,NO,0,,,75700,0,,,-61,0
18670115,2400,,,,,,,0,0,,
18670116,800,NO,0,,,74800,0,,,-33,0
18670116,2400,,,,,,,0,0,,
18670117,800,O,0,,,74100,0,,,-11,0
18670117,2400,,,,,,,55,0,,
18670118,800,W,0,,,74700,0,,,-33,0
18670118,2400,,,,,,,50,0,,
18670119,800,NO,0,,,75700,0,,,-55,0
18670119,2400,,,,,,,0,0,,
18670120,800,O,0,,,76300,0,,,-45,0
18670120,2400,,,,,,,0,0,,
18670121,800,NO,0,,,76000,0,,,-70,0
