Delfzijl(102_G) "53:20:00" NB "6:55:0" OL     4.0 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 DP  Drukanomalie  :  Afwijking van normaal  (0.01 cm Hg). ;  DP  Pressure anomaly  :  description  (0.01 cm Hg).
 FFkts  Windsnelheid  :  Volgens diverse schalen vastgesteld  (Knopen). ;  FFkts  Windspeed  :  estimated from a variety of scales  (Knopen).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 Phg  Druk  :  Totale luchtdruk  (0.01 mm Hg). ;  Phg  Pressuse  :  Total air pressure  (0.01 mm Hg).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,DD,Q_DD,DP,Q_DP,FFkts,Q_FFkts,N,Q_N,Phg,Q_Phg,RD,Q_RD,T,Q_T
18860101,800,,,,,,,,,75990,0,,,42,0
18860101,1400,,,,,16,0,,,,,,,,
18860101,1900,ZW,0,,,16,0,,,75580,0,,,48,0
18860101,2400,,,,,,,,,,,70,0,,
18860102,800,W,0,,,24,0,,,75500,0,,,46,0
18860102,1400,,,,,24,0,,,,,,,,
18860102,1900,W,0,,,12,0,,,75700,0,,,52,0
18860102,2400,,,,,,,,,,,50,0,,
18860103,800,W,0,,,8,0,,,76240,0,,,18,0
18860103,1400,,,,,9,0,,,,,,,,
18860103,1900,ZW,0,,,20,0,,,75740,0,,,52,0
18860103,2400,,,,,,,2,0,,,,,,
18860104,800,ZW,0,,,23,0,,,75260,0,,,64,0
18860104,1400,,,,,15,0,,,,,,,,
18860104,1900,WZW,0,,,11,0,,,75110,0,,,38,0
18860104,2400,,,,,,,,,,,180,0,,
18860105,800,WZW,0,,,16,0,,,74670,0,,,18,0
18860105,1400,,,,,24,0,,,,,,,,
18860105,1900,W,0,,,21,0,,,74600,0,,,24,0
18860105,2400,,,,,,,,,,,30,0,,
18860106,800,W,0,,,16,0,,,75190,0,,,-12,0
18860106,1400,,,,,4,0,,,,,,,,
18860106,1900,NW,0,,,11,0,,,75510,0,,,4,0
18860106,2400,,,,,,,,,,,40,0,,
18860107,800,WNW,0,,,5,0,,,76230,0,,,-50,0
18860107,1400,,,,,4,0,,,,,,,,
18860107,1900,W,0,,,4,0,,,76340,0,,,-40,0
18860107,2400,,,,,,,2,0,,,,,,
18860108,800,Z,0,,,13,0,,,75420,0,,,-60,0
18860108,1400,,,,,15,0,,,,,,,,
18860108,1900,ZW,0,,,8,0,,,74580,0,,,-32,0
18860108,2400,,,,,,,8,0,,,,,,
18860109,800,W,0,,,12,0,,,74480,0,,,4,0
18860109,1400,,,,,28,0,,,,,,,,
18860109,1900,N,0,,,32,0,,,75510,0,,,-6,0
18860109,2400,,,,,,,,,,,50,0,,
18860110,800,NNO,0,,,8,0,,,76140,0,,,-20,0
18860110,1400,,,,,4,0,,,,,,,,
18860110,1900,NO,0,,,1,0,,,76270,0,,,-20,0
18860110,2400,,,,,,,8,0,,,,,,
18860111,800,ONO,0,,,6,0,,,76120,0,,,-38,0
18860111,1400,,,,,8,0,,,,,,,,
18860111,1900,ZW,0,,,11,0,,,75900,0,,,-48,0
18860111,2400,,,,,,,8,0,,,,,,
18860112,800,ZO,0,,,9,0,,,75520,0,,,8,0
18860112,1400,,,,,8,0,,,,,,,,
18860112,1900,NO,0,,,4,0,,,75890,0,,,-52,0
18860112,2400,,,,,,,8,0,,,,,,
18860113,800,ZW,0,,,12,0,,,74880,0,,,-6,0
18860113,1400,,,,,20,0,,,,,,,,
18860113,1900,ZW,0,,,16,0,,,73900,0,,,0,0
18860113,2400,,,,,,,,,,,30,0,,
18860114,800,O,0,,,12,0,,,74920,0,,,-6,0
18860114,1400,,,,,4,0,,,,,,,,
18860114,1900,N,0,,,1,0,,,75780,0,,,-18,0
18860114,2400,,,,,,,10,0,,,,,,
18860115,800,ZW,0,,,12,0,,,75610,0,,,6,0
18860115,1400,,,,,19,0,,,,,,,,
18860115,1900,ZW,0,,,16,0,,,75140,0,,,16,0
18860115,2400,,,,,,,8,0,,,,,,
18860116,800,WZW,0,,,9,0,,,74940,0,,,14,0
18860116,1400,,,,,13,0,,,,,,,,
18860116,1900,W,0,,,8,0,,,75400,0,,,2,0
18860116,2400,,,,,,,,,,,60,0,,
18860117,800,ZW,0,,,20,0,,,74830,0,,,-2,0
18860117,1400,,,,,12,0,,,,,,,,
18860117,1900,ZW,0,,,12,0,,,74880,0,,,4,0
18860117,2400,,,,,,,,,,,50,0,,
18860118,800,Z,0,,,21,0,,,74150,0,,,16,0
18860118,1400,,,,,23,0,,,,,,,,
18860118,1900,Z,0,,,7,0,,,73890,0,,,14,0
18860118,2400,,,,,,,8,0,,,,,,
18860119,800,W,0,,,8,0,,,74280,0,,,0,0
18860119,1400,,,,,4,0,,,,,,,,
18860119,1900,WZW,0,,,3,0,,,74850,0,,,-28,0
18860119,2400,,,,,,,,,,,30,0,,
18860120,800,NO,0,,,12,0,,,74940,0,,,2,0
18860120,1400,,,,,20,0,,,,,,,,
18860120,1900,ONO,0,,,18,0,,,74700,0,,,10,0
18860120,2400,,,,,,,8,0,,,,,,
18860121,800,OZO,0,,,4,0,,,74740,0,,,-2,0
18860121,1400,,,,,4,0,,,,,,,,
18860121,1900,WZW,0,,,4,0,,,75170,0,,,-14,0
18860121,2400,,,,,,,,,,,30,0,,
18860122,800,O,0,,,17,0,,,75330,0,,,-42,0
18860122,1400,,,,,3,0,,,,,,,,
18860122,1900,OZO,0,,,8,0,,,74940,0,,,-6,0
18860122,2400,,,,,,,,,,,20,0,,
18860123,800,OZO,0,,,9,0,,,74880,0,,,-42,0
18860123,1400,,,,,12,0,,,,,,,,
18860123,1900,ZZO,0,,,15,0,,,75370,0,,,-36,0
18860123,2400,,,,,,,,,,,40,0,,
18860124,800,ZO,0,,,9,0,,,75540,0,,,-96,0
18860124,1400,,,,,4,0,,,,,,,,
18860124,1900,ZZO,0,,,17,0,,,75530,0,,,-50,0
18860124,2400,,,,,,,8,0,,,,,,
18860125,800,OZO,0,,,21,0,,,75250,0,,,-16,0
18860125,1400,,,,,16,0,,,,,,,,
18860125,1900,OZO,0,,,15,0,,,75200,0,,,0,0
18860125,2400,,,,,,,10,0,,,,,,
18860126,800,OZO,0,,,8,0,,,75210,0,,,-2,0
18860126,1400,,,,,8,0,,,,,,,,
18860126,1900,ZO,0,,,4,0,,,75720,0,,,-4,0
18860127,800,ZO,0,,,4,0,,,75880,0,,,-4,0
18860127,1400,,,,,8,0,,,,,,,,
