SIBIU,,08:00:00,,,,,,,,,,,
,,,,,,,,,,,,,
1878,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,,,760,755.7,1
2,,,,,,,,,,,765,750.7,2
3,,,,,,,,,,,,754.9,3
4,,,,,,,,,,,,754,4
5,,,,,,,,,,,,755.6,5
6,,,,,,,,,,,,756.1,6
7,,,,,,,,,,,,752.9,7
8,,,,,,,,,,,,750.8,8
9,,,,,,,,,,,,748.2,9
10,,,,,,,,,,,760.5,748.8,10
11,,,,,,,,,,,,759.4,11
12,,,,,,,,,,,766.5,749.3,12
13,,,,,,,,,,,,760.6,13
14,,,,,,,,,,767.5,762.4,753.8,14
15,,,,,,,,,,765.5,,760.3,15
16,,,,,,,,,,762.4,,755.9,16
17,,,,,,,,,,764.3,765.3,753.3,17
18,,,,,,,,,,765.4,760.1,741.7,18
19,,,,,,,,,,769,764.9,757.4,19
20,,,,,,,,,,760.2,770.4,755.5,20
21,,,,,,,,,,761.8,767.2,752,21
22,,,,,,,,,,760.2,,754.2,22
23,,,,,,,,,,754.7,762.8,764.4,23
24,,,,,,,,,,760,767.6,765,24
25,,,,,,,,,,764.1,769,770.4,25
26,,,,,,,,,,760.9,767.5,776.3,26
27,,,,,,,,,,760.1,765,769,27
28,,,,,,,,,,759,763.6,762.9,28
29,,,,,,,,,,,754.5,764.2,29
30,,,,,,,,,,756.5,759.5,769.1,30
31,,,,,,,,,,758.4,,768.9,31
,,,,,,,,,,,,,
1879,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,763.6,768.2,756.6,767.8,760.1,762.1,761.1,763.4,762.9,765.6,766.3,748.8,1
2,762.1,764.9,757.9,764.2,760.8,762.1,757.7,760.3,765.4,764.7,761.7,747.2,2
3,757.5,766.4,759.3,756.1,761.4,760.6,755.1,,768.7,764.3,755.3,763.1,3
4,758,760.2,760.5,753.9,763.3,760.5,758.2,764.6,768.2,767.5,759.4,764.2,4
5,754.9,761.9,764.6,756.2,763.4,761.7,754.5,763.8,763.3,767,765.9,,5
6,761.2,765.5,768.7,758,762.7,759.7,751.6,761.1,760.2,766.7,767.4,752,6
