"DWR French Records",,,,,,,,,,,,,
,,,,,,,,,,,,,
MOGADOR,,H=16.6m,,07:00:00,,,,,,,,,
,,,,,,,,,,,,,
1873,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,,762,767,768,1
2,,,,,,,,,,761,764,766,2
3,,,,,,,,,,764,764,765,3
4,,,,,,,,,,764,765,766,4
5,,,,,,,,,,762,766,768,5
6,,,,,,,,,,760,765,767,6
7,,,,,,,,,,762,765,767,7
8,,,,,,,,,,764,765,768,8
9,,,,,,,,,,765,763,768,9
10,,,,,,,,,,763,759,768,10
11,,,,,,,,,,761,757,769,11
12,,,,,,,,,,762,752,768,12
13,,,,,,,,,,763,748,770,13
14,,,,,,,,,,762,756,771,14
15,,,,,,,,,,763,760,771,15
16,,,,,,,,,,761,755,769,16
17,,,,,,,,,,763,753,771,17
18,,,,,,,,,,764,756,772,18
19,,,,,,,,,,765,760,769,19
20,,,,,,,,,,764,759,768,20
21,,,,,,,,,,764,762,768,21
22,,,,,,,,,,764,766,768,22
23,,,,,,,,,,763,765,767,23
24,,,,,,,,,,764,764,764,24
25,,,,,,,,,,763,766,764,25
26,,,,,,,,,,762,769,769,26
27,,,,,,,,,,764,771,768,27
28,,,,,,,,,,762,769,766,28
29,,,,,,,,,,762,767,764,29
30,,,,,,,,,,761,768,761,30
31,,,,,,,,,,763,,769,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1874,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,768,765,770,769,758,765,766,760,762,765,,,1
2,766,766,769,768,762,766,766,758,764,766,,,2
3,768,767,766,767,762,766,764,761,763,765,,,3
4,771,768,763,767,763,765,762,763,762,765,,,4
5,770,768,764,768,763,764,762,760,762,764,,,5
6,771,769,765,767,763,765,761,763,763,765,,,6
7,768,77,764,768,764,764,760,761,766,765,,,7
8,765,772,765,766,766,764,761,764,765,764,,,8
9,757,771,764,765,767,767,763,764,764,762,,,9
10,755,771,765,765,765,767,765,762,762,761,,,10
11,762,770,764,765,760,765,762,762,764,762,,,11
12,763,770,764,763,761,763,761,760,764,766,,,12
13,762,770,764,765,761,763,762,760,764,764,,,13
14,762,770,765,766,759,764,764,762,761,764,,,14
15,764,768,764,761,760,764,764,762,761,762,,,15
16,766,766,762,757,762,763,764,760,763,761,,,16
17,770,769,759,758,762,763,762,760,764,764,,,17
18,771,770,763,758,760,767,763,761,764,766,,,18
19,769,769,765,761,758,767,764,761,763,765,,,19
20,769,766,764,762,760,766,763,760,762,764,,,20
21,768,764,763,762,760,765,761,763,763,763,,,21
22,768,762,763,764,761,764,762,763,763,766,,,22
23,770,762,765,765,762,766,762,765,763,765,,,23
24,770,759,763,763,762,767,764,764,766,763,,,24
25,767,763,763,763,764,766,762,764,768,765,,,25
26,762,763,766,763,766,764,760,762,766,765,,,26
27,763,767,769,761,764,761,761,762,766,765,,,27
28,763,769,768,763,763,761,763,764,766,763,,,28
29,762,,768,765,765,765,762,765,765,761,,,29
30,762,,767,762,765,766,760,765,764,761,,,30
31,767,,767,,765,,761,762,,760,,,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1875,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,,,,,1
2,,,,,,,,,,,,,2
3,,,,,,,,,,,,,3
4,,,,,,,,,,,,,4
5,,,,,,,,,,,,,5
6,,,,,,,,,,,,,6
7,,,,,,,,,,,,,7
8,,,,,,,,,,,,,8
9,,,,,,,,,,,,,9
10,,,,,,,,,,,,,10
11,,,,,,,,,,,,,11
12,,,,,,,,,,,,,12
13,,,,,,,,,,,,,13
14,,,,,,,,,,,,,14
15,,,,,,,,,,,,,15
16,,,,,,,,,,,,,16
17,,,,,,,,,,,,,17
18,,,,,,,,,,,,,18
19,,,,,,,,,,,,,19
20,,,,,,,,,,,,,20
21,,,,,,,,,,,,,21
22,,,,,,,,,,,,,22
23,,,,,,,,,,,,,23
24,,,,,,,,,,,,,24
25,,,,,,,,,,,,,25
26,,,,,,,,,,,,,26
27,,,,,,,,,,,,,27
28,,,,,,,,,,,,,28
29,,,,,,,,,,,,,29
30,,,,,,,,,,,,,30
31,,,,,,,,,,,,,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"MISSING DATA",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1879,January,February,March,April,May,June,July,August,September,October,November,December,
1879,,,,,,,,,,,,,
1,771.2,767.5,762.6,768.3,762.4,763.4,763.8,758.7,762.5,763.5,759.3,762.2,1
2,769.6,767.6,761.6,767.3,760,764.2,763.7,760.6,763.7,763.1,760.5,759.7,2
3,771.4,767.2,759.6,766.8,759.3,763.5,762.2,761.7,764.8,761.3,759.7,756.4,3
4,771.9,768.4,764.4,764.3,757.2,763.6,762.7,763.5,765.6,763.5,763.3,760.5,4
5,771.2,769.6,766.4,763.4,761.2,763.7,764.4,762.8,763.7,763.2,765.6,764.3,5
6,772.2,769.6,768.4,764.8,761.5,765.3,764.7,761.3,762,763.4,767.6,766.4,6
7,771.4,769.4,767.8,763.5,761.2,764.7,762.4,760.8,762.6,762.8,765.7,766.2,7
8,768.4,768.8,767.8,764.4,759.2,765.5,760.6,761.7,763.7,763.4,765.5,766.4,8
9,766.4,767.2,767.6,764.1,764.2,762.3,760.4,763.1,764.6,764.8,765.6,765.7,9
10,765.6,766.5,767.6,762.5,765.6,764.7,761.7,761.7,764.8,764.1,766.5,762.2,10
11,768.2,768.4,768.8,764.5,766.8,765.8,760.8,760.5,761.3,763.9,765.2,764.4,11
12,768.6,768.6,767.4,764.3,764.6,766.6,760.6,760.7,763.8,764.7,764.4,766.7,12
13,768.4,766.6,767.3,760.8,764.7,765.6,760.6,759.7,765.3,766.5,766.2,770.1,13
14,768.2,768.2,763.2,760.2,763.7,762.4,761.8,760.7,765.7,765.3,766.2,767.4,14
15,768.6,768.1,763.6,760.3,765.6,763.6,763.4,759.6,765.6,760.7,767.3,764.3,15
16,769.1,769.6,761.6,767.3,765.4,763.4,760.7,760.2,764.5,759.8,764.2,765.6,16
17,767.6,768.2,758.6,767.5,766.3,762.5,759.5,759.8,762.6,762.6,766.8,766.5,17
18,767.5,768.2,756.6,765.5,765.5,761.3,759.9,758.7,761.5,763.1,764.2,764.7,18
19,766.6,767.6,759.6,767.1,763.2,762.3,760.6,762.6,764.8,766.6,763.6,764.5,19
20,766.4,765.1,760.4,765.2,762.8,764.3,759.6,762.7,766.4,767.3,758.7,763.1,20
21,766.6,765.2,759.4,765.3,759.2,763.3,759.6,761.7,766.4,766.4,756.2,764.5,21
22,751.4,764.8,761.4,763.3,761.3,761.3,759.4,761.7,765.3,765.4,758.6,767.6,22
23,755.6,761.6,764.5,764.2,764.3,760.2,760.7,762.9,763.7,763.6,760.1,769.4,23
24,765.4,760.6,763.2,764.3,763.9,762.2,761.7,763.8,763,762.4,761.4,770.6,24
25,764.6,765.4,764.7,763.2,763.2,764.5,761.3,762.6,767.1,763.4,760.4,769.6,25
26,764.6,764.6,764.7,765.3,763.4,762.3,762.8,761.7,766.6,763.4,756.2,769.4,26
27,763.9,764.2,767.4,765.3,765.3,763.8,761.7,761.8,766,763.3,754.2,772.8,27
28,764.6,763.6,768.7,765.2,760.5,763.8,761.6,762.3,763.2,761.7,754.7,772.8,28
29,766,,768.2,763.5,762.2,764.7,761.6,763.7,763.2,762.6,762.3,773.6,29
30,765.6,,764.2,762.3,762.4,765.4,762.6,761.6,763.4,762.4,763.4,772.6,30
31,767.5,,765.6,,764.7,,761.7,760.8,,760.6,,772.5,31
