DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      ONW = onweer / thunderstorm
      BLI = bliksem / lightning     ORG = stormig / stormy
      BUY = bui / shower            ORM = storm / storm
      BYN = bijna / almost          REG = regen / rain
      DAM = dampig / hazy           RET = regenachtig / rainy
      DAU = dauw / dew              RYP = rijp / rime
      DON = donder / thunder        SEB = stil en betrokken / calm and cloudy
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STI = stil / calm
      ENN = en / and                STO = stofregen / drizzle
      GEH = geheel / whole          VEE = veel / much
      HAG = hagel / hail            VOG = vochtig / moist
      HEL = helder / clear          VOR = Vochtig / moist
      MEE = meest / mostly          WAT = wat / somewhat
      MIS = mist / fog              WEE = weerlicht / heat lightning
      MIG = mistig / foggy          WIG = Winderig / windy
      MOT = motregen / drizzle      YSS = ijs / ice
      NAT = natte / wet             YZL = ijzelig / glazed frost        
      NOO = noorderlicht / northern lights    ZEE = zeer / very         
      OMT = omtrent / about         ZEV = zeevlam / seafog
      MOG = mottig / thick          ZWA = zwaar / heavy  
                  
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 44,18210101,1,29080,  110,    O,     ,BETDAMSTI           ,     ,
 44,18210101,2,29073,  192,   ZO,     ,BETDAMSTI           ,     ,
 44,18210101,3,29080,  200,    Z,     ,BETDAMSTI           ,     ,
 44,18210102,1,29072,  182,    Z,     ,BEW                 ,     ,
 44,18210102,2,29071,  220,  ZZO,     ,BEW                 ,     ,
 44,18210102,3,29062,  160,  OZO,     ,BEWDAM              ,     ,
 44,18210103,1,29050,  170,    O,     ,BET                 ,     ,
 44,18210103,2,29042,  222,    O,     ,BET                 ,     ,
 44,18210103,3,29041,  202,    O,     ,WIGSNE              ,     ,
 44,18210104,1,29030,  212,    O,     ,BET                 ,     ,
 44,18210104,2,29021,  232,    O,     ,BETWIG              ,     ,
 44,18210104,3,29030,  230,    O,     ,BET                 ,     ,
 44,18210105,1,29031,  250,    O,     ,BET                 ,     ,
 44,18210105,2,29032,  280,    O,     ,BET                 ,     ,
 44,18210105,3,29031,  260,    O,     ,SNEYZLWIG           ,     ,
 44,18210106,1,29021,  350,  OZO,     ,BET                 ,     ,
 44,18210106,2,29021,  382,  ZZO,     ,BEWDAM              ,     ,
 44,18210106,3,29023,  350,  ZZO,     ,OMTHELMISREG        ,     ,
 44,18210107,1,29023,  352,    O,     ,BETMIS              ,     ,
 44,18210107,2,29023,  370,   ZO,     ,BETMIS              ,     ,
 44,18210107,3,29033,  360,   ZO,     ,BETREG              ,     ,
 44,18210108,1,29032,  342,   ZO,     ,BEW                 ,     ,
 44,18210108,2,29031,  390,    O,     ,OMTHELDAM           ,     ,
 44,18210108,3,29031,  372,   ZO,     ,BETREG              ,     ,
 44,18210109,1,29020,  360,    O,     ,BETMISREG           ,     ,
 44,18210109,2,29001,  370,    O,     ,BETMISREG           ,     ,
 44,18210109,3,29000,  380,   ZW,     ,BETMISREG           ,     ,
 44,18210110,1,29010,  352,  WZW,     ,BETMISREG           ,     ,
 44,18210110,2,29011,  392,  WZW,     ,BEW                 ,     ,
 44,18210110,3,29020,  392,   ZW,     ,OMTBETREG           ,     ,
 44,18210111,1,29010,  360,   NO,     ,BETDAM              ,     ,
 44,18210111,2,29013,  380,   NO,     ,BETREG              ,     ,
 44,18210111,3,29031,  340,   NO,     ,BETSNE              ,     ,
 44,18210112,1,29030,  350,    Z,     ,BETMISREG           ,     ,
 44,18210112,2,29032,  430,  ZZW,     ,BETMISREG           ,     ,
 44,18210112,3,29040,  460,   ZW,     ,BETWIG              ,     ,
 44,18210113,1,29040,  422,  WZW,     ,OMTBETWIG           ,     ,
 44,18210113,2,29043,  440,    W,     ,OMTBETWIG           ,     ,
 44,18210113,3,29042,  420,  WZW,     ,OMTBETWIGREG        ,     ,
 44,18210114,1,29021,  390,  NNO,     ,BETREG              ,     ,
 44,18210114,2,29042,  400,  NNO,     ,BETBEW              ,     ,
 44,18210114,3,29083,  310,  NNO,     ,BEWHEL              ,     ,
 44,18210115,1,30010,  320,    Z,     ,OMTBETDAM           ,     ,
 44,18210115,2,30011,  390,    Z,     ,OMTBET              ,     ,
