DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      ONW = onweer / thunderstorm
      BLI = bliksem / lightning     ORG = stormig / stormy
      BUY = bui / shower            ORM = storm / storm
      BYN = bijna / almost          REG = regen / rain
      DAM = dampig / hazy           RET = regenachtig / rainy
      DAU = dauw / dew              RYP = rijp / rime
      DON = donder / thunder        SEB = stil en betrokken / calm and cloudy
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STI = stil / calm
      ENN = en / and                STO = stofregen / drizzle
      GEH = geheel / whole          VEE = veel / much
      HAG = hagel / hail            VOG = vochtig / moist
      HEL = helder / clear          VOR = Vochtig / moist
      MEE = meest / mostly          WAT = wat / somewhat
      MIS = mist / fog              WEE = weerlicht / heat lightning
      MIG = mistig / foggy          WIG = Winderig / windy
      MOT = motregen / drizzle      YSS = ijs / ice
      NAT = natte / wet             YZL = ijzelig / glazed frost        
      NOO = noorderlicht / northern lights    ZEE = zeer / very         
      OMT = omtrent / about         ZEV = zeevlam / seafog
      MOG = mottig / thick          ZWA = zwaar / heavy  
                  
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 44,18010101,1,30002,  342,  ZZO,     ,BET                 ,     ,
 44,18010101,2,29082,  370,    Z,     ,BET                 ,     ,
 44,18010101,3,29080,  420,  WZW,     ,REGWIG              ,     ,
 44,18010102,1,30000,  420,  WZW,     ,OMTHELWIG           ,     ,
 44,18010102,2,30001,  460,  WZW,     ,OMTHELWIG           ,     ,
 44,18010102,3,30002,  402,   ZW,     ,OMTHELWIG           ,     ,
 44,18010103,1,29091,  470,  ZZW,     ,WIGBET              ,     ,
 44,18010103,2,29083,  510,   ZW,     ,REG                 ,     ,
 44,18010103,3,29091,  422,  ZZW,     ,BEW                 ,     ,
 44,18010104,1,29072,  452,  ZZW,     ,BET                 ,     ,
 44,18010104,2,29073,  460,  WZW,     ,OMTHEL              ,     ,
 44,18010104,3,29072,  420,  WZW,     ,ORG                 ,     ,
 44,18010105,1,29060,  480,  ZZW,     ,ZWAORM              ,     ,
 44,18010105,2,29053,  520,   ZW,     ,BET                 ,     ,
 44,18010105,3,29071,  452,   ZW,     ,REG                 ,     ,
 44,18010106,1,29082,  402,  WZW,     ,WIG                 ,     ,
 44,18010106,2,29093,  442,    W,     ,BEW                 ,     ,
 44,18010106,3,30012,  402,    W,     ,OMTHEL              ,     ,
 44,18010107,1,30022,  380,  WZW,     ,OMTHEL              ,     ,
 44,18010107,2,30022,  442,   ZW,     ,OMTHEL              ,     ,
 44,18010107,3,30030,  350,    Z,     ,OMTHEL              ,     ,
 44,18010108,1,30022,  350,    O,     ,NEV                 ,     ,
 44,18010108,2,30021,  410,    O,     ,NEV                 ,     ,
 44,18010108,3,30020,  340,   NO,     ,NEV                 ,     ,
 44,18010109,1,30021,  310,    O,     ,HEL                 ,     ,
 44,18010109,2,30021,  382,  OZO,     ,HEL                 ,     ,
 44,18010109,3,30022,  320,  OZO,     ,HEL                 ,     ,
 44,18010110,1,30022,  310,   ZO,     ,HEL                 ,     ,
 44,18010110,2,30022,  352,  ZZO,     ,MIS                 ,     ,
 44,18010110,3,30022,  322,   ZW,     ,BET                 ,     ,
 44,18010111,1,30030,  330,    Z,     ,BETMIS              ,     ,
 44,18010111,2,30023,  372,    Z,     ,BETMIS              ,     ,
 44,18010111,3,30030,  310,   ZO,     ,BETMIS              ,     ,
 44,18010112,1,30021,  310,  OZO,     ,BETMIS              ,     ,
 44,18010112,2,30020,  332,  OZO,     ,BETMIS              ,     ,
 44,18010112,3,30013,  312,  OZO,     ,BETMIS              ,     ,
 44,18010113,1,30010,  310,   ZO,     ,BETMIS              ,     ,
 44,18010113,2,30001,  330,  ZZO,     ,BETMIS              ,     ,
 44,18010113,3,30000,  312,   ZO,     ,BEW                 ,     ,
 44,18010114,1,29092,  340,    Z,     ,MISBET              ,     ,
 44,18010114,2,29092,  380,    Z,     ,MISBET              ,     ,
 44,18010114,3,29092,  390,    Z,     ,MISBET              ,     ,
 44,18010115,1,29092,  400,    Z,     ,MISBET              ,     ,
 44,18010115,2,29091,  422,    Z,     ,MISBET              ,     ,
 44,18010115,3,29090,  380,    Z,     ,MISBET              ,     ,
