DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      NOO = noorderlicht / northern lights
      BLI = bliksem / lightning     OMT = omtrent / about
      BUY = bui / shower            MOG = mottig / thick
      BYN = bijna / almost          ONW = onweer / thunderstorm
      DAM = dampig / hazy           REG = regen / rain
      DAU = dauw / dew              RET = regenachtig / rainy
      DON = donder / thunder        RYP = rijp / rime
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STO = stofregen / drizzle
      ENN = en / and                VEE = veel / much
      GEH = geheel / whole          VOG = vochtig / moist
      HAG = hagel / hail            WAT = wat / somewhat
      HEL = helder / clear          WEE = weerlicht / heat lightning         
      MEE = meest / mostly          YSS = ijs / ice
      MIS = mist / fog              YZL = ijzelig / glazed frost
      MIG = mistig / foggy          ZEE = zeer / very
      MOT = motregen / drizzle      ZEV = zeevlam / seafog
      NAT = natte / wet             ZWA = zwaar / heavy      
      NEV = nevel / hazy                              
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 53,17790101,1,28113,  380,  NNW,  160,REGDONSNE           ,     ,
 53,17790101,2,29051,  372,  NTO,  100,DOKZEEBET           ,     ,
 53,17790101,3,29100,  340,  NTO,   30,HELOMTHELSNE        ,     ,
 53,17790102,1,30010,  310,  NNO,   10,OMTHELNEV           ,     ,
 53,17790102,2,30030,  350,  ONO,   30,ZEEBET              ,     ,
 53,17790102,3,30052,  300,  OTN,   20,ZEEBETOMTHEL        ,     ,
 53,17790103,1,30062,  290,    O,   10,OMTHEL              ,     ,
 53,17790103,2,30062,  300,  ZTO,    3,HEL                 ,     ,
 53,17790103,3,30061,  250,   ZW,    2,OMTHEL              ,     ,
 53,17790104,1,30052,  252,  ZZW,   30,OMTHEL              ,     ,
 53,17790104,2,30050,  312, ZWTZ,   20,OMTHEL              ,     ,
 53,17790104,3,30042,  302,  ZZW,   10,DOK                 ,     ,
 53,17790105,1,30030,  330,  ZZW,    3,DOKDAM              ,     ,
 53,17790105,2,30022,  372,   ZW,   10,ZEEBETZWAMIS        ,     ,
 53,17790105,3,30021,  410,    N,    3,DOK                 ,     ,
 53,17790106,1,30022,  370,   NO,   20,ZEEBETHEL           ,     ,
 53,17790106,2,30032,  370,  ONO,   30,HEL                 ,     ,
 53,17790106,3,30043,  330,    O,   40,HEL                 ,     ,
 53,17790107,1,30061,  310,    O,   20,HEL                 ,     ,
 53,17790107,2,30073,  330,  OZO,   33,ZEEBET              ,     ,
 53,17790107,3,30072,  300,    O,   40,OMTHEL              ,     ,
 53,17790108,1,30072,  280,   ZO,   10,OMTHEL              ,     ,
 53,17790108,2,30072,  320,  OTZ,   20,ZEEBET              ,     ,
 53,17790108,3,30071,  290,   NO,    3,BET                 ,     ,
 53,17790109,1,30061,  332,     ,     ,ZEEBETDAM           ,     ,
 53,17790109,2,30051,  400,    N,    0,ZEEBETDAM           ,     ,
 53,17790109,3,30050,  350,  OTN,   24,OMTHELDAMVOG        ,     ,
 53,17790110,1,30051,  322,  OTZ,   50,DOK                 ,     ,
 53,17790110,2,30060,  332,  OTN,   40,HEL                 ,     ,
 53,17790110,3,30060,  292,    O,   30,HEL                 ,     ,
 53,17790111,1,30060,  250,  OTZ,   10,HEL                 ,     ,
 53,17790111,2,30060,  310,    O,   20,HEL                 ,     ,
 53,17790111,3,30060,  280,    O,   10,HEL                 ,     ,
 53,17790112,1,30052,  260,   NO,   10,HEL                 ,     ,
 53,17790112,2,30052,  340,   NO,    0,OMTHELDAM           ,     ,
 53,17790112,3,30042,  332,    W,    0,DOK                 ,     ,
 53,17790113,1,30033,  360,    N,   20,DOKREG              ,     ,
 53,17790113,2,30033,  410,    N,   10,OMTHELNEV           ,     ,
 53,17790113,3,30032,  390,  NTW,    0,DOKMIS              ,     ,
 53,17790114,1,30030,  370,  NTW,    0,MISBET              ,     ,
 53,17790114,2,30030,  430,  NTW,   10,MISOMTHEL           ,     ,
