DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      NOO = noorderlicht / northern lights
      BLI = bliksem / lightning     OMT = omtrent / about
      BUY = bui / shower            MOG = mottig / thick
      BYN = bijna / almost          ONW = onweer / thunderstorm
      DAM = dampig / hazy           REG = regen / rain
      DAU = dauw / dew              RET = regenachtig / rainy
      DON = donder / thunder        RYP = rijp / rime
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STO = stofregen / drizzle
      ENN = en / and                VEE = veel / much
      GEH = geheel / whole          VOG = vochtig / moist
      HAG = hagel / hail            WAT = wat / somewhat
      HEL = helder / clear          WEE = weerlicht / heat lightning         
      MEE = meest / mostly          YSS = ijs / ice
      MIS = mist / fog              YZL = ijzelig / glazed frost
      MIG = mistig / foggy          ZEE = zeer / very
      MOT = motregen / drizzle      ZEV = zeevlam / seafog
      NAT = natte / wet             ZWA = zwaar / heavy      
      NEV = nevel / hazy                              
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 55,17820704,1,29002,  590,    W,   20,BET                 ,     ,
 55,17820704,2,29002,     ,     ,     ,                    ,     ,
 55,17820704,3,29003,  632,    W,     ,BET                 ,     ,
 55,17820705,1,29003,  622,  WZW,   40,BET                 ,     ,
 55,17820705,2,29010,  693,  WTN,   50,BEW                 ,     ,
 55,17820705,3,29010,  653,  WTZ,     ,BEW                 ,     ,
 55,17820706,1,29002,  632, ZOTZ,   20,GEHBETREG           ,     ,
 55,17820706,2,29002,  712, ZOTO,   40,GEHBET              ,     ,
 55,17820706,3,29002,  651,   NO,     ,GEHBETREG           ,     ,
 55,17820707,1,28113,  613,   NO,   30,GEHBET              ,     ,
 55,17820707,2,28113,  670, NOTN,   50,GEHBET              ,     ,
 55,17820707,3,28112,  613,    W,     ,GEHBET              ,     ,
 55,17820708,1,28113,  592,  NNW,   40,GEHBET              ,     ,
 55,17820708,2,29001,  603, NWTN,   70,BET                 ,     ,
 55,17820708,3,29002,  561,  NNW,     ,OMTHEL              ,     ,
 55,17820709,1,29002,  643,  WZW,   20,BET                 ,     ,
 55,17820709,2,29002,  682,  WTZ,   10,GEHBETREG           ,     ,
 55,17820709,3,28113,  640, ZWTZ,     ,GEHBETMIS           ,     ,
 55,17820710,1,28113,  622,  WNW,   20,GEHBETREG           ,     ,
 55,17820710,2,29002,  680,    W,   10,BET                 ,     ,
 55,17820710,3,29010,  630, ZWTW,     ,BET                 ,     ,
 55,17820711,1,28113,  630, ZWTZ,   20,GEHBET              ,     ,
 55,17820711,2,     ,     ,     ,     ,REG                 ,     ,
 55,17820711,3,28112,  643,  ZTO,   30,GEHBET              ,     ,
 55,17820712,1,28102,  643,   ZW,   50,GEHBETREG           ,     ,
 55,17820712,2,28113,  703,  WTZ,   70,BET                 ,     ,
 55,17820712,3,29002,  632, ZWTW,     ,OMTHEL              ,     ,
 55,17820713,1,29012,  643,  ZZW,     ,BET                 ,     ,
 55,17820713,2,29020,  691,  NNO,   20,BET                 ,     ,
 55,17820713,3,29012,  670,  OTN,     ,OMTHEL              ,     ,
 55,17820714,1,29002,  672,  ZZW,   50,OMTHEL              ,     ,
 55,17820714,2,29010,  772, ZWTW,   80,BEW                 ,     ,
 55,17820714,3,29010,  651,   ZW,   20,BETONW              ,     ,
 55,17820715,1,29021,  653,  WNW,     ,BEW                 ,     ,
 55,17820715,2,29023,  651,  NTO,   20,OMTHEL              ,     ,
 55,17820715,3,29021,  651,   NO,     ,OMTHEL              ,     ,
 55,17820716,1,29002,  651,  ONO,   40,BEWONW              ,     ,
 55,17820716,2,29002,  651,   NO,   80,BEWREG              ,     ,
 55,17820716,3,28113,  653,   NO,   50,BET                 ,     ,
 55,17820717,1,28111,  611,  OTN,   70,GEHBETREG           ,     ,
 55,17820717,2,29002,  592,  NNO,   40,GEHBETREG           ,     ,
 55,17820717,3,29020,  580,    N,     ,BET                 ,     ,
 55,17820718,1,29032,  590,   NW,   20,BET                 ,     ,
 55,17820718,2,     ,     ,     ,     ,                    ,     ,
 55,17820718,3,29042,  643,  WTN,     ,OMTHEL              ,     ,
 55,17820719,1,29040,  653,  WTN,   30,BET                 ,     ,
 55,17820719,2,29041,  653,   NW,     ,BET                 ,     ,
 55,17820719,3,29042,  603,  NTW,     ,BET                 ,     ,
 55,17820720,1,29042,  653,    O,     ,BET                 ,     ,
 55,17820720,2,29043,  651,  NTO,     ,BET                 ,     ,
 55,17820720,3,29043,  632,  NNO,   10,OMTHEL              ,     ,
 55,17820721,1,29043,  672,  ONO,   60,OMTHEL              ,     ,
 55,17820721,2,29040,  682,  ONO,   80,OMTHEL              ,     ,
 55,17820721,3,29031,  661, NOTO,   50,OMTHEL              ,     ,
 55,17820722,1,29020,  703,  ONO,   50,OMTHEL              ,     ,
 55,17820722,2,29010,  812,  OTN,   90,OMTHEL              ,     ,
 55,17820722,3,29002,  781,    O,   30,OMTHEL              ,     ,
 55,17820723,1,29010,  712, ZWTZ,   30,BEW                 ,     ,
 55,17820723,2,29020,  730,  WNW,   20,BET                 ,     ,
 55,17820723,3,29020,  680,    N,     ,BET                 ,     ,
 55,17820724,1,29011,  720, NOTN,   30,OMTHELREGONW        ,     ,
 55,17820724,2,29020,  781,  WTN,     ,BET                 ,     ,
