DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      ONW = onweer / thunderstorm
      BLI = bliksem / lightning     ORG = stormig / stormy
      BUY = bui / shower            ORM = storm / storm
      BYN = bijna / almost          REG = regen / rain
      DAM = dampig / hazy           RET = regenachtig / rainy
      DAU = dauw / dew              RYP = rijp / rime
      DON = donder / thunder        SEB = stil en betrokken / calm and cloudy
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STI = stil / calm
      ENN = en / and                STO = stofregen / drizzle
      GEH = geheel / whole          VEE = veel / much
      HAG = hagel / hail            VOG = vochtig / moist
      HEL = helder / clear          VOR = Vochtig / moist
      MEE = meest / mostly          WAT = wat / somewhat
      MIS = mist / fog              WEE = weerlicht / heat lightning
      MIG = mistig / foggy          WIG = Winderig / windy
      MOT = motregen / drizzle      YSS = ijs / ice
      NAT = natte / wet             YZL = ijzelig / glazed frost        
      NOO = noorderlicht / northern lights    ZEE = zeer / very         
      OMT = omtrent / about         ZEV = zeevlam / seafog
      MOG = mottig / thick          ZWA = zwaar / heavy  
                  
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 44,17881101,1,30040,  482,    W,     ,BET                 ,     ,
 44,17881101,2,30040,  500,    Z,     ,OMTHEL              ,     ,
 44,17881101,3,30030,  450,    Z,     ,HEL                 ,     ,
 44,17881102,1,30002,  400,    Z,     ,HEL                 ,     ,
 44,17881102,2,29112,  490,    Z,     ,HEL                 ,     ,
 44,17881102,3,29100,  452,    Z,     ,HEL                 ,     ,
 44,17881103,1,29082,  520,    Z,     ,OMTHEL              ,     ,
 44,17881103,2,29080,  562,    Z,     ,OMTHEL              ,     ,
 44,17881103,3,29060,  563,    Z,     ,HEL                 ,     ,
 44,17881104,1,29040,  533,    Z,     ,OMTHEL              ,     ,
 44,17881104,2,29060,  560,    Z,     ,OMTHEL              ,     ,
 44,17881104,3,29080,  502,   ZO,     ,REG                 ,     ,
 44,17881105,1,29100,  473,   ZW,     ,HEL                 ,     ,
 44,17881105,2,29100,  502,    W,     ,HEL                 ,     ,
 44,17881105,3,30000,  470,    Z,     ,HEL                 ,     ,
 44,17881106,1,30020,  472,   ZO,     ,HEL                 ,     ,
 44,17881106,2,30020,  480,   ZO,     ,HEL                 ,     ,
 44,17881106,3,30010,  450,   ZO,     ,HEL                 ,     ,
 44,17881107,1,30010,  420,   ZO,     ,HEL                 ,     ,
 44,17881107,2,29110,  450,   ZO,     ,HEL                 ,     ,
 44,17881107,3,29100,  390,   ZO,     ,HEL                 ,     ,
 44,17881108,1,29100,  380,   ZO,     ,HEL                 ,     ,
 44,17881108,2,29092,  480,   ZO,     ,HEL                 ,     ,
 44,17881108,3,29082,  380,   ZO,     ,HEL                 ,     ,
 44,17881109,1,29082,  400,   ZO,     ,HEL                 ,     ,
 44,17881109,2,29080,  452,   ZO,     ,HEL                 ,     ,
 44,17881109,3,29080,  420,   ZO,     ,HEL                 ,     ,
 44,17881110,1,29072,  390,   ZO,     ,HEL                 ,     ,
 44,17881110,2,29090,  460,   ZO,     ,HEL                 ,     ,
 44,17881110,3,29092,  420,   ZO,     ,HEL                 ,     ,
 44,17881111,1,29010,  450,    Z,     ,HEL                 ,     ,
 44,17881111,2,29102,  530,    Z,     ,HEL                 ,     ,
 44,17881111,3,29110,  440,   ZW,     ,HEL                 ,     ,
 44,17881112,1,29110,  532,    W,     ,BET                 ,     ,
 44,17881112,2,29110,  540,   ZW,     ,OMTHEL              ,     ,
 44,17881112,3,29100,  530,    W,     ,BET                 ,     ,
 44,17881113,1,29110,  530,    W,     ,BET                 ,     ,
 44,17881113,2,29072,  520,    W,     ,REG                 ,     ,
 44,17881113,3,29070,  500,    W,     ,BET                 ,     ,
 44,17881114,1,29072,  440,    W,     ,BET                 ,     ,
 44,17881114,2,29080,  460,    W,     ,BET                 ,     ,
 44,17881114,3,29082,  433,    W,     ,REG                 ,     ,
 44,17881115,1,29080,  410,    W,     ,BET                 ,     ,
 44,17881115,2,29082,  440,    W,     ,OMTHEL              ,     ,
 44,17881115,3,30012,  380,   NW,     ,OMTHEL              ,     ,
 44,17881116,1,30012,  340,   NW,     ,HEL                 ,     ,
