DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

The data is obtained by crosschecking and double digitization of the original observational 
documents. 

STN = national station number /(42=Zwanenburg, 43=Utrecht, 44=Haarlem, 45=Delft ,46=Alkmaar, 
      47=Bergen, 48=Haarlem2, 49=Delft/Rijnsburg, 50=Leiden, 51=Leiden2, 52=Amsterdam, 
      53=Amsterdam2, 54=Vlissingen, 55=Middelburg, 56=Breda, 57=Breda2
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
M   = meting volgnummer / measurement number (1,2 or 3)
P   = luchtdruk in Rijnlandse of Engelse duimen en lijnen / surface air pressure in 
      "Rijnlandse" or "English" inches and lines toelichting: eerste 2 cijfers is aantal duimen, 
      volgende 2 cijfers is aantal lijnen, laatste cijfer is het aantal kwarten van lijnen.
      explanation: first 2 numbers is number of inches, next 2 numbers is number of lines,
      last number is number of quarters of lines.           
      1 "Rijnlandse" inch(duim) = 12 lines = 48 kwarten = 2.62 cm; 1 "English" inch = 2.54 cm 
T   = temperatuur in Fahrenheit / temperature in Fahrenheit  (Fahrenheit -32 * (5/9)= Celsius) 
DD  = windrichting / winddirection (N=North, O=East, Z=South, W=West, T=at)
FH  = windsnelheid in diverse schalen het laatste cijfer is het aantal kwarten /
      windspeed in several scales see the metadata, the last number is number of quarters of
      degrees (example: 552 = 55 + 2/4 = 55,5)
WW  = luchtgesteldheid in 3 lettercodes/ weather conditions in three letter code
      See for code downwards 
RH  = neerslag in lijnen / precipitation in lines ( 1 line = 2.62/12 = 0.22 cm )
W2  = bijzondere weersverschijnselen / special weather conditions in code

      letter codes:
      BET = betrokken / cloudy      NOO = noorderlicht / northern lights
      BLI = bliksem / lightning     OMT = omtrent / about
      BUY = bui / shower            MOG = mottig / thick
      BYN = bijna / almost          ONW = onweer / thunderstorm
      DAM = dampig / hazy           REG = regen / rain
      DAU = dauw / dew              RET = regenachtig / rainy
      DON = donder / thunder        RYP = rijp / rime
      DOK = donker / dark           SNE = sneeuw / snow
      DRO = droog / dry             STO = stofregen / drizzle
      ENN = en / and                VEE = veel / much
      GEH = geheel / whole          VOG = vochtig / moist
      HAG = hagel / hail            WAT = wat / somewhat
      HEL = helder / clear          WEE = weerlicht / heat lightning         
      MEE = meest / mostly          YSS = ijs / ice
      MIS = mist / fog              YZL = ijzelig / glazed frost
      MIG = mistig / foggy          ZEE = zeer / very
      MOT = motregen / drizzle      ZEV = zeevlam / seafog
      NAT = natte / wet             ZWA = zwaar / heavy      
      NEV = nevel / hazy                              
                                    
STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2

 42,17810101,1,29100,  350,   ZW,   20,BETMIS              ,     ,
 42,17810101,2,29082,  380,   ZW,   40,BETMIS              ,     ,
 42,17810101,3,29061,  360,   ZW,   20,BET                 ,     ,
 42,17810102,1,29061,  360,  WZW,   20,OMTHEL              ,     ,
 42,17810102,2,29060,  390,  WZW,   20,ZEEBET              ,     ,
 42,17810102,3,29060,  370,  WZW,   20,ZEEBET              ,     ,
 42,17810103,1,29060,  370,   NW,   40,ZEEBET              ,     ,
 42,17810103,2,29080,  380,   NW,   40,ZEEBET              ,     ,
 42,17810103,3,29092,  330,    N,   20,ZEEBET              ,     ,
 42,17810104,1,29102,  330,    N,   20,OMTHEL              ,     ,
 42,17810104,2,29111,  350,    N,   20,OMTHEL              ,     ,
 42,17810104,3,30001,  332,    N,   20,BET                 ,     ,
 42,17810105,1,30021,  280,   ZO,   20,OMTHEL              ,     ,
 42,17810105,2,30022,  320,   ZW,   20,OMTHEL              ,     ,
 42,17810105,3,30022,  310,   ZW,   20,BET                 ,     ,
 42,17810106,1,30023,  290,  ZZW,   20,BET                 ,     ,
 42,17810106,2,30031,  320,  ZZW,   20,BET                 ,     ,
 42,17810106,3,30022,  300,    Z,   20,OMTHEL              ,     ,
 42,17810107,1,30032,  320,    Z,   20,BETMIS              ,     ,
 42,17810107,2,30023,  332,    Z,   20,BETMIS              ,     ,
 42,17810107,3,30020,  320,    Z,   20,BET                 ,     ,
 42,17810108,1,30021,  360,    N,   40,BET                 ,   20,
 42,17810108,2,30032,  370,    N,   20,BET                 ,     ,
 42,17810108,3,30050,  330,    N,   20,HEL                 ,     ,
 42,17810109,1,30070,  300, NOTO,   40,HEL                 ,     ,
 42,17810109,2,30063,  310, NOTO,   40,OMTHEL              ,     ,
 42,17810109,3,30072,  280,   NO,   40,HEL                 ,     ,
 42,17810110,1,30071,  260,  ONO,   40,ZEEBET              ,     ,
 42,17810110,2,30071,  290,  ONO,   40,ZEEBET              ,     ,
 42,17810110,3,30070,  270,  ONO,   40,BET                 ,     ,
 42,17810111,1,30060,  260,    O,   60,BET                 ,     ,
 42,17810111,2,30043,  270,    O,   60,BET                 ,     ,
 42,17810111,3,30033,  280,    O,   60,BET                 ,     ,
 42,17810112,1,30031,  240,    O,   60,HEL                 ,     ,
 42,17810112,2,30023,  290,    O,   60,HEL                 ,     ,
 42,17810112,3,30030,  250,    O,   40,HEL                 ,     ,
 42,17810113,1,30023,  240,    O,   40,BET                 ,     ,
 42,17810113,2,30013,  260,    O,   40,ZEEBET              ,     ,
 42,17810113,3,30013,  230,    O,   20,HEL                 ,     ,
 42,17810114,1,30012,  190,    O,   20,HEL                 ,     ,
 42,17810114,2,30003,  242,    O,   20,HEL                 ,     ,
 42,17810114,3,30001,  210,    O,   20,HEL                 ,     ,
 42,17810115,1,29111,  200,    O,   20,HEL                 ,     ,
 42,17810115,2,29111,  260,    O,   20,HEL                 ,     ,
 42,17810115,3,29110,  230,     ,    0,HEL                 ,     ,
 42,17810116,1,29102,  190,   ZO,   20,OMTHEL              ,     ,
 42,17810116,2,29102,  260,     ,    0,HEL                 ,     ,
 42,17810116,3,29102,  240,     ,    0,HEL                 ,     ,
 42,17810117,1,29102,  210,     ,    0,ZEEBET              ,     ,
 42,17810117,2,29101,  280,     ,    0,OMTHEL              ,     ,
 42,17810117,3,29093,  310,     ,    0,BETMIS              ,     ,
 42,17810118,1,29083,  330,     ,    0,BETMIS              ,     ,
 42,17810118,2,29071,  350,   ZO,   20,BETMIS              ,     ,
 42,17810118,3,29061,  360,   ZO,   20,BETMIS              ,     ,
 42,17810119,1,29072,  350,   NW,   20,OMTHEL              ,   32,
 42,17810119,2,29091,  370,   NW,   20,OMTHEL              ,     ,
 42,17810119,3,29083,  320,   NW,   20,OMTHEL              ,     ,
 42,17810120,1,29070,  330,   NW,   20,ZEEBET              ,     ,
 42,17810120,2,29062,  330,    Z,   20,ZEEBET              ,     ,
 42,17810120,3,29090,  310,    Z,   40,BET                 ,     ,
 42,17810121,1,29052,  340,   ZW,   20,BETREG              ,    2,
 42,17810121,2,29051,  340,   NO,   60,BET                 ,   10,
 42,17810121,3,29070,  310,   NO,   40,BET                 ,     ,
 42,17810122,1,29100,  210, NOTO,   20,OMTHEL              ,     ,
 42,17810122,2,29100,  230, NOTO,   20,OMTHEL              ,     ,
 42,17810122,3,29100,  170,   NO,   20,HEL                 ,     ,NOO
 42,17810123,1,29062,  190,    O,   40,BET                 ,     ,
 42,17810123,2,29052,  200,    O,   40,BET                 ,     ,
 42,17810123,3,29053,  200,    O,   20,ZEEBET              ,     ,
 42,17810124,1,29043,  190,  OTZ,   40,BET                 ,     ,
 42,17810124,2,29030,  280,  OZO,   40,BETMIS              ,     ,
 42,17810124,3,29003,  350,    Z,   40,ZEEBET              ,     ,
 42,17810125,1,29000,  330,   ZW,   60,BET                 ,   10,
 42,17810125,2,29003,  340,   NW,   80,BET                 ,     ,
 42,17810125,3,29062,  340,   ZW,   40,ZEEBET              ,     ,
 42,17810126,1,29043,  300,   ZO,   40,BETSNE              ,     ,
 42,17810126,2,29013,  322,    Z,   40,BET                 ,     ,
 42,17810126,3,29042,  350,   NW,   20,BET                 ,     ,
 42,17810127,1,29102,  330,   NW,   20,OMTHEL              ,     ,
 42,17810127,2,30003,  352,   NW,   20,OMTHEL              ,     ,
 42,17810127,3,30020,  290,   ZW,   20,OMTHEL              ,     ,
 42,17810128,1,30053,  350,   ZW,   60,BET                 ,     ,
 42,17810128,2,29113,  400,   ZW,   40,BET                 ,   10,
 42,17810128,3,30000,  380,   ZW,   40,ZEEBET              ,     ,
