FROM: met_project(monthly).f90
Monthly Mean Temperatures at Dunsink Observatory for 1821 til 1848
          JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
1821      5.37    3.64    5.45    7.89    8.61   12.87   14.40   15.67   14.12   10.34    7.88    5.70
1822      4.87    6.09    7.47    7.28   11.47   16.00   14.91   14.10   11.71    9.72    7.36    3.15
1823      2.12    1.99    5.43    5.93   10.86   11.68   13.30   12.85   11.08    7.50    7.42    3.98
1824      4.47    4.91    4.90    7.46   10.04   13.94   15.89   14.66   12.67    9.43    6.47    4.36
1825      3.83    4.41    6.12    8.71   11.09   13.36   17.35   16.12   14.87   10.90    4.98    3.40
1826      2.51    6.27    5.92    8.67   11.38   16.75   16.83   15.85   13.17   10.83    4.03    5.82
1827      3.76    1.98    5.82    7.77   10.99   13.29   16.31   14.75   13.48   11.16    8.61    7.04
1828      6.26    5.98    6.86    7.33   11.08   14.16   13.72   14.88   14.15   10.43    7.85    8.48
1829      1.05    6.16    4.63    5.56   11.29   14.41   13.54   12.28   10.84   10.62    6.47    5.42
1830      -888    -888    -888    -888    -888    -888    -888   12.77   11.31   10.45    6.83    2.89
1831      2.90    5.16    6.27    8.31   10.91   14.52   15.72   15.99   12.95   11.94    6.46    5.61
1832      4.94    5.02    6.04    8.32   10.28   14.04   15.53   15.19   13.25   10.54    6.60    5.42
1833      3.76    5.17    3.28    6.97   12.70   12.95   16.27   14.07   11.79    9.91    6.39    5.75
1834      6.06    5.99    7.17    -888    -888    -888    -888    -888    -888    -888    -888    -888
1835      -888    -888    -888    -888    -888    -888   14.72   15.80   13.51    8.94    6.63    4.48
1836      4.23    3.29    4.61    6.14   10.38   14.03   14.04   13.83   10.84    7.81    4.40    3.93
1837      2.47    4.97    2.26    4.16    9.19   14.00   16.07   14.62   11.90   10.41    5.99    5.88
1838      0.92    1.40    4.13    5.82    9.15   12.85   14.71   14.36   12.21    8.35    3.72    4.56
1839      1.92    4.59    4.45    6.77    9.22   13.26   13.76   13.39   11.38    8.35    6.25    3.73
1840      4.19    2.91    4.00    8.19   10.36   12.92   12.83   14.92   10.09    7.28    4.93    2.91
1841      0.99    3.54    6.83    7.07   10.85   12.53   12.89   14.03   12.66    7.75    4.57    4.52
1842      2.62    4.12    6.09    7.35   10.30   14.50   14.02   15.44   12.67    7.11    5.84    7.34
1843      4.22    1.83    5.95    7.25    9.73   12.35   14.10   14.85   14.04    7.01    5.76    8.21
1844      4.52    2.28    5.06    9.09   10.72   13.82   14.76   13.03   13.16    8.68    7.44    2.79
1845      4.13    3.58    3.97    7.93    9.75   14.17   13.44   13.26   11.22    9.20    6.31    4.16
1846      6.81    6.12    5.33    7.19   11.16   16.40   15.39   15.87   14.21    9.11    7.03    1.52
1847      4.18    0.24    5.30    6.50   10.88   13.17   16.72   14.21   11.22    9.90    7.70    5.22
1848      1.36    5.63    5.14    6.70   12.65   12.54   14.49   12.59   12.12    8.77    4.94    5.06
