1869,01,27,Wednesday,DWR_1869_01-53.jpg
HEARTSCONTENT, 999.00, 999, 999.00
SKUDDESNAES, 999.00, 999, NaN
NAIRN, 29.55, 35, 0.03
ABERDEEN, 29.58, 36, 0.00
LEITH, 29.62, 35, 0.03
ARDROSSAN, 29.59, 37, 0.09
GREENCASTLE, 29.46, 43, 0.03
SHIELDS, 29.66, 35, 0.00
SCARBOROUGH, 29.71, 36, 0.06
LIVERPOOL, 29.69, 46, 0.05
HOLYHEAD, 29.60, 46, 0.06
HELDER, 999.00, 999, NaN
YARMOUTH, 29.77, 39, 0.00
VALENTIA, 29.35, 49, 0.05
ROCHESPOINT, 29.49, 47, 0.12
PEMBROKE, 999.00, 999, 999.00
LONDON, 29.81, 37, 0.00
CAPECLEAR, 29.41, 48, 0.07
CAPGRISNEZ, 29.87, 34, 0.00
BRUSSELS, 999.00, 999, NaN
PORTSMOUTH, 29.80, 40, 0.00
PLYMOUTH, 29.74, 44, 0.00
PENZANCE, 29.67, 48, 0.00
PARIS, 999.00, 999, -999.00
STRASBOURG, 999.00, 999, NaN
BREST, 29.64, 41, 0.00
LORIENT, 999.00, 34, 0.00
ROCHEFORT, 29.79, 41, 0.00
LYONS, 999.00, 999, NaN
BIARRITZ, 29.81, 50, 0.00
CORUNNA, 999.00, 999, NaN
TOULON, 30.06, 41, 0.05
