1868,09,15,Tuesday,DWR_1868_09-28.jpg
HEARTSCONTENT, 999.00, 999, 999.00
SKUDDESNAES, 999.00, 999, NaN
NAIRN, 30.18, 49, 0.00
ABERDEEN, 30.13, 49, 0.00
LEITH, 30.15, 51, 0.00
ARDROSSAN, 30.17, 49, 0.00
GREENCASTLE, 30.14, 52, 0.00
SHIELDS, 999.00, 51, 0.00
SCARBOROUGH, 30.08, 52, 0.05
CUXHAVEN, NaN, NaN, NaN
LIVERPOOL, 30.05, 53, 0.00
HOLYHEAD, 30.04, 52, 0.00
HELDER, 999.00, 999, NaN
YARMOUTH, 30.01, 58, 0.00
VALENTIA, 29.90, 57, 0.00
ROCHESPOINT, 29.92, 56, 0.00
LONDON, 29.99, 55, 0.00
CAPECLEAR, 29.85, 59, 0.00
CAPGRISNEZ, 29.95, 54, 0.00
BRUSSELS, 999.00, 999, NaN
PORTSMOUTH, 29.96, 56, 0.00
WEYMOUTH, 29.96, 56, 0.00
PLYMOUTH, 29.92, 55, 0.00
PENZANCE, 29.88, 59, 0.00
PARIS, 999.00, 999, -999.00
STRASBOURG, 999.00, 999, NaN
BREST, 29.81, 59, 0.00
LORIENT, 29.79, 59, -999.00
ROCHEFORT, 999.00, 999, 999.00
LYONS, 999.00, 999, NaN
BIARRITZ, 999.00, 999, 999.00
TOULON, 29.81, 68, 0.79
