1873,09,07,Sunday,DWR_1873_09-15.jpg
HAPARANDA, 30.16, 39, 39, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.60, 55, 48, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 29.92, 56, 55, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 29.52, 47, 47, 54, 42, 0.10, NaN, NaN, NaN
WISBY, 29.89, 55, 54, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.65, 55, 51, NaN, NaN, NaN, 29.59, 55, 53
THURSO, 29.58, 51, 50, 54, 48, 0.29, 29.84, 51, 45
WICK, 29.58, 50, 49, 65, 45, 0.26, NaN, NaN, NaN
STORNOWAY, 29.69, 51, 47, 999, 999, 999.00, NaN, NaN, NaN
OXO, 29.69, 57, 51, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 29.78, 53, 51, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 29.87, 55, 54, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.65, 46, 46, 54, 42, 0.27, NaN, NaN, NaN
ABERDEEN, 29.59, 48, 47, 54, 44, 0.26, NaN, NaN, NaN
LEITH, 29.68, 52, 49, 62, 39, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.73, 48, 45, 58, 38, 0.00, NaN, NaN, NaN
FANO, 29.77, 51, 49, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.75, 53, 50, 53, 47, 0.06, 29.99, 52, 49
SHIELDS, 29.71, 49, 46, 53, 41, 0.14, NaN, NaN, NaN
DONAGHADEE, 29.72, 52, 49, 56, 46, 0.00, NaN, NaN, NaN
SCARBOROUGH, 29.72, 49, 47, 53, 42, 0.00, 29.89, 52, 48
YORK, 29.76, 49, 48, 58, 37, 0.08, NaN, NaN, NaN
CUXHAVEN, 29.82, 56, 54, 999, 50, 0.23, NaN, NaN, NaN
LIVERPOOL, 29.79, 49, 48, 54, 45, 0.56, NaN, NaN, NaN
HOLYHEAD, 29.74, 52, 49, 56, 50, 0.06, 29.97, 54, 49
KINGSTOWN, 29.78, 50, 48, 56, 49, 0.02, NaN, NaN, NaN
HELDER, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 29.79, 54, 52, 60, 43, 0.00, NaN, NaN, NaN
YARMOUTH, 29.80, 51, 50, 55, 45, 0.13, NaN, NaN, NaN
CAMBRIDGE, 29.80, 49, 47, 59, 45, 0.00, NaN, NaN, NaN
VALENTIA, 29.79, 56, 53, 59, 51, 0.57, 30.15, 56, 53
ROCHESPOINT, 29.74, 56, 54, 58, 50, 0.20, NaN, NaN, NaN
OXFORD, 29.82, -999, 49, 59, 45, 0.02, NaN, NaN, NaN
PEMBROKE, 29.77, 54, 52, 54, 50, 0.16, NaN, NaN, NaN
LONDON, 29.83, 51, 49, 58, 45, 0.00, 29.96, 57, 51
PORTISHEAD, 29.79, 52, 51, 62, 47, 0.20, NaN, NaN, NaN
DOVER, 29.82, 54, 50, 58, 49, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 29.86, 54, 50, 64, 50, 0.16, NaN, NaN, NaN
BRUSSELS, 29.87, 52, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 29.84, 54, 52, 60, 50, 0.00, NaN, NaN, NaN
PLYMOUTH, 29.83, 55, 54, 61, 50, 0.09, NaN, NaN, NaN
SCILLY, 29.87, 55, 54, 57, 53, 0.04, 30.09, 56, 50
CHARLEVILLE, 29.91, 45, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 29.96, 50, 999, 62, 43, 0.00, NaN, NaN, NaN
BREST, 29.95, 55, 53, 61, 51, 999.00, NaN, NaN, NaN
LORIENT, 29.98, -999, 51, 69, 51, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.06, 57, 55, 999, 51, 0.00, 30.01, 74, 59
LYONS, 999.00, 61, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.08, 56, 54, 65, 53, 0.43, NaN, NaN, NaN
CORUNNA, 30.20, 59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.84, 53, 49, 68, -999, 0.08, NaN, NaN, NaN
